CPU,CPU Socket,Chipset,CrossFire Support,Floppy,Form Factor,Half Mini-PCI-Express,Kind,Link,Manufacturer,Maximum Supported Memory,Memory Slots,Memory Type,Micro SATA 6 Gb/s,Mini-PCI-Express,Mini-PCI-Express/mSATA,Model,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,PATA 100,PATA 133,Part #,Prices,RAID Support,SAS 12 Gb/s,SAS 3 Gb/s,SAS 6 Gb/s,SATA 1.5 Gb/s,SATA 3 Gb/s,SATA 6 Gb/s,SATA Express,SLI Support,U.2,U.2 (SFF-8639),eSATA 3Gb/s,eSATA 6Gb/s,mSATA,avg,short_link,socket,max_mem,mem_slots
,AM3,AMD 870,Yes,,ATX,,Motherboard,/product/Q6W9TW/msi-motherboard-870sg46,MSI,32GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600,,,,,MSI 870S-G46 ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,No,,,870S-G46,[],Yes,,,,,,6,,No,,,,,,0.0,msi-motherboard-870sg46,AM3,32.0,4 x 240-pin DIMM
,AM3,AMD 880G,Yes,,ATX,,Motherboard,/product/28tCmG/asrock-motherboard-880gpro3,ASRock,32GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800 / 1866,,,,880G Pro3,ASRock 880G Pro3 ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,880G PRO3,[],Yes,,,,,,5,,No,,,,1,,0.0,asrock-motherboard-880gpro3,AM3,32.0,4 x 240-pin DIMM
,AM3,AMD 890GX,Yes,,ATX,,Motherboard,/product/bLmLrH/asrock-motherboard-890gxpro3,ASRock,32GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800 / 1866,,,,890GX Pro3,ASRock 890GX Pro3 ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,890GX PRO3,[],Yes,,,,,,5,,No,,,,1,,0.0,asrock-motherboard-890gxpro3,AM3,32.0,4 x 240-pin DIMM
,LGA1155,Intel P67,Yes,,ATX,,Motherboard,/product/TYDwrH/biostar-motherboard-tp67xeb3,Biostar,16GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 2000 / 2133 / 2200,,,,,Biostar TP67XE (B3) ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,No,,,TP67XE (B3),[],Yes,,,,,3,2,,Yes,,,1,,,0.0,biostar-motherboard-tp67xeb3,LGA1155,16.0,4 x 240-pin DIMM
,AM3,NVIDIA GeForce 7025,No,,Micro ATX,,Motherboard,/product/dHmLrH/msi-motherboard-nf725gmp43,MSI,16GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333,,,,,MSI NF725GM-P43 Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,NF725GM-P43,[],Yes,,,,,4,,,No,,,,,,0.0,msi-motherboard-nf725gmp43,AM3,16.0,2 x 240-pin DIMM
,LGA1150,Intel H87,No,,Micro ATX,,Motherboard,/product/TT6BD3/foxconn-motherboard-h87mxd,Foxconn,16GB,2 x 240-pin DIMM,DDR3-1333 / 1600,,,,,Foxconn H87MX-D Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,H87MX-D,[],Yes,,,,,,4,,No,,,,,,0.0,foxconn-motherboard-h87mxd,LGA1150,16.0,2 x 240-pin DIMM
,LGA1155,Intel P67,Yes,,ATX,,Motherboard,/product/HGZQzy/msi-motherboard-p67agd80b3,MSI,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 2133,,,,,MSI P67A-GD80 (B3) ATX LGA1155 Motherboard,2 x 10/100/1000 Mbps,Yes,No,,,P67A-GD80 (B3),[],Yes,,,,,4,2,,Yes,,,2,,,0.0,msi-motherboard-p67agd80b3,LGA1155,32.0,4 x 240-pin DIMM
,LGA1155,Intel H61,No,,Micro ATX,,Motherboard,/product/3w4gXL/biostar-motherboard-h61ml,Biostar,8GB,2 x 240-pin DIMM,DDR3-1066 / 1333,,,,,Biostar H61ML Micro ATX LGA1155 Motherboard,1 x 10/100 Mbps,No,Depends on CPU,,,H61ML,[],No,,,,,4,,,No,,,,,,0.0,biostar-motherboard-h61ml,LGA1155,8.0,2 x 240-pin DIMM
,LGA1150,Intel H81,No,,Mini ITX,1,Motherboard,/product/knkD4D/asrock-motherboard-h81mitxwifi,ASRock,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,ASRock H81M-ITX/WIFI Mini ITX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,H81M-ITX/WIFI,[],No,,,,,2,2,,No,,,,,,0.0,asrock-motherboard-h81mitxwifi,LGA1150,16.0,2 x 240-pin DIMM
,AM3,AMD 880G,No,,Micro ATX,,Motherboard,/product/74Lypg/jetway-motherboard-jma3880gtv2lf,Jetway,8GB,2 x 240-pin DIMM,DDR3-1333,,,,,Jetway JMA3-880GTV2-LF Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,JMA3-880GTV2-LF,[],Yes,,,,,6,,,No,,,,,,0.0,jetway-motherboard-jma3880gtv2lf,AM3,8.0,2 x 240-pin DIMM
Integrated Atom 330,,NVIDIA ION,No,,Mini ITX,,Motherboard,/product/rBBv6h/zotac-motherboard-ionitxke,Zotac,4GB,2 x 240-pin DIMM,DDR3-1066,,1,,,Zotac IONITX-K-E Mini ITX Atom 330 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,IONITX-K-E,[],Yes,,,,,4,,,No,,,,,,0.0,zotac-motherboard-ionitxke,,4.0,2 x 240-pin DIMM
,LGA1155,Intel H67,No,,Micro ATX,,Motherboard,/product/jnR48d/asrock-motherboard-h67mgehtb3,ASRock,32GB,4 x 240-pin DIMM,DDR3-1333,,,,,ASRock H67M-GE/HT (B3) Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,H67M-GE/HT (B3),[],Yes,,,,,3,2,,No,,,1,,,0.0,asrock-motherboard-h67mgehtb3,LGA1155,32.0,4 x 240-pin DIMM
,LGA1155,Intel H61,No,,ATX,,Motherboard,/product/zPphP6/asrock-motherboard-h61icafe,ASRock,16GB,4 x 240-pin DIMM,DDR3-1333,,,,,ASRock H61ICAFE ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,H61ICAFE,[],No,,,,,4,2,,No,,,,,,0.0,asrock-motherboard-h61icafe,LGA1155,16.0,4 x 240-pin DIMM
,AM3,AMD 880G,No,,Micro ATX,,Motherboard,/product/ZcDwrH/jetway-motherboard-jhz03gtv2lf,Jetway,8GB,4 x 240-pin DIMM,DDR3-1333 / 1600,,,,,Jetway JHZ03-GT-V2-LF Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,JHZ03-GT-V2-LF,[],Yes,,,,,6,,,No,,,,,,0.0,jetway-motherboard-jhz03gtv2lf,AM3,8.0,4 x 240-pin DIMM
,LGA1156,Intel P55,Yes,,ATX,,Motherboard,/product/9NmLrH/asus-motherboard-p7p55dedeluxe,Asus,16GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 2200,,,,P7P55D-E Deluxe,Asus P7P55D-E Deluxe ATX LGA1156 Motherboard,2 x 10/100/1000 Mbps,No,Yes,,1,P7P55D-E DELUXE,[],Yes,,,,,7,2,,Yes,,,1,,,0.0,asus-motherboard-p7p55dedeluxe,LGA1156,16.0,4 x 240-pin DIMM
,LGA1155,Intel P67,Yes,,ATX,,Motherboard,/product/4pPfrH/ecs-motherboard-p67h2a2slib3,ECS,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866 / 2133,,,,,ECS P67H2-A2 SLI (B3) ATX LGA1155 Motherboard,2 x 10/100/1000 Mbps,Yes,No,,,P67H2-A2 SLI (B3),[],Yes,,,,,4,4,,Yes,,,,2,,0.0,ecs-motherboard-p67h2a2slib3,LGA1155,32.0,4 x 240-pin DIMM
,LGA1155,Intel H67,Yes,,Micro ATX,,Motherboard,/product/MCR48d/gigabyte-motherboard-gah67mausb3b3,Gigabyte,32GB,4 x 240-pin DIMM,DDR3-1333,,,,,Gigabyte GA-H67MA-USB3-B3 Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,GA-H67MA-USB3-B3,[],Yes,,,,,4,2,,No,,,,,,0.0,gigabyte-motherboard-gah67mausb3b3,LGA1155,32.0,4 x 240-pin DIMM
,LGA1155,Intel H67,No,,ATX,,Motherboard,/product/C8tCmG/msi-motherboard-ph67sc43b3,MSI,32GB,4 x 240-pin DIMM,DDR3-1333,,,,,MSI PH67S-C43 (B3) ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,No,,,PH67S-C43 (B3),[],Yes,,,,,4,2,,No,,,,,,0.0,msi-motherboard-ph67sc43b3,LGA1155,32.0,4 x 240-pin DIMM
,AM3+,AMD 890FX,Yes,,ATX,,Motherboard,/product/yWQypg/asrock-motherboard-890fxdeluxe5,ASRock,32GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800 / 1866,,,,890FX Deluxe5,ASRock 890FX Deluxe5 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,,,890FX DELUXE5,[],Yes,,,,,,6,,No,,,,1,,0.0,asrock-motherboard-890fxdeluxe5,AM3+,32.0,4 x 240-pin DIMM
,LGA1150,Intel Z87,Yes,,EATX,,Motherboard,/product/4fqdnQ/gigabyte-motherboard-gag1sniper5,Gigabyte,32GB,4 x 240-pin DIMM,DDR3-1333 / 1600 / 3000,,,,G1.SNIPER 5,Gigabyte G1.SNIPER 5 EATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,,,GA-G1.SNIPER 5,[],Yes,,,,,,10,,4-way SLI,,,,,,0.0,gigabyte-motherboard-gag1sniper5,LGA1150,32.0,4 x 240-pin DIMM
