CPU,CPU Socket,Chipset,CrossFire Support,Floppy,Form Factor,Half Mini-PCI-Express,Kind,Link,Manufacturer,Maximum Supported Memory,Memory Slots,Memory Type,Micro SATA 6 Gb/s,Mini-PCI-Express,Mini-PCI-Express/mSATA,Model,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,PATA 100,PATA 133,Part #,Prices,RAID Support,SAS 12 Gb/s,SAS 3 Gb/s,SAS 6 Gb/s,SATA 1.5 Gb/s,SATA 3 Gb/s,SATA 6 Gb/s,SATA Express,SLI Support,U.2,U.2 (SFF-8639),eSATA 3Gb/s,eSATA 6Gb/s,mSATA,avg,short_link,socket,max_mem,mem_slots
,AM3,AMD 760G,No,,Micro ATX,,Motherboard,/product/QBn2FT/asrock-motherboard-760gmgs3,ASRock,8GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800,,,,,ASRock 760GM-GS3 Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,760GM-GS3,[],Yes,,,,,4,,,No,,,,,,0.0,asrock-motherboard-760gmgs3,AM3,8.0,2 x 240-pin DIMM
,AM3+,AMD 880G,No,,Micro ATX,,Motherboard,/product/mHH323/asrock-motherboard-880gmlefx,ASRock,8GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800,,,,,ASRock 880GM-LE FX Micro ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,880GM-LE FX,[],Yes,,,,,6,,,No,,,,,,0.0,asrock-motherboard-880gmlefx,AM3+,8.0,2 x 240-pin DIMM
,LGA1150,Intel B85,No,,Micro ATX,,Motherboard,/product/FvPfrH/asrock-motherboard-b85mhds,ASRock,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,ASRock B85M-HDS Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,B85M-HDS,"[63.99, 90.85]",No,,,,,,4,,No,,,,,,77.42,asrock-motherboard-b85mhds,LGA1150,16.0,2 x 240-pin DIMM
,AM3+,AMD 990FX,Yes,,ATX,,Motherboard,/product/fHyFf7/asus-motherboard-crosshairvformulathunderbolt,Asus,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1800 / 2000 / 2133,,,,,Asus Crosshair V Formula/Thunderbolt ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,,,Crosshair V Formula/Thunderbolt,[],Yes,,,,,,7,,3-way SLI,,,,1,,0.0,asus-motherboard-crosshairvformulathunderbolt,AM3+,32.0,4 x 240-pin DIMM
,LGA1155,Intel Z68,No,,Mini ITX,,Motherboard,/product/vWh9TW/zotac-motherboard-z68itxbe,Zotac,16GB,2 x 204-pin SODIMM,DDR3-1333,,,,,Zotac Z68ITX-B-E Mini ITX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Yes,,,Z68ITX-B-E,[],Yes,,,,,2,2,,No,,,1,,1,0.0,zotac-motherboard-z68itxbe,LGA1155,16.0,2 x 204-pin SODIMM
,LGA1155,Intel Z68,No,,ATX,,Motherboard,/product/78Np99/evga-motherboard-130sbe685kr,EVGA,16GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800 / 1866 / 2133,,,,,EVGA 130-SB-E685-KR ATX LGA1155 Motherboard,2 x 10/100/1000 Mbps,No,No,,,130-SB-E685-KR,[],Yes,,,,,3,2,,Yes,,,1,,,0.0,evga-motherboard-130sbe685kr,LGA1155,16.0,4 x 240-pin DIMM
,LGA1155,Intel Z68,No,,Micro ATX,,Motherboard,/product/fyCwrH/asrock-motherboard-z68musb3,ASRock,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866 / 2133,,,,,ASRock Z68M/USB3 Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,Z68M/USB3,[],Yes,,,,,4,2,,No,,,,,,0.0,asrock-motherboard-z68musb3,LGA1155,16.0,2 x 240-pin DIMM
,LGA1155,Intel Z68,No,,Mini ITX,,Motherboard,/product/L96BD3/asrock-motherboard-z68mitxht,ASRock,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866 / 2133,,,,,ASRock Z68M-ITX/HT Mini ITX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,Z68M-ITX/HT,[],Yes,,,,,2,2,,No,,,1,,,0.0,asrock-motherboard-z68mitxht,LGA1155,16.0,2 x 240-pin DIMM
,AM3/AM2+/AM2,AMD 785G,No,,Micro ATX,,Motherboard,/product/npckcf/asrock-motherboard-a785gmle,ASRock,8GB,2 x 240-pin DIMM,DDR2-533 / 667 / 800 / 1066,,,,,ASRock A785GM-LE Micro ATX AM3/AM2+/AM2 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,A785GM-LE,[],Yes,,,,,6,,,No,,,,,,0.0,asrock-motherboard-a785gmle,AM3/AM2+/AM2,8.0,2 x 240-pin DIMM
,AM3,AMD 880G,No,,Micro ATX,,Motherboard,/product/78tCmG/biostar-motherboard-ta880gu3,Biostar,16GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600,,,,,Biostar TA880GU3+ Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,TA880GU3+,[],Yes,,,,,,6,,No,,,,,,0.0,biostar-motherboard-ta880gu3,AM3,16.0,4 x 240-pin DIMM
,AM3+/AM3,AMD 990FX,Yes,,ATX,,Motherboard,/product/YKYXsY/sapphire-motherboard-pba3brd990,Sapphire,16GB,4 x 240-pin DIMM,DDR3-1600 / 1866,,,,PURE Black 990FX,Sapphire PURE Black 990FX ATX AM3+/AM3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,,,PB-A3BRD990,[],Yes,,,,,,9,,3-way SLI,,,,,,0.0,sapphire-motherboard-pba3brd990,AM3+/AM3,16.0,4 x 240-pin DIMM
,LGA1150,Intel H97,Yes,,ATX,,Motherboard,/product/Jpdqqs/asus-motherboard-h97pro,Asus,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,Asus H97-PRO ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,H97-PRO,[],Yes,,,,,,4,1,No,,,,,,0.0,asus-motherboard-h97pro,LGA1150,32.0,4 x 240-pin DIMM
,AM3,AMD 880G,No,,Micro ATX,,Motherboard,/product/rDR48d/msi-motherboard-880gmse35,MSI,16GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333,,,,,MSI 880GMS-E35 Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,880GMS-E35,[],Yes,,,,,,6,,No,,,,,,0.0,msi-motherboard-880gmse35,AM3,16.0,2 x 240-pin DIMM
,LGA1150,Intel C224,No,,Mini ITX,,Motherboard,/product/wf3RsY/asrock-motherboard-e3c224d2i,ASRock,16GB,2 x 240-pin DIMM,DDR3-1333 / 1600,,,,,ASRock E3C224D2I Mini ITX LGA1150 Motherboard,3 x 10/100/1000 Mbps,Yes,Yes,,,E3C224D2I,"[192.99, 193.99, 193.99]",Yes,,,,,2,4,,No,,,,,,193.656666667,asrock-motherboard-e3c224d2i,LGA1150,16.0,2 x 240-pin DIMM
,AM2+/AM2,NVIDIA GeForce 8200,No,,Mini ITX,,Motherboard,/product/mmckcf/zotac-motherboard-gf8200ce,Zotac,8GB,2 x 240-pin DIMM,DDR2-1066,,,,,Zotac GF8200-C-E Mini ITX AM2+/AM2 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,GF8200-C-E,[],No,,,,,4,,,No,,,,,,0.0,zotac-motherboard-gf8200ce,AM2+/AM2,8.0,2 x 240-pin DIMM
,LGA1155,Intel Z68,Yes,,ATX,,Motherboard,/product/tCYXsY/msi-motherboard-z68ag45b3,MSI,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866 / 2133,,,,,MSI Z68A-G45 (B3) ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,Z68A-G45 (B3),[],Yes,,,,,4,2,,Yes,,,,,,0.0,msi-motherboard-z68ag45b3,LGA1155,32.0,4 x 240-pin DIMM
,AM3,AMD 890GX,Yes,,Micro ATX,,Motherboard,/product/6psKHx/asrock-motherboard-890gmpro3,ASRock,16GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800,,,,890GM Pro3,ASRock 890GM Pro3 Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,890GM PRO3,[],Yes,,,,,,5,,No,,,,1,,0.0,asrock-motherboard-890gmpro3,AM3,16.0,4 x 240-pin DIMM
,FM2+,AMD A58,No,,Micro ATX,,Motherboard,/product/P9xfrH/msi-motherboard-a58me35,MSI,32GB,2 x 240-pin DIMM,DDR3-1333 / 1600 / 1866 / 2133,,,,,MSI A58M-E35 Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,A58M-E35,[],Yes,,,,,6,,,No,,,,,,0.0,msi-motherboard-a58me35,FM2+,32.0,2 x 240-pin DIMM
,AM2,NVIDIA nForce 430 MCP,No,,ATX,,Motherboard,/product/chgPxr/asus-motherboard-m2n,Asus,7.9GB,4 x 240-pin DIMM,DDR2-533 / 667 / 800,,,,,Asus M2N ATX AM2 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,M2N,[],Yes,,,,,4,,,No,,,,,,0.0,asus-motherboard-m2n,AM2,7.9,4 x 240-pin DIMM
,LGA1155,Intel H61,No,,Micro ATX,,Motherboard,/product/xr4gXL/ecs-motherboard-h61h2mv,ECS,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,ECS H61H2-MV Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,H61H2-MV,[],No,,,,,4,,,No,,,,,,0.0,ecs-motherboard-h61h2mv,LGA1155,16.0,2 x 240-pin DIMM
,AM3+,AMD 760G,No,,Micro ATX,,Motherboard,/product/23Lypg/biostar-motherboard-a960d,Biostar,16GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1866,,,,,Biostar A960D+ Micro ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,1,,A960D+,[],Yes,,,,,4,,,No,,,,,,0.0,biostar-motherboard-a960d,AM3+,16.0,2 x 240-pin DIMM
,LGA1150,Intel Z97,Yes,,ATX,,Motherboard,/product/zc3RsY/msi-motherboard-z97g55sli,MSI,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866 / 2000 / 2133 / 2200 / 2400 / 2600 / 2800 / 3000 / 3100 / 3200 / 3300,,,,,MSI Z97-G55 SLI ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,Z97-G55 SLI,[],Yes,,,,,,6,,Yes,,,,,,0.0,msi-motherboard-z97g55sli,LGA1150,32.0,4 x 240-pin DIMM
,LGA1155,Intel H61,No,,Micro ATX,,Motherboard,/product/bpgPxr/foxconn-motherboard-h61md,Foxconn,16GB,2 x 240-pin DIMM,DDR3-1333 / 1600,,,,,Foxconn H61MD Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,H61MD,[],No,,,,,4,,,No,,,,,,0.0,foxconn-motherboard-h61md,LGA1155,16.0,2 x 240-pin DIMM
,LGA1155,Intel Z77,Yes,,ATX,,Motherboard,/product/tqjG3C/ecs-motherboard-z77h2a2xdeluxev20,ECS,32GB,4 x 240-pin DIMM,DDR3-1333 / 1600 / 1800 / 2133 / 2400 / 2600 / 2800,,1,,,ECS Z77H2-A2X DELUXE(V2.0) ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,Z77H2-A2X DELUXE(V2.0),[],Yes,,,,,2,4,,Yes,,,1,,,0.0,ecs-motherboard-z77h2a2xdeluxev20,LGA1155,32.0,4 x 240-pin DIMM
,LGA1150,Intel H81,No,,ATX,,Motherboard,/product/kCfp99/gigabyte-motherboard-gah81d3,Gigabyte,16GB,2 x 240-pin DIMM,DDR3-1333 / 1600,,,,,Gigabyte GA-H81-D3 ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,GA-H81-D3,[],No,,,,,2,2,,No,,,,,,0.0,gigabyte-motherboard-gah81d3,LGA1150,16.0,2 x 240-pin DIMM
,FM2,AMD A75,No,,ATX,,Motherboard,/product/qXDwrH/ecs-motherboard-a75f2a210,ECS,64GB,2 x 240-pin DIMM,DDR3-1333 / 1600 / 1866 / 2133 / 2400 / 2600,,,,,ECS A75F2-A2(1.0) ATX FM2 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,A75F2-A2(1.0),[],Yes,,,,,,6,,No,,,,,,0.0,ecs-motherboard-a75f2a210,FM2,64.0,2 x 240-pin DIMM
,AM3,AMD 870,Yes,,ATX,,Motherboard,/product/cHmLrH/msi-motherboard-870ag46,MSI,32GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600,,,,,MSI 870A-G46 ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,No,,,870A-G46,[],Yes,,,,,,6,,No,,,,,,0.0,msi-motherboard-870ag46,AM3,32.0,4 x 240-pin DIMM
,LGA1155,Intel H61,No,,Micro ATX,,Motherboard,/product/shzv6h/jetway-motherboard-jmih61mdu3lf,Jetway,8GB,2 x 240-pin DIMM,DDR3-1333,,,,,Jetway JMIH61M-DU3-LF Micro ATX LGA1155 Motherboard,1 x 10/100 Mbps,No,Depends on CPU,,,JMIH61M-DU3-LF,[],No,,,,,4,,,No,,,,,,0.0,jetway-motherboard-jmih61mdu3lf,LGA1155,8.0,2 x 240-pin DIMM
,LGA1151,Intel H170,No,,Micro ATX,,Motherboard,/product/kjZ2FT/msi-motherboard-h170meco,MSI,32GB,2 x 288-pin DIMM,DDR4-2133,,,,,MSI H170M ECO Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,H170M ECO,[94.27],No,,,,,,6,,No,,,,,,94.27,msi-motherboard-h170meco,LGA1151,32.0,2 x 288-pin DIMM
,LGA1151,Intel C236,No,,Micro ATX,,Motherboard,/product/bntWGX/asus-p10s-m-ws-micro-atx-lga1151-motherboard-p10s-m-ws,Asus,64GB,4 x 288-pin DIMM,DDR4-2133,,,,,Asus P10S-M WS Micro ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,,,P10S-M WS,"[199.99, 199.99, 203.99]",Yes,,,,,,8,,No,,,,,,201.323333333,asus-p10s-m-ws-micro-atx-lga1151-motherboard-p10s-m-ws,LGA1151,64.0,4 x 288-pin DIMM
,LGA1151,Intel Z270,Yes,,ATX,,Motherboard,/product/WN98TW/gigabyte-ga-z270p-d3-atx-lga1151-motherboard-ga-z270p-d3,Gigabyte,64GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,,,,,Gigabyte GA-Z270P-D3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,GA-Z270P-D3,[108.99],Yes,,,,,,6,,No,,,,,,108.99,gigabyte-ga-z270p-d3-atx-lga1151-motherboard-ga-z270p-d3,LGA1151,64.0,4 x 288-pin DIMM
,LGA1151,Intel C232,No,,Micro ATX,,Motherboard,/product/jt8H99/supermicro-motherboard-mbdx11sslfo,Supermicro,64GB,4 x 288-pin DIMM,DDR4-1600 / 1866 / 2133,,,,,Supermicro MBD-X11SSL-F-O Micro ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,,,MBD-X11SSL-F-O,"[196.25, 189.0]",Yes,,,,,,6,,No,,,,,,192.625,supermicro-motherboard-mbdx11sslfo,LGA1151,64.0,4 x 288-pin DIMM
,LGA2011-3,Intel X99,Yes,,ATX,,Motherboard,/product/2gs8TW/asus-motherboard-x99deluxeu31,Asus,64GB,8 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000,,,,,Asus X99-DELUXE/U3.1 ATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,,,X99-DELUXE/U3.1<br/>(or) 90MB0JF1-M0EAY0<br/>(or) X99 DELUXE/USB3.1,[462.49],Yes,,,,,,8,2,3-way SLI,,,,,,462.49,asus-motherboard-x99deluxeu31,LGA2011-3,64.0,8 x 288-pin DIMM
,LGA1155,Intel B75,No,,Micro ATX,,Motherboard,/product/mBCwrH/intel-motherboard-boxdb75en,Intel,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,DB75EN,Intel DB75EN Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,BOXDB75EN,[],No,,,,,4,1,,No,,,,,,0.0,intel-motherboard-boxdb75en,LGA1155,32.0,4 x 240-pin DIMM
,LGA1151,Intel C236,Yes,,Micro ATX,,Motherboard,/product/r4s8TW/msi-motherboard-c236mworkstation,MSI,64GB,4 x 288-pin DIMM,DDR4-2133,,,,,MSI C236M WORKSTATION Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,C236M WORKSTATION,"[149.99, 149.99, 150.27, 152.99, 149.99, 166.68]",Yes,,,,,,4,1,No,,,,,,153.318333333,msi-motherboard-c236mworkstation,LGA1151,64.0,4 x 288-pin DIMM
,LGA1156,Intel P55,No,,Micro ATX,,Motherboard,/product/xcK7YJ/intel-motherboard-boxdp55wb,Intel,16GB,4 x 240-pin DIMM,DDR3-1066 / 1333,,,,DP55WB,Intel DP55WB Micro ATX LGA1156 Motherboard,1 x 10/100/1000 Mbps,No,No,,,BOXDP55WB,[132.43],Yes,,,,,6,,,No,,,,,,132.43,intel-motherboard-boxdp55wb,LGA1156,16.0,4 x 240-pin DIMM
,LGA1151,Intel H170,No,,Micro ATX,,Motherboard,/product/cm7CmG/msi-h170m-pro-vdh-micro-atx-lga1151-motherboard-h170m-pro-vdh,MSI,64GB,4 x 288-pin DIMM,DDR4-2133,,,,,MSI H170M PRO-VDH Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,H170M PRO-VDH,[],Yes,,,,,,4,1,No,,,,,,0.0,msi-h170m-pro-vdh-micro-atx-lga1151-motherboard-h170m-pro-vdh,LGA1151,64.0,4 x 288-pin DIMM
,LGA2011-3 Narrow,Intel C612,No,,Micro ATX,,Motherboard,/product/vBjWGX/supermicro-motherboard-x10srmtf,Supermicro,512GB,4 x 288-pin DIMM,DDR4-1600 / 1866 / 2133 / 2400,,,,,Supermicro X10SRM-TF Micro ATX LGA2011-3 Narrow Motherboard,2 x 100 Mbps/1 Gbps/10 Gbps,Yes,Yes,,,X10SRM-TF,"[349.99, 383.0]",Yes,,,,,,10,,No,,,,,,366.495,supermicro-motherboard-x10srmtf,LGA2011-3 Narrow,512.0,4 x 288-pin DIMM
,LGA1151,Intel Z170,No,,ATX,,Motherboard,/product/q8M323/asrock-z170-extreme6-atx-lga1151-motherboard-z170-extreme6,ASRock,64GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2800 / 2933 / 3200 / 3600 / 3866,,,,,ASRock Z170 Extreme6 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,Z170 Extreme6,"[171.88, 171.99, 189.84, 189.94, 203.99]",Yes,,,,,,4,2,No,,,,,,185.528,asrock-z170-extreme6-atx-lga1151-motherboard-z170-extreme6,LGA1151,64.0,4 x 288-pin DIMM
,LGA1155,Intel H55,No,,ATX,,Motherboard,/product/bP4gXL/intel-motherboard-boxdz77bh55k,Intel,32GB,4 x 240-pin DIMM,DDR3-1333 / 1600,,,,DZ77BH55K,Intel DZ77BH55K ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,BOXDZ77BH55K,"[171.74, 179.99]",Yes,,,,,3,4,,No,,,1,,,175.865,intel-motherboard-boxdz77bh55k,LGA1155,32.0,4 x 240-pin DIMM
,AM3+/AM3,AMD 990X,Yes,,ATX,,Motherboard,/product/7Zwqqs/gigabyte-motherboard-ga990xaud3r5,Gigabyte,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866 / 2000,,,,,Gigabyte GA-990XA-UD3 R5 ATX AM3+/AM3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,,,GA-990XA-UD3 R5,[],Yes,,,,,,6,,Yes,,,,,,0.0,gigabyte-motherboard-ga990xaud3r5,AM3+/AM3,32.0,4 x 240-pin DIMM
,LGA1150,Intel C222,No,,Micro ATX,,Motherboard,/product/NhgPxr/supermicro-motherboard-x10sl7f,Supermicro,32GB,4 x 240-pin DIMM,DDR3-1600,,,,,Supermicro X10SL7-F Micro ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,,,X10SL7-F,[239.99],Yes,,,8,,4,2,,No,,,,,,239.99,supermicro-motherboard-x10sl7f,LGA1150,32.0,4 x 240-pin DIMM
,LGA1155,Intel H77,No,,Micro ATX,,Motherboard,/product/JKjG3C/intel-motherboard-boxdh77eb,Intel,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,DH77EB,Intel DH77EB Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,BOXDH77EB,[119.99],No,,,,,2,2,,No,,,1,,1,119.99,intel-motherboard-boxdh77eb,LGA1155,32.0,4 x 240-pin DIMM
,LGA2011,Intel X79,Yes,,ATX,,Motherboard,/product/9TLypg/gigabyte-motherboard-gax79ud3,Gigabyte,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866 / 2133,,,,,Gigabyte GA-X79-UD3 ATX LGA2011 Motherboard,1 x 10/100/1000 Mbps,Yes,No,,,GA-X79-UD3,[],Yes,,,,,4,6,,4-way SLI,,,,2,,0.0,gigabyte-motherboard-gax79ud3,LGA2011,32.0,4 x 240-pin DIMM
,LGA1151,Intel C236,No,,ATX,,Motherboard,/product/ZRKhP6/asus-p10s-e4l-atx-lga1151-motherboard-p10s-e4l,Asus,64GB,4 x 288-pin DIMM,DDR4-2133,,,,,Asus P10S-E/4L ATX LGA1151 Motherboard,4 x 10/100/1000 Mbps,Yes,Yes,,,P10S-E/4L,"[289.0, 291.99]",Yes,,,,,,8,,No,,,,,,290.495,asus-p10s-e4l-atx-lga1151-motherboard-p10s-e4l,LGA1151,64.0,4 x 288-pin DIMM
,LGA1150,Intel Z87,Yes,,ATX,,Motherboard,/product/CXK7YJ/asus-motherboard-z87plus,Asus,32GB,4 x 240-pin DIMM,DDR3-1333 / 1600 / 1800 / 1866 / 2000 / 2200 / 2400 / 2500 / 2600 / 2666 / 2800,,,,Z87-Plus,Asus Z87-Plus ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,Z87-PLUS,[],Yes,,,,,,8,,Yes,,,,,,0.0,asus-motherboard-z87plus,LGA1150,32.0,4 x 240-pin DIMM
,LGA1151,Intel H110,No,,Micro ATX,,Motherboard,/product/xgbkcf/asus-motherboard-h110med3,Asus,32GB,2 x 240-pin DIMM,DDR3-1333 / 1600 / 1866,,,,,Asus H110M-E D3 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,H110M-E D3,[],No,,,,,,4,,No,,,,,,0.0,asus-motherboard-h110med3,LGA1151,32.0,2 x 240-pin DIMM
,LGA1151,Intel C232,No,,Micro ATX,,Motherboard,/product/YTYWGX/asus-p10s-m-micro-atx-lga1151-motherboard-p10s-m,Asus,64GB,4 x 288-pin DIMM,DDR4-2133,,,,,Asus P10S-M Micro ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,,,P10S-M,"[199.99, 199.99, 204.99, 214.4, 214.4]",Yes,,,,,,6,,No,,,,,,206.754,asus-p10s-m-micro-atx-lga1151-motherboard-p10s-m,LGA1151,64.0,4 x 288-pin DIMM
,LGA1151,Intel Z270,Yes,,ATX,,Motherboard,/product/chdFf7/biostar-z270gt6-atx-lga1151-motherboard-z270gt6,Biostar,64GB,4 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 3200,,,,,Biostar Z270GT6 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,Z270GT6,[189.99],Yes,,,,,,6,,No,,,,,,189.99,biostar-z270gt6-atx-lga1151-motherboard-z270gt6,LGA1151,64.0,4 x 288-pin DIMM
,LGA1151,Intel Q170,No,,Micro ATX,,Motherboard,/product/wY98TW/asus-motherboard-q170mccsm,Asus,64GB,4 x 288-pin DIMM,DDR4-2133,,,,,Asus Q170M-C/CSM Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,Q170M-C/CSM,"[122.99, 133.76, 128.65]",Yes,,,,,,6,,No,,,,,,128.466666667,asus-motherboard-q170mccsm,LGA1151,64.0,4 x 288-pin DIMM
,FM2+,AMD A88X,Yes,,Micro ATX,,Motherboard,/product/YwPzK8/asus-motherboard-a88xmplus,Asus,64GB,4 x 240-pin DIMM,DDR3-1333 / 1600 / 1866 / 2133 / 2200 / 2250 / 2400,,,,,Asus A88XM-Plus Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,A88XM-Plus,[],Yes,,,,,,8,,No,,,,,,0.0,asus-motherboard-a88xmplus,FM2+,64.0,4 x 240-pin DIMM
,LGA1151,Intel B150,Yes,,ATX,,Motherboard,/product/78Jkcf/asrock-motherboard-b150pro4d3,ASRock,64GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866,,,,,ASRock B150 PRO4/D3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,B150 PRO4/D3,[],No,,,,,,6,,No,,,,,,0.0,asrock-motherboard-b150pro4d3,LGA1151,64.0,4 x 240-pin DIMM
,LGA1150,Intel C226,No,,Micro ATX,,Motherboard,/product/MWMFf7/asrock-c226m-ws-micro-atx-lga1150-motherboard-c226m-ws,ASRock,32GB,4 x 240-pin DIMM,DDR3-1333 / 1600,,,,,ASRock C226M WS Micro ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,,,C226M WS,"[159.99, 179.99, 179.99]",Yes,,,,,,4,1,No,,,,,,173.323333333,asrock-c226m-ws-micro-atx-lga1150-motherboard-c226m-ws,LGA1150,32.0,4 x 240-pin DIMM
,LGA1150,Intel B85,Yes,,Micro ATX,,Motherboard,/product/VVjG3C/ecs-motherboard-b85h3m10,ECS,32GB,4 x 240-pin DIMM,DDR3-1333 / 1600,,,,,ECS B85H3-M(1.0) Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,B85H3-M(1.0),[54.99],No,,,,,2,4,,No,,,,,,54.99,ecs-motherboard-b85h3m10,LGA1150,32.0,4 x 240-pin DIMM
