Boost Clock,Chipset,Core Clock,CrossFire Support,DVI,DVI-D Dual-Link,DVI-D Single-Link,DVI-I Dual-Link,DVI-I Single-Link,DisplayPort,Fan,HDMI,Interface,Kind,Length,Link,Manufacturer,Memory Size,Memory Type,Mini-Display Port,Mini-HDMI,Model,Name,Part #,Prices,S-Video,SLI Support,Supports Freesync,Supports G-Sync,TDP,VGA,VHDCI,clock_speed_in_mhz,memory_mb,avg,make,boost_clock_speed_mhz,short_link,tdp
1.80GHz,GeForce GTX 1060 6GB,1.58GHz,No,,2,,,,1,Yes,1,PCI-Express x16,Video Card,"8.78"" (223mm)",/product/7RKhP6/gigabyte-geforce-gtx-1060-6gb-windforce-oc-6g-video-card-gv-n1060wf2oc-6gd,Gigabyte,6GB,GDDR5,,,,Gigabyte GeForce GTX 1060 6GB 6GB WINDFORCE OC 6G Video Card,GV-N1060WF2OC-6GD,"[249.99, 264.99, 264.99, 264.99, 364.99]",,No,,Yes,120 Watts,,,1580.0,6000.0,281.99,NVIDIA,1800.0,gigabyte-geforce-gtx-1060-6gb-windforce-oc-6g-video-card-gv-n1060wf2oc-6gd,120.0
1.86GHz,GeForce GTX 1070,1.63GHz,No,,1,,,,2,Yes,2,PCI-Express x16,Video Card,"11.73"" (298mm)",/product/j8rcCJ/asus-geforce-gtx-1070-8gb-video-card-rog-strix-gtx1070-o8g-gaming,Asus,8GB,GDDR5,,,,Asus GeForce GTX 1070 8GB Video Card,ROG STRIX-GTX1070-O8G-GAMING<br/>(or) STRIX-GTX1070-O8G-GAMING,"[419.0, 449.89, 429.99, 431.31, 438.99, 449.99, 453.24]",,Yes,,Yes,150 Watts,,,1630.0,8000.0,438.915714286,NVIDIA,1860.0,asus-geforce-gtx-1070-8gb-video-card-rog-strix-gtx1070-o8g-gaming,150.0
1.32GHz,GeForce GTX 950,1.13GHz,No,,,,1,,3,Yes,1,PCI-Express x16,Video Card,"10.63"" (270mm)",/product/XrVBD3/msi-video-card-gtx950gaming2g,MSI,2GB,GDDR5,,,,MSI GeForce GTX 950 2GB Video Card,GTX 950 GAMING 2G<br/>(or) V320-059R,"[160.66, 199.89]",,Yes,,Yes,90 Watts,,,1130.0,2000.0,180.275,NVIDIA,1320.0,msi-video-card-gtx950gaming2g,90.0
,Radeon HD 5450,650MHz,Yes,,,,1,,,No,1,PCI-Express x16,Video Card,,/product/GxBv6h/his-video-card-h545hr2g,HIS,2GB,DDR3,,,,HIS Radeon HD 5450 2GB Video Card,H545HR2G,[],,No,,,19 Watts,1,,650.0,2000.0,0.0,AMD,0.0,his-video-card-h545hr2g,19.0
,Radeon HD 6850,820MHz,Yes,,,,2,,1,Yes,1,PCI-Express x16,Video Card,,/product/smMFf7/his-video-card-h685qnt1gd,HIS,1GB,GDDR5,,,,HIS Radeon HD 6850 1GB Video Card,H685QNT1GD,[],,No,,,127 Watts,,,820.0,1000.0,0.0,AMD,0.0,his-video-card-h685qnt1gd,127.0
,Radeon HD 4670,750MHz,4-way CrossFire,,,,1,,,Yes,1,PCI-Express x16,Video Card,,/product/yVvRsY/his-video-card-h467qr1gh,HIS,1GB,DDR3,,,,HIS Radeon HD 4670 1GB Video Card,H467QR1GH,[],,No,,,59 Watts,1,,750.0,1000.0,0.0,AMD,0.0,his-video-card-h467qr1gh,59.0
,Radeon HD 6970,900MHz,4-way CrossFire,,,,2,,,Yes,1,PCI-Express x16,Video Card,,/product/PKtCmG/his-video-card-h697ft2g2m,HIS,2GB,GDDR5,2,,,HIS Radeon HD 6970 2GB Video Card,H697FT2G2M,[],,No,,,250 Watts,,,900.0,2000.0,0.0,AMD,0.0,his-video-card-h697ft2g2m,250.0
,Radeon R9 290,947MHz,4-way CrossFire,,2,,,,1,Yes,1,PCI-Express x16,Video Card,"10.83"" (275mm)",/product/QhtWGX/visiontek-video-card-r92904gvtne,VisionTek,4GB,GDDR5,,,,VisionTek Radeon R9 290 4GB Video Card,R92904GVTNE,[],,No,,,250 Watts,,,947.0,4000.0,0.0,AMD,0.0,visiontek-video-card-r92904gvtne,250.0
,Radeon HD 5750,700MHz,Yes,,,,1,,1,Yes,1,PCI-Express x16,Video Card,,/product/qhzv6h/his-video-card-h575qs1gd,HIS,1GB,GDDR5,,,,HIS Radeon HD 5750 1GB Video Card,H575QS1GD,[],,No,,,86 Watts,,,700.0,1000.0,0.0,AMD,0.0,his-video-card-h575qs1gd,86.0
,Radeon HD 6850,775MHz,Yes,,,,2,,1,Yes,1,PCI-Express x16,Video Card,,/product/RgMFf7/his-video-card-h685f1gd,HIS,1GB,GDDR5,,,,HIS Radeon HD 6850 1GB Video Card,H685F1GD,[],,No,,,127 Watts,,,775.0,1000.0,0.0,AMD,0.0,his-video-card-h685f1gd,127.0
,GeForce GTX 560 Ti,900MHz,No,,,,2,,,Yes,,PCI-Express x16,Video Card,"8.98"" (228mm)",/product/xbPfrH/evga-video-card-01gp31567kr,EVGA,1GB,GDDR5,,1,,EVGA GeForce GTX 560 Ti 1GB Video Card,01G-P3-1567-KR,[],,Yes,,,210 Watts,,,900.0,1000.0,0.0,NVIDIA,0.0,evga-video-card-01gp31567kr,210.0
,Radeon HD 6970,940MHz,4-way CrossFire,,,,2,,,Yes,1,PCI-Express x16,Video Card,,/product/jNbp99/msi-video-card-r6970lightning,MSI,2GB,GDDR5,2,,,MSI Radeon HD 6970 2GB Video Card,R6970 Lightning,[],,No,,,250 Watts,,,940.0,2000.0,0.0,AMD,0.0,msi-video-card-r6970lightning,250.0
,Radeon HD 6570,650MHz,No,,,,1,,,No,1,PCI-Express x16,Video Card,,/product/4BBv6h/his-video-card-h657h1g,HIS,1GB,DDR3,,,,HIS Radeon HD 6570 1GB Video Card,H657H1G,[],,No,,,44 Watts,1,,650.0,1000.0,0.0,AMD,0.0,his-video-card-h657h1g,44.0
,Radeon R7 360,1.06GHz,Yes,,,,1,,1,Yes,1,PCI-Express x16,Video Card,"8.46"" (215mm)",/product/tmqbt6/sapphire-video-card-100388ocl,Sapphire,2GB,GDDR5,,,,Sapphire Radeon R7 360 2GB Video Card,100388OCL,[],,No,Yes,,100 Watts,,,1060.0,2000.0,0.0,AMD,0.0,sapphire-video-card-100388ocl,100.0
,GeForce GTX 580,772MHz,No,,,,2,,,Yes,,PCI-Express x16,Video Card,,/product/wkQypg/zotac-video-card-zt5010310p,Zotac,3GB,GDDR5,,1,,Zotac GeForce GTX 580 3GB Video Card,ZT-50103-10P,[],,4-way SLI,,,244 Watts,,,772.0,3000.0,0.0,NVIDIA,0.0,zotac-video-card-zt5010310p,244.0
,Radeon HD 6970,920MHz,4-way CrossFire,,,,2,,1,Yes,1,PCI-Express x16,Video Card,"11.38"" (289mm)",/product/PgMFf7/gigabyte-video-card-gvr697oc22gd,Gigabyte,2GB,GDDR5,,,,Gigabyte Radeon HD 6970 2GB Video Card,GV-R697OC2-2GD,[],,No,,,250 Watts,,,920.0,2000.0,0.0,AMD,0.0,gigabyte-video-card-gvr697oc22gd,250.0
,Radeon HD 6770,,Yes,,,,1,,1,Yes,1,PCI-Express x16,Video Card,,/product/H8tCmG/sapphire-video-card-100328l,Sapphire,1GB,GDDR5,,,,Sapphire Radeon HD 6770 1GB Video Card,100328L,[],,No,,,108 Watts,,,0.0,1000.0,0.0,AMD,0.0,sapphire-video-card-100328l,108.0
,Radeon HD 6770,850MHz,Yes,,,,1,,,Yes,1,PCI-Express x16,Video Card,,/product/tKtCmG/powercolor-video-card-ax67701gbd5h,PowerColor,1GB,GDDR5,,,,PowerColor Radeon HD 6770 1GB Video Card,AX6770 1GBD5-H,[],,No,,,108 Watts,1,,850.0,1000.0,0.0,AMD,0.0,powercolor-video-card-ax67701gbd5h,108.0
,Radeon HD 6570,650MHz,No,,,,1,,,Yes,1,PCI-Express x16,Video Card,"6.57"" (167mm)",/product/RYDwrH/asus-video-card-eah6570di1gd3lp,Asus,1GB,DDR3,,,,Asus Radeon HD 6570 1GB Video Card,EAH6570/DI/1GD3(LP),[],,No,,,44 Watts,1,,650.0,1000.0,0.0,AMD,0.0,asus-video-card-eah6570di1gd3lp,44.0
,GeForce GTX 650 Ti,1.03GHz,No,,,,2,,,Yes,1,PCI-Express x16,Video Card,"7.36"" (187mm)",/product/Bg9KHx/gigabyte-video-card-gvn65toc1gi,Gigabyte,1GB,GDDR5,,,,Gigabyte GeForce GTX 650 Ti 1GB Video Card,GV-N65TOC-1GI,[],,No,,,110 Watts,1,,1030.0,1000.0,0.0,NVIDIA,0.0,gigabyte-video-card-gvn65toc1gi,110.0
,GeForce GTX 650 Ti,993MHz,No,,1,,1,,,Yes,,PCI-Express x16,Video Card,"9.06"" (230mm)",/product/ZBCwrH/msi-video-card-n650tipe1gd5oc,MSI,1GB,GDDR5,,1,,MSI GeForce GTX 650 Ti 1GB Power Edition Video Card,N650Ti PE 1GD5/OC,[],,No,,,110 Watts,,,993.0,1000.0,0.0,NVIDIA,0.0,msi-video-card-n650tipe1gd5oc,110.0
,GeForce GTX 650 Ti,1.03GHz,No,,2,,,,,Yes,1,PCI-Express x16,Video Card,"7.36"" (187mm)",/product/fMsKHx/gigabyte-video-card-gvn65toc2gi,Gigabyte,2GB,GDDR5,,,,Gigabyte GeForce GTX 650 Ti 2GB Video Card,GV-N65TOC-2GI,[],,No,,,110 Watts,1,,1030.0,2000.0,0.0,NVIDIA,0.0,gigabyte-video-card-gvn65toc2gi,110.0
,GeForce GTX 680,1.07GHz,No,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,"11.57"" (294mm)",/product/yb3RsY/gigabyte-video-card-gvn680oc4gd,Gigabyte,4GB,GDDR5,,,,Gigabyte GeForce GTX 680 4GB Video Card,GV-N680OC-4GD,[],,4-way SLI,,Yes,195 Watts,,,1070.0,4000.0,0.0,NVIDIA,0.0,gigabyte-video-card-gvn680oc4gd,195.0
,Radeon HD 6570,650MHz,No,,1,,,,,Yes,1,PCI-Express x16,Video Card,"6.61"" (168mm)",/product/Bb3RsY/sapphire-video-card-1003232l,Sapphire,1GB,DDR3,,,,Sapphire Radeon HD 6570 1GB Video Card,100323-2L,[],,No,,,44 Watts,1,,650.0,1000.0,0.0,AMD,0.0,sapphire-video-card-1003232l,44.0
,GeForce GTX 650 Ti,954MHz,No,,,,2,,,Yes,,PCI-Express x16,Video Card,"9.06"" (230mm)",/product/bL3RsY/msi-video-card-n650ti1gd5oc,MSI,1GB,GDDR5,,1,,MSI GeForce GTX 650 Ti 1GB Video Card,N650TI 1GD5/OC,[],,No,,,110 Watts,,,954.0,1000.0,0.0,NVIDIA,0.0,msi-video-card-n650ti1gd5oc,110.0
,Radeon HD 6770,875MHz,Yes,,,,1,,1,Yes,1,PCI-Express x16,Video Card,,/product/Wv9KHx/msi-video-card-r6770twinfrozriioc,MSI,1GB,GDDR5,,,,MSI Radeon HD 6770 1GB Video Card,R6770 Twin Frozr II/OC,[],,No,,,108 Watts,,,875.0,1000.0,0.0,AMD,0.0,msi-video-card-r6770twinfrozriioc,108.0
,Radeon HD 7850,860MHz,Yes,,,,1,,1,Yes,1,PCI-Express x16,Video Card,"7.95"" (202mm)",/product/ttzv6h/powercolor-video-card-ax78501gbd5dh,PowerColor,1GB,GDDR5,,,,PowerColor Radeon HD 7850 1GB Video Card,AX7850 1GBD5-DH,[],,No,,,130 Watts,,,860.0,1000.0,0.0,AMD,0.0,powercolor-video-card-ax78501gbd5dh,130.0
,Radeon HD 7790,1.07GHz,Yes,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,"8.82"" (224mm)",/product/z3h9TW/his-video-card-h779ft1gd,HIS,1GB,GDDR5,,,,HIS Radeon HD 7790 1GB Video Card,H779FT1GD,[],,No,,,85 Watts,,,1070.0,1000.0,0.0,AMD,0.0,his-video-card-h779ft1gd,85.0
,GeForce GTX 580,823MHz,No,,,,2,,,Yes,,PCI-Express x16,Video Card,,/product/WyPfrH/msi-video-card-n580gtxm2d15d5oc,MSI,1.5GB,GDDR5,,1,,MSI GeForce GTX 580 1.5GB Video Card,N580GTX-M2D15D5OC,[],,4-way SLI,,,244 Watts,,,823.0,1500.0,0.0,NVIDIA,0.0,msi-video-card-n580gtxm2d15d5oc,244.0
,GeForce GTX 560 Ti,822MHz,No,,,,2,,,Yes,,PCI-Express x16,Video Card,,/product/2jrG3C/evga-video-card-01gp31560kr,EVGA,1GB,GDDR5,,1,,EVGA GeForce GTX 560 Ti 1GB Video Card,01G-P3-1560-KR,[],,Yes,,,210 Watts,,,822.0,1000.0,0.0,NVIDIA,0.0,evga-video-card-01gp31560kr,210.0
,GeForce GTX 460 X2,700MHz,No,,,,3,,,Yes,,PCI-Express x16,Video Card,"11.50"" (292mm)",/product/WmMFf7/evga-video-card-02gp31387ar,EVGA,2GB,GDDR5,,1,,EVGA GeForce GTX 460 X2 2GB Video Card,02G-P3-1387-AR,[],,No,,,300 Watts,,,700.0,2000.0,0.0,NVIDIA,0.0,evga-video-card-02gp31387ar,300.0
,Radeon HD 7750,800MHz,Yes,,,,1,,1,No,1,PCI-Express x16,Video Card,"6.65"" (169mm)",/product/9dkD4D/sapphire-video-card-112020340g,Sapphire,1GB,GDDR5,,,,Sapphire Radeon HD 7750 1GB Video Card,11202-03-40G,[],,No,,,55 Watts,,,800.0,1000.0,0.0,AMD,0.0,sapphire-video-card-112020340g,55.0
1.08GHz,GeForce GTX 980 Ti,1.0GHz,No,,1,,,,3,Yes,1,PCI-Express x16,Video Card,"11.10"" (282mm)",/product/8LJkcf/gigabyte-video-card-gvn98td56gdb,Gigabyte,6GB,GDDR5,,,,Gigabyte GeForce GTX 980 Ti 6GB Video Card,GV-N98TD5-6GD-B,[],,4-way SLI,,Yes,250 Watts,,,1000.0,6000.0,0.0,NVIDIA,1080.0,gigabyte-video-card-gvn98td56gdb,250.0
1.07GHz,GeForce GTX 980 Ti,1.0GHz,No,,,,1,,3,Yes,1,PCI-Express x16,Video Card,"10.51"" (267mm)",/product/Y4qbt6/ocuk-video-card-ocuk980ti,OcUK,6GB,GDDR5,,,,OcUK GeForce GTX 980 Ti 6GB Video Card,OcUK_980Ti,[],,4-way SLI,,Yes,250 Watts,,,1000.0,6000.0,0.0,NVIDIA,1070.0,ocuk-video-card-ocuk980ti,250.0
,Radeon HD 6950,800MHz,4-way CrossFire,,,,2,,,Yes,1,PCI-Express x16,Video Card,,/product/VLmLrH/sapphire-video-card-1003122sr,Sapphire,2GB,GDDR5,2,,,Sapphire Radeon HD 6950 2GB Video Card,100312-2SR,[],,No,,,200 Watts,,,800.0,2000.0,0.0,AMD,0.0,sapphire-video-card-1003122sr,200.0
,GeForce GTX 670,915MHz,No,,,,2,,1,Yes,1,PCI-Express x16,Video Card,"9.53"" (242mm)",/product/HG9KHx/sparkle-video-card-700001,Sparkle,2GB,GDDR5,,,,Sparkle GeForce GTX 670 2GB Video Card,700001,[],,4-way SLI,,Yes,170 Watts,,,915.0,2000.0,0.0,NVIDIA,0.0,sparkle-video-card-700001,170.0
,GeForce GTX 660,1.07GHz,No,,,,2,,1,Yes,1,PCI-Express x16,Video Card,"9.49"" (241mm)",/product/4CH323/evga-video-card-02gp42663kr,EVGA,2GB,GDDR5,,,,EVGA GeForce GTX 660 2GB Video Card,02G-P4-2663-KR,[],,Yes,,Yes,140 Watts,,,1070.0,2000.0,0.0,NVIDIA,0.0,evga-video-card-02gp42663kr,140.0
,Radeon HD 5450,650MHz,Yes,,,,1,,,No,1,PCI-Express x1,Video Card,,/product/kbPfrH/powercolor-video-card-ae5450512md2sh,PowerColor,512MB,DDR2,,,,PowerColor Radeon HD 5450 512MB Video Card,AE5450 512MD2-SH,[],,No,,,19 Watts,1,,650.0,512.0,0.0,AMD,0.0,powercolor-video-card-ae5450512md2sh,19.0
1.06GHz,GeForce GTX 760,1.01GHz,No,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,,/product/mKCwrH/inno3d-video-card-n7603sdne5dsx,Inno3D,2GB,GDDR5,,,,Inno3D GeForce GTX 760 2GB Video Card,N760-3SDN-E5DSX,[],,3-way SLI,,Yes,170 Watts,,,1010.0,2000.0,0.0,NVIDIA,1060.0,inno3d-video-card-n7603sdne5dsx,170.0
,Radeon HD 6750,700MHz,Yes,,,,1,,1,Yes,1,PCI-Express x16,Video Card,,/product/f2sKHx/his-video-card-h675f1gd,HIS,1GB,GDDR5,,,,HIS Radeon HD 6750 1GB Video Card,H675F1GD,[],,No,,,86 Watts,,,700.0,1000.0,0.0,AMD,0.0,his-video-card-h675f1gd,86.0
,Radeon HD 5450,650MHz,Yes,,,,1,,1,No,,PCI-Express x16,Video Card,,/product/LbPfrH/his-video-card-h545h1gdl,HIS,1GB,DDR3,,,,HIS Radeon HD 5450 1GB Video Card,H545H1GDL,[],,No,,,19 Watts,1,,650.0,1000.0,0.0,AMD,0.0,his-video-card-h545h1gdl,19.0
,GeForce GT 640,,No,,1,1,1,,,Yes,,PCI-Express x16,Video Card,,/product/Ftzv6h/sparkle-video-card-700003,Sparkle,2GB,DDR3,,1,,Sparkle GeForce GT 640 2GB Video Card,700003,[],,No,,,75 Watts,,,0.0,2000.0,0.0,NVIDIA,0.0,sparkle-video-card-700003,75.0
,GeForce GT 630,810MHz,No,,,,1,,,Yes,1,PCI-Express x16,Video Card,,/product/RJckcf/sparkle-video-card-700005,Sparkle,4GB,DDR3,,,,Sparkle GeForce GT 630 4GB Video Card,700005,[],,No,,,65 Watts,1,,810.0,4000.0,0.0,NVIDIA,0.0,sparkle-video-card-700005,65.0
,GeForce GT 630,810MHz,No,,,,1,,,Yes,1,PCI-Express x16,Video Card,,/product/9Jckcf/sparkle-video-card-700006,Sparkle,2GB,DDR3,,,,Sparkle GeForce GT 630 2GB Video Card,700006,[],,No,,,65 Watts,1,,810.0,2000.0,0.0,NVIDIA,0.0,sparkle-video-card-700006,65.0
,Radeon HD 6670,800MHz,No,,,,1,,,Yes,1,PCI-Express x16,Video Card,"5.87"" (149mm)",/product/v2sKHx/xfx-video-card-hd667xzhf3,XFX,1GB,DDR3,,,,XFX Radeon HD 6670 1GB Video Card,HD-667X-ZHF3,[],,No,,,66 Watts,1,,800.0,1000.0,0.0,AMD,0.0,xfx-video-card-hd667xzhf3,66.0
,Radeon HD 7850,1.0GHz,Yes,,,,1,,,Yes,1,PCI-Express x16,Video Card,"11.65"" (296mm)",/product/YTQypg/his-video-card-h785qt2g2m,HIS,2GB,GDDR5,2,,,HIS Radeon HD 7850 2GB IceQ Video Card,H785QT2G2M,[],,No,,,130 Watts,,,1000.0,2000.0,0.0,AMD,0.0,his-video-card-h785qt2g2m,130.0
1.22GHz,GeForce GTX 980,1.13GHz,No,,,,1,,3,Yes,1,PCI-Express x16,Video Card,"10.55"" (268mm)",/product/FCmxFT/asus-video-card-gtx9804gd5,Asus,4GB,GDDR5,,,,Asus GeForce GTX 980 4GB Video Card,GTX980-4GD5,[],,4-way SLI,,Yes,165 Watts,,,1130.0,4000.0,0.0,NVIDIA,1220.0,asus-video-card-gtx9804gd5,165.0
,GeForce GTX 560,870MHz,No,,,,2,,,Yes,,PCI-Express x16,Video Card,,/product/8zV48d/msi-video-card-n560gtxtwinfrozriioc,MSI,1GB,GDDR5,,1,,MSI GeForce GTX 560 1GB Video Card,N560GTX Twin Frozr II/OC,[],,Yes,,,150 Watts,,,870.0,1000.0,0.0,NVIDIA,0.0,msi-video-card-n560gtxtwinfrozriioc,150.0
,GeForce GT 630,810MHz,No,,,,1,,,Yes,1,PCI-Express x16,Video Card,,/product/fHCwrH/sparkle-video-card-700007,Sparkle,1GB,DDR3,,,,Sparkle GeForce GT 630 1GB Video Card,700007,[],,No,,,65 Watts,1,,810.0,1000.0,0.0,NVIDIA,0.0,sparkle-video-card-700007,65.0
,GeForce GTX 650,1.07GHz,No,,,,1,,,Yes,1,PCI-Express x16,Video Card,"5.71"" (145mm)",/product/nHCwrH/msi-video-card-n650md1gd5oc,MSI,1GB,GDDR5,,,,MSI GeForce GTX 650 1GB Video Card,N650-MD1GD5/OC,[],,No,,,64 Watts,1,,1070.0,1000.0,0.0,NVIDIA,0.0,msi-video-card-n650md1gd5oc,64.0
,GeForce GT 440,810MHz,No,,,,1,,,Yes,1,PCI-Express x16,Video Card,,/product/TtDwrH/ecs-video-card-ngt440512qif,ECS,512MB,GDDR5,,,,ECS GeForce GT 440 512MB Video Card,NGT440-512QI-F,[],,No,,,65 Watts,1,,810.0,512.0,0.0,NVIDIA,0.0,ecs-video-card-ngt440512qif,65.0
,Radeon HD 6950,800MHz,4-way CrossFire,,,,2,,,Yes,1,PCI-Express x16,Video Card,"10.83"" (275mm)",/product/9rbp99/powercolor-video-card-ax69502gbd52dh,PowerColor,2GB,GDDR5,2,,,PowerColor Radeon HD 6950 2GB Video Card,AX6950 2GBD5-2DH,[],,No,,,200 Watts,,,800.0,2000.0,0.0,AMD,0.0,powercolor-video-card-ax69502gbd52dh,200.0
,Radeon R9 290X,1.06GHz,4-way CrossFire,,2,,,,1,Yes,1,PCI-Express x16,Video Card,,/product/H4XfrH/sapphire-video-card-112260540g,Sapphire,8GB,GDDR5,,,,Sapphire Radeon R9 290X 8GB Vapor-X OC Video Card,11226-05-40G,[],,No,,,300 Watts,,,1060.0,8000.0,0.0,AMD,0.0,sapphire-video-card-112260540g,300.0
1.14GHz,GeForce GTX 770,1.08GHz,No,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,"11.02"" (280mm)",/product/Brx9TW/gainward-video-card-gwgtx7702ggs3019,Gainward,2GB,GDDR5,,,,Gainward GeForce GTX 770 2GB Golden Sample Video Card,GW-GTX770-2G-GS (3019),[],,3-way SLI,,Yes,230 Watts,,,1080.0,2000.0,0.0,NVIDIA,1140.0,gainward-video-card-gwgtx7702ggs3019,230.0
,GeForce GTX 670,915MHz,No,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,"9.49"" (241mm)",/product/MG8Zxr/pny-video-card-vcggtx670xpb,PNY,2GB,GDDR5,,,,PNY GeForce GTX 670 2GB Video Card,VCGGTX670XPB,[],,4-way SLI,,Yes,170 Watts,,,915.0,2000.0,0.0,NVIDIA,0.0,pny-video-card-vcggtx670xpb,170.0
,GeForce GTX 670,928MHz,No,,,,2,,1,Yes,1,PCI-Express x16,Video Card,"9.45"" (240mm)",/product/rrNp99/zotac-video-card-zt6030310p,Zotac,4GB,GDDR5,,,,Zotac GeForce GTX 670 4GB Video Card,ZT-60303-10P,[],,4-way SLI,,Yes,170 Watts,,,928.0,4000.0,0.0,NVIDIA,0.0,zotac-video-card-zt6030310p,170.0
,Radeon R9 285,928MHz,4-way CrossFire,,,,1,,,Yes,1,PCI-Express x16,Video Card,"6.73"" (171mm)",/product/gzKhP6/sapphire-video-card-100374itxocl,Sapphire,2GB,GDDR5,2,,,Sapphire Radeon R9 285 2GB ITX COMPACT OC Video Card,100374ITXOCL,[],,No,Yes,,190 Watts,,,928.0,2000.0,0.0,AMD,0.0,sapphire-video-card-100374itxocl,190.0
,GeForce GTX 560,850MHz,No,,,,2,,,Yes,,PCI-Express x16,Video Card,"8.23"" (209mm)",/product/TRmLrH/evga-video-card-01gp31461kr,EVGA,1GB,GDDR5,,1,,EVGA GeForce GTX 560 1GB Video Card,01G-P3-1461-KR,[],,Yes,,,150 Watts,,,850.0,1000.0,0.0,NVIDIA,0.0,evga-video-card-01gp31461kr,150.0
,GeForce 9800 GT,550MHz,No,,,,2,,,Yes,,PCI-Express x16,Video Card,,/product/V3YXsY/sparkle-video-card-sx98gt512d3gvp,Sparkle,512MB,GDDR3,,,,Sparkle GeForce 9800 GT 512MB Video Card,SX98GT512D3G-VP,[],,Yes,,,30 Watts,,,550.0,512.0,0.0,NVIDIA,0.0,sparkle-video-card-sx98gt512d3gvp,30.0
,GeForce GTX 660,1.01GHz,No,,,,2,,1,Yes,1,PCI-Express x16,Video Card,"8.62"" (219mm)",/product/xsDwrH/msi-video-card-n6602gd5oc,MSI,2GB,GDDR5,,,,MSI GeForce GTX 660 2GB Video Card,N660-2GD5/OC,[],,Yes,,Yes,140 Watts,,,1010.0,2000.0,0.0,NVIDIA,0.0,msi-video-card-n6602gd5oc,140.0
,Radeon R9 380,985MHz,Yes,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,"9.37"" (238mm)",/product/gdX2FT/sapphire-video-card-100384nt4gocl,Sapphire,4GB,GDDR5,,,,Sapphire Radeon R9 380 4GB Nitro Video Card,100384NT4GOCL,[],,No,Yes,,190 Watts,,,985.0,4000.0,0.0,AMD,0.0,sapphire-video-card-100384nt4gocl,190.0
,Radeon R7 370,985MHz,Yes,,,,2,,1,Yes,1,PCI-Express x16,Video Card,"8.98"" (228mm)",/product/QCbkcf/sapphire-video-card-100386ocl,Sapphire,2GB,GDDR5,,,,Sapphire Radeon R7 370 2GB Dual-X Video Card,100386OCL,[],,No,,,110 Watts,,,985.0,2000.0,0.0,AMD,0.0,sapphire-video-card-100386ocl,110.0
,Radeon R9 380,990MHz,Yes,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,"9.21"" (234mm)",/product/VdX2FT/xfx-video-card-r9380p2285,XFX,2GB,GDDR5,,,,XFX Radeon R9 380 2GB Double Dissipation Black Edition Video Card,R9-380P-2285,[],,No,Yes,,190 Watts,,,990.0,2000.0,0.0,AMD,0.0,xfx-video-card-r9380p2285,190.0
,Radeon R9 390X,1.09GHz,4-way CrossFire,,2,,,,1,Yes,1,PCI-Express x16,Video Card,"11.61"" (295mm)",/product/8FtWGX/xfx-video-card-r9390x8286,XFX,8GB,GDDR5,,,,XFX Radeon R9 390X 8GB Double Dissipation Black Edition Video Card,R9-390X-8286,[],,No,Yes,,275 Watts,,,1090.0,8000.0,0.0,AMD,0.0,xfx-video-card-r9390x8286,275.0
,Radeon R9 380,990MHz,Yes,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,"9.21"" (234mm)",/product/2QZ2FT/xfx-video-card-r9380p4255,XFX,4GB,GDDR5,,,,XFX Radeon R9 380 4GB Double Dissipation Video Card,R9-380P-4255,[],,No,Yes,,190 Watts,,,990.0,4000.0,0.0,AMD,0.0,xfx-video-card-r9380p4255,190.0
,Radeon R9 390,1.05GHz,4-way CrossFire,,2,,,,1,Yes,1,PCI-Express x16,Video Card,"11.61"" (295mm)",/product/bsZ2FT/xfx-video-card-r9390p8286,XFX,8GB,GDDR5,,,,XFX Radeon R9 390 8GB Double Dissipation Black Edition Video Card,R9-390P-8286,[],,No,Yes,,275 Watts,,,1050.0,8000.0,0.0,AMD,0.0,xfx-video-card-r9390p8286,275.0
1.01GHz,GeForce GTX 780 Ti,941MHz,No,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,"10.87"" (276mm)",/product/92FXsY/zotac-video-card-zt7050510p,Zotac,3GB,GDDR5,,,,Zotac GeForce GTX 780 Ti 3GB Video Card,ZT-70505-10P,[],,4-way SLI,,Yes,250 Watts,,,941.0,3000.0,0.0,NVIDIA,1010.0,zotac-video-card-zt7050510p,250.0
1.12GHz,GeForce GTX 760,1.06GHz,No,,1,,1,,1,Yes,1,PCI-Express x16,Video Card,"9.49"" (241mm)",/product/BG38TW/evga-video-card-02gp43769kb,EVGA,2GB,GDDR5,,,,EVGA GeForce GTX 760 2GB ACX Video Card,02G-P4-3769-KB,[],,3-way SLI,,Yes,170 Watts,,,1060.0,2000.0,0.0,NVIDIA,1120.0,evga-video-card-02gp43769kb,170.0
