Bearing Type,Fan RPM,Height,Kind,Link,Liquid Cooled,Manufacturer,Model,Name,Noise Level,Part #,Prices,Radiator Size,Supported Sockets,avg,short_link,noise_level,max_noise,min_noise,rpm,rpm_min,rpm_max,liquid,rad_size,bearing_type,cooler_height
Fluid Dynamic,1600 RPM,"6.02"" (153mm)",CPU Cooler,/product/YfW9TW/silenx-cpu-cooler-efz120ha5,No,SilenX,,SilenX EFZ-120HA5 86.0 CFM Fluid Dynamic Bearing CPU Cooler,8.0 - 24.0 dbA,EFZ-120HA5,"[36.89, 37.98, 49.98]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",41.6166666667,silenx-cpu-cooler-efz120ha5,8.0 - 24.0 ,24.0,8.0,1600 ,1600.0,1600.0,No,0.0,Fluid Dynamic,153.0
,1000 - 2000 RPM,"6.30"" (160mm)",CPU Cooler,/product/WXjG3C/thermaltake-cpu-cooler-clp0608,No,Thermaltake,NiC C5,Thermaltake NiC C5 99.1 CFM CPU Cooler,20.0 - 39.9 dbA,CLP0608,"[48.63, 48.63, 49.98, 49.99, 49.99, 48.63]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",49.3083333333,thermaltake-cpu-cooler-clp0608,20.0 - 39.9 ,39.9,20.0,1000 - 2000 ,1000.0,2000.0,No,0.0,,160.0
,600 - 1800 RPM,"1.30"" (33mm)",CPU Cooler,/product/DpH48d/deepcool-cpu-cooler-maelstrom120t,Yes,Deepcool,,Deepcool Maelstrom 120T 83.6 CFM Liquid CPU Cooler,17.8 - 34.1 dbA,Maelstrom 120T,[],120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",0.0,deepcool-cpu-cooler-maelstrom120t,17.8 - 34.1 ,34.1,17.8,600 - 1800 ,600.0,1800.0,Yes,120.0,,33.0
,600 - 2200 RPM,"2.99"" (76mm)",CPU Cooler,/product/BnW9TW/arctic-alpine-20-plus-co-cpu-cooler-ucaco-ap11401-bua01,No,ARCTIC,Alpine 20 PLUS CO,ARCTIC Alpine 20 PLUS CO CPU Cooler,,UCACO-AP11401-BUA01,"[23.89, 23.99]",,"LGA2011, LGA2011-3",23.94,arctic-alpine-20-plus-co-cpu-cooler-ucaco-ap11401-bua01,0,0,0.0,600 - 2200 ,600.0,2200.0,No,0.0,,76.0
,800 - 2000 RPM,,CPU Cooler,/product/GmrcCJ/id-cooling-frostflow-240l-r-845-cfm-liquid-cpu-cooler-frostflow-240l-r,Yes,ID-COOLING,,ID-COOLING FROSTFLOW 240L-R 84.5 CFM Liquid CPU Cooler,20.0 - 38.2 dbA,FROSTFLOW 240L-R,[],240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",0.0,id-cooling-frostflow-240l-r-845-cfm-liquid-cpu-cooler-frostflow-240l-r,20.0 - 38.2 ,38.2,20.0,800 - 2000 ,800.0,2000.0,Yes,240.0,,0.0
,900 - 1300 RPM,"6.22"" (158mm)",CPU Cooler,/product/Zs4gXL/noctua-cpu-cooler-nhu12pse2,No,Noctua,,Noctua NH-U12P SE2 54.4 CFM CPU Cooler,12.6 - 19.8 dbA,NH-U12P SE2,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",0.0,noctua-cpu-cooler-nhu12pse2,12.6 - 19.8 ,19.8,12.6,900 - 1300 ,900.0,1300.0,No,0.0,,158.0
,900 - 1200 RPM,"6.30"" (160mm)",CPU Cooler,/product/46tCmG/noctua-cpu-cooler-nhd14,No,Noctua,,Noctua NH-D14 65.0 CFM CPU Cooler,12.6 - 19.8 dbA,NH-D14,"[66.89, 66.99, 65.95, 80.39, 89.99, 86.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",76.2,noctua-cpu-cooler-nhd14,12.6 - 19.8 ,19.8,12.6,900 - 1200 ,900.0,1200.0,No,0.0,,160.0
,800 - 2800 RPM,"2.48"" (63mm)",CPU Cooler,/product/zCTmP6/masscool-cpu-cooler-8w2002f1m4,No,Masscool,,Masscool 8W2002F1M4 51.2 CFM CPU Cooler,20.0 - 34.0 dbA,8W2002F1M4,"[12.99, 12.99]",,"LGA1150, LGA1151, LGA1155, LGA1156",12.99,masscool-cpu-cooler-8w2002f1m4,20.0 - 34.0 ,34.0,20.0,800 - 2800 ,800.0,2800.0,No,0.0,,63.0
,900 - 1300 RPM,"6.38"" (162mm)",CPU Cooler,/product/MtjG3C/thermalright-cpu-cooler-hro2revabw,No,Thermalright,HR-02 Rev.A(BW),Thermalright HR-02 Rev.A(BW) 73.6 CFM CPU Cooler,17.0 - 21.0 dbA,HR-O2 Rev.A(BW),[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",0.0,thermalright-cpu-cooler-hro2revabw,17.0 - 21.0 ,21.0,17.0,900 - 1300 ,900.0,1300.0,No,0.0,,162.0
,600 - 2400 RPM,,CPU Cooler,/product/Mtzv6h/cooler-master-cpu-cooler-rls24m24pkr1,Yes,Cooler Master,Seidon 240M,Cooler Master Seidon 240M 86.2 CFM Liquid CPU Cooler,19.0 - 40.0 dbA,RL-S24M-24PK-R1,[],240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",0.0,cooler-master-cpu-cooler-rls24m24pkr1,19.0 - 40.0 ,40.0,19.0,600 - 2400 ,600.0,2400.0,Yes,240.0,,0.0
,1000 - 2000 RPM,,CPU Cooler,/product/r7mLrH/thermaltake-cpu-cooler-clw0222,Yes,Thermaltake,Water 3.0 Performer,Thermaltake Water 3.0 Performer 99.0 CFM Liquid CPU Cooler,20.0 dbA,CLW0222,[],120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",0.0,thermaltake-cpu-cooler-clw0222,20.0 ,20.0 ,20.0,1000 - 2000 ,1000.0,2000.0,Yes,120.0,,0.0
,800 - 2000 RPM,"5.31"" (135mm)",CPU Cooler,/product/Zb8H99/silentiumpc-cpu-cooler-spc091,No,SilentiumPC,Spartan LT HE922,SilentiumPC Spartan LT HE922 45.0 CFM CPU Cooler,9.9 - 21.9 dbA,SPC091,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA775",0.0,silentiumpc-cpu-cooler-spc091,9.9 - 21.9 ,21.9,9.9,800 - 2000 ,800.0,2000.0,No,0.0,,135.0
,500 - 1500 RPM,"6.22"" (158mm)",CPU Cooler,/product/3KBrxr/silentiumpc-cpu-cooler-grandisxe1236,No,SilentiumPC,,SilentiumPC Grandis XE1236 55.0 CFM CPU Cooler,21.0 dbA,Grandis XE1236,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",0.0,silentiumpc-cpu-cooler-grandisxe1236,21.0 ,21.0 ,21.0,500 - 1500 ,500.0,1500.0,No,0.0,,158.0
Fluid Dynamic,900 - 2200 RPM,"5.43"" (138mm)",CPU Cooler,/product/vjX2FT/gelid-solutions-cpu-cooler-ccsnowstorm01,No,Gelid Solutions,SnowStorm,Gelid Solutions SnowStorm 66.3 CFM Fluid Dynamic Bearing CPU Cooler,0.1 - 24.1 dbA,CC-SnowStorm-01,"[26.89, 27.0, 29.99, 39.94]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA775",30.955,gelid-solutions-cpu-cooler-ccsnowstorm01,0.1 - 24.1 ,24.1,0.1,900 - 2200 ,900.0,2200.0,No,0.0,Fluid Dynamic,138.0
,1800 RPM,"2.48"" (63mm)",CPU Cooler,/product/2G38TW/thermaltake-cpu-cooler-clp0556d,No,Thermaltake,Gravity i2,Thermaltake Gravity i2 31.3 CFM CPU Cooler,21.3 dbA,CLP0556-D,"[12.99, 12.99, 15.88, 15.99, 12.99, 14.99]",,"LGA1150, LGA1151, LGA1155, LGA1156",14.305,thermaltake-cpu-cooler-clp0556d,21.3 ,21.3 ,21.3,1800 ,1800.0,1800.0,No,0.0,,63.0
Sleeve,650 - 1400 RPM,"2.68"" (68mm)",CPU Cooler,/product/zK38TW/raijintek-cpu-cooler-0r100012,No,RAIJINTEK,PALLAS Black,RAIJINTEK PALLAS Black 56.5 CFM Sleeve Bearing CPU Cooler,28.0 dbA,0R100012,[32.99],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",32.99,raijintek-cpu-cooler-0r100012,28.0 ,28.0 ,28.0,650 - 1400 ,650.0,1400.0,No,0.0,Sleeve,68.0
,700 - 1200 RPM,"6.73"" (171mm)",CPU Cooler,/product/qX6BD3/phanteks-cpu-cooler-phtc14pe,No,Phanteks,,Phanteks PH-TC14PE 78.1 CFM CPU Cooler,13.4 - 19.0 dbA,PH-TC14PE,"[74.99, 74.99, 74.99, 96.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",80.49,phanteks-cpu-cooler-phtc14pe,13.4 - 19.0 ,19.0,13.4,700 - 1200 ,700.0,1200.0,No,0.0,,171.0
,500 - 1800 RPM,,CPU Cooler,/product/Dz648d/deepcool-captain-240ex-white-1530-cfm-liquid-cpu-cooler-captain-240ex-white,Yes,Deepcool,,Deepcool CAPTAIN 240EX WHITE 153.0 CFM Liquid CPU Cooler,17.6 - 31.3 dbA,CAPTAIN 240EX WHITE<br/>(or) CAPTAIN 240 EX WHITE,"[89.99, 99.99, 99.99, 99.99]",240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",97.49,deepcool-captain-240ex-white-1530-cfm-liquid-cpu-cooler-captain-240ex-white,17.6 - 31.3 ,31.3,17.6,500 - 1800 ,500.0,1800.0,Yes,240.0,,0.0
,800 - 2200 RPM,,CPU Cooler,/product/FgkD4D/intel-cpu-cooler-bxts13x,Yes,Intel,,Intel BXTS13X 74.0 CFM Liquid CPU Cooler,21.0 - 35.0 dbA,BXTS13X,"[79.99, 79.99, 79.99]",120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",79.99,intel-cpu-cooler-bxts13x,21.0 - 35.0 ,35.0,21.0,800 - 2200 ,800.0,2200.0,Yes,120.0,,0.0
,2400 RPM,"5.51"" (140mm)",CPU Cooler,/product/w3xfrH/thermaltake-cpu-cooler-clp0598,No,Thermaltake,Contac 16,Thermaltake Contac 16 45.1 CFM CPU Cooler,30.0 dbA,CLP0598,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA775",0.0,thermaltake-cpu-cooler-clp0598,30.0 ,30.0 ,30.0,2400 ,2400.0,2400.0,No,0.0,,140.0
Ball,1300 - 2650 RPM,"4.92"" (125mm)",CPU Cooler,/product/F3phP6/zalman-cpu-cooler-cnps9500at,No,Zalman,,Zalman CNPS9500 AT Ball Bearing CPU Cooler,18.0 - 27.5 dbA,CNPS9500 AT,"[32.88, 32.99, 34.99]",,"LGA1150, LGA1151, LGA1155, LGA1156, LGA775",33.62,zalman-cpu-cooler-cnps9500at,18.0 - 27.5 ,27.5,18.0,1300 - 2650 ,1300.0,2650.0,No,0.0,Ball,125.0
,900 - 1700 RPM,"5.98"" (152mm)",CPU Cooler,/product/mJ4gXL/zalman-cpu-cooler-cnps9900maxr,No,Zalman,,Zalman CNPS9900MAX-R CPU Cooler,18.0 - 30.0 dbA,CNPS9900MAX-R,"[49.5, 49.89, 49.99, 49.99, 44.5]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",48.774,zalman-cpu-cooler-cnps9900maxr,18.0 - 30.0 ,30.0,18.0,900 - 1700 ,900.0,1700.0,No,0.0,,152.0
Fluid Dynamic,2400 RPM,"2.20"" (56mm)",CPU Cooler,/product/yFV48d/silenx-cpu-cooler-efz100ha2,No,SilenX,,SilenX EFZ-100HA2 58.0 CFM Fluid Dynamic Bearing CPU Cooler,8.0 - 24.0 dbA,EFZ-100HA2,"[13.88, 15.99, 21.66, 24.5]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA775",19.0075,silenx-cpu-cooler-efz100ha2,8.0 - 24.0 ,24.0,8.0,2400 ,2400.0,2400.0,No,0.0,Fluid Dynamic,56.0
,,"6.18"" (157mm)",CPU Cooler,/product/4qGkcf/zalman-cpu-cooler-fx100,No,Zalman,,Zalman FX100 Fanless CPU Cooler,,FX100,[41.65],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",41.65,zalman-cpu-cooler-fx100,0,0,0.0,0,0.0,0.0,No,0.0,,157.0
,1400 - 2800 RPM,"2.60"" (66mm)",CPU Cooler,/product/kqvRsY/zalman-cpu-cooler-cnps8000b,No,Zalman,,Zalman CNPS8000B CPU Cooler,20.0 - 32.0 dbA,CNPS8000B,"[33.99, 34.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",34.49,zalman-cpu-cooler-cnps8000b,20.0 - 32.0 ,32.0,20.0,1400 - 2800 ,1400.0,2800.0,No,0.0,,66.0
Sleeve,1000 - 1600 RPM,"5.98"" (152mm)",CPU Cooler,/product/MDg323/thermaltake-cpu-cooler-clp0466,No,Thermaltake,,Thermaltake CL-P0466 86.5 CFM Sleeve Bearing CPU Cooler,19.0 - 28.0 dbA,CL-P0466,[59.99],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",59.99,thermaltake-cpu-cooler-clp0466,19.0 - 28.0 ,28.0,19.0,1000 - 1600 ,1000.0,1600.0,No,0.0,Sleeve,152.0
,900 - 2200 RPM,"5.63"" (143mm)",CPU Cooler,/product/LmV48d/deepcool-cpu-cooler-gammaxx200,No,Deepcool,,Deepcool GAMMAXX 200 37.2 CFM CPU Cooler,17.8 - 34.6 dbA,GAMMAXX 200,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA775",0.0,deepcool-cpu-cooler-gammaxx200,17.8 - 34.6 ,34.6,17.8,900 - 2200 ,900.0,2200.0,No,0.0,,143.0
Sleeve,1900 - 2300 RPM,"2.40"" (61mm)",CPU Cooler,/product/3HmLrH/thermaltake-cpu-cooler-clp0556,No,Thermaltake,,Thermaltake CLP0556 39.7 CFM Sleeve Bearing CPU Cooler,22.0 dbA,CLP0556,"[14.43, 14.43, 24.48, 29.48]",,"LGA1150, LGA1151, LGA1155, LGA1156",20.705,thermaltake-cpu-cooler-clp0556,22.0 ,22.0 ,22.0,1900 - 2300 ,1900.0,2300.0,No,0.0,Sleeve,61.0
Rifle,2500 RPM,"2.48"" (63mm)",CPU Cooler,/product/VZTmP6/thermaltake-cpu-cooler-clp0497,No,Thermaltake,,Thermaltake CL-P0497 49.2 CFM Rifle Bearing CPU Cooler,27.0 dbA,CL-P0497,"[8.88, 8.99, 11.99, 9.99, 11.99]",,LGA775,10.368,thermaltake-cpu-cooler-clp0497,27.0 ,27.0 ,27.0,2500 ,2500.0,2500.0,No,0.0,Rifle,63.0
,600 - 2400 RPM,,CPU Cooler,/product/8YvRsY/cooler-master-cpu-cooler-rls12x24pkr1,Yes,Cooler Master,Seidon 120XL,Cooler Master Seidon 120XL 86.2 CFM Liquid CPU Cooler,19.0 - 40.0 dbA,RL-S12X-24PK-R1,[91.29],120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",91.29,cooler-master-cpu-cooler-rls12x24pkr1,19.0 - 40.0 ,40.0,19.0,600 - 2400 ,600.0,2400.0,Yes,120.0,,0.0
,300 - 1400 RPM,"6.30"" (160mm)",CPU Cooler,/product/F4M323/thermaltake-cl-p021-ca12bu-a-530-cfm-cpu-cooler-cl-p021-ca12bu-a,No,Thermaltake,Riing Silent 12 Pro Blue,Thermaltake Riing Silent 12 Pro Blue 53.0 CFM CPU Cooler,12.0 - 19.0 dbA,CL-P021-CA12BU-A,[59.99],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",59.99,thermaltake-cl-p021-ca12bu-a-530-cfm-cpu-cooler-cl-p021-ca12bu-a,12.0 - 19.0 ,19.0,12.0,300 - 1400 ,300.0,1400.0,No,0.0,,160.0
,900 - 1300 RPM,"6.30"" (160mm)",CPU Cooler,/product/Pf8H99/cooler-master-cpu-cooler-rrh41213fkr1,No,Cooler Master,Hyper 412S,Cooler Master Hyper 412S 52.6 CFM CPU Cooler,16.1 - 22.5 dbA,RR-H412-13FK-R1,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",0.0,cooler-master-cpu-cooler-rrh41213fkr1,16.1 - 22.5 ,22.5,16.1,900 - 1300 ,900.0,1300.0,No,0.0,,160.0
,800 - 1700 RPM,,CPU Cooler,/product/YzyxFT/fractal-design-cpu-cooler-fdwcukelvins36bk,Yes,Fractal Design,Kelvin S36,Fractal Design Kelvin S36 62.4 CFM Liquid CPU Cooler,26.9 dbA,FD-WCU-KELVIN-S36-BK,[],360mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",0.0,fractal-design-cpu-cooler-fdwcukelvins36bk,26.9 ,26.9 ,26.9,800 - 1700 ,800.0,1700.0,Yes,360.0,,0.0
,500 - 2000 RPM,"5.12"" (130mm)",CPU Cooler,/product/N7kD4D/arctic-cooling-cpu-cooler-ucacofa11001csa01,No,ARCTIC,Freezer A11,ARCTIC Freezer A11 74.0 CFM CPU Cooler,22.5 dbA,UCACO-FA11001-CSA01,"[22.89, 22.99, 22.99, 32.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",25.465,arctic-cooling-cpu-cooler-ucacofa11001csa01,22.5 ,22.5 ,22.5,500 - 2000 ,500.0,2000.0,No,0.0,,130.0
Ball,1350 - 2600 RPM,"4.92"" (125mm)",CPU Cooler,/product/YNCwrH/zalman-cpu-cooler-cnps9500aled,No,Zalman,,Zalman CNPS9500A-LED Ball Bearing CPU Cooler,18.0 - 27.5 dbA,CNPS9500A-LED,[39.99],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA775",39.99,zalman-cpu-cooler-cnps9500aled,18.0 - 27.5 ,27.5,18.0,1350 - 2600 ,1350.0,2600.0,No,0.0,Ball,125.0
,1000 - 3000 RPM,,CPU Cooler,/product/GjTmP6/intel-cpu-cooler-bxrts2011ac,No,Intel,,Intel BXRTS2011AC CPU Cooler,,BXRTS2011AC,[16.99],,"LGA2011, LGA2011-3",16.99,intel-cpu-cooler-bxrts2011ac,0,0,0.0,1000 - 3000 ,1000.0,3000.0,No,0.0,,0.0
,1600 RPM,"5.91"" (150mm)",CPU Cooler,/product/vkkD4D/deepcool-cpu-cooler-frostwinv20,No,Deepcool,,Deepcool FROSTWIN V2.0 55.5 CFM CPU Cooler,17.8 - 21.0 dbA,FROSTWIN V2.0,"[44.99, 48.99, 49.99, 49.99, 55.66, 49.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",49.935,deepcool-cpu-cooler-frostwinv20,17.8 - 21.0 ,21.0,17.8,1600 ,1600.0,1600.0,No,0.0,,150.0
,800 RPM,"6.38"" (162mm)",CPU Cooler,/product/ZsL7YJ/thermalright-cpu-cooler-machox2limitededition,No,Thermalright,,Thermalright Macho X2 Limited Edition CPU Cooler,15.0 dbA,Macho X2 Limited Edition,[59.99],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",59.99,thermalright-cpu-cooler-machox2limitededition,15.0 ,15.0 ,15.0,800 ,800.0,800.0,No,0.0,,162.0
Sleeve,600 - 2500 RPM,"5.43"" (138mm)",CPU Cooler,/product/pFNp99/rosewill-cpu-cooler-rcxzaio92,No,Rosewill,,Rosewill RCX-ZAIO-92 54.8 CFM Sleeve Bearing CPU Cooler,14.5 - 25.0 dbA,RCX-ZAIO-92,[27.11],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",27.11,rosewill-cpu-cooler-rcxzaio92,14.5 - 25.0 ,25.0,14.5,600 - 2500 ,600.0,2500.0,No,0.0,Sleeve,138.0
Sleeve,1900 - 2300 RPM,"3.74"" (95mm)",CPU Cooler,/product/CRjG3C/thermaltake-cpu-cooler-clp0556b,No,Thermaltake,,Thermaltake CLP0556-B 39.7 CFM Sleeve Bearing CPU Cooler,22.0 dbA,CLP0556-B,"[8.49, 12.99]",,"LGA1150, LGA1151, LGA1155, LGA1156",10.74,thermaltake-cpu-cooler-clp0556b,22.0 ,22.0 ,22.0,1900 - 2300 ,1900.0,2300.0,No,0.0,Sleeve,95.0
,600 - 1800 RPM,"6.18"" (157mm)",CPU Cooler,/product/vG9KHx/phanteks-cpu-cooler-phtc12dxbl,No,Phanteks,,Phanteks PH-TC12DX_BL 68.5 CFM CPU Cooler,21.9 - 27.6 dbA,PH-TC12DX_BL,[99.99],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",99.99,phanteks-cpu-cooler-phtc12dxbl,21.9 - 27.6 ,27.6,21.9,600 - 1800 ,600.0,1800.0,No,0.0,,157.0
,750 - 1200 RPM,"5.12"" (130mm)",CPU Cooler,/product/yDg323/noctua-cpu-cooler-nhc14,No,Noctua,,Noctua NH-C14 CPU Cooler,10.1 - 19.6 dbA,NH-C14,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",0.0,noctua-cpu-cooler-nhc14,10.1 - 19.6 ,19.6,10.1,750 - 1200 ,750.0,1200.0,No,0.0,,130.0
,600 - 2200 RPM,,CPU Cooler,/product/LfrcCJ/deepcool-cpu-cooler-captain120,Yes,Deepcool,,Deepcool CAPTAIN 120 91.1 CFM Liquid CPU Cooler,17.6 - 39.3 dbA,CAPTAIN 120,[],120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",0.0,deepcool-cpu-cooler-captain120,17.6 - 39.3 ,39.3,17.6,600 - 2200 ,600.0,2200.0,Yes,120.0,,0.0
,800 - 2000 RPM,,CPU Cooler,/product/VPZQzy/nzxt-cpu-cooler-krakenx40,Yes,NZXT,,NZXT Kraken X40 98.3 CFM Liquid CPU Cooler,21.0 - 37.0 dbA,Kraken X40<br/>(or) RL-KRX40-01,[],140mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",0.0,nzxt-cpu-cooler-krakenx40,21.0 - 37.0 ,37.0,21.0,800 - 2000 ,800.0,2000.0,Yes,140.0,,0.0
,700 - 1200 RPM,"6.73"" (171mm)",CPU Cooler,/product/QNMFf7/phanteks-cpu-cooler-phtc14peor,No,Phanteks,,Phanteks PH-TC14PE_OR 78.1 CFM CPU Cooler,13.4 - 19.0 dbA,PH-TC14PE_OR,[109.99],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",109.99,phanteks-cpu-cooler-phtc14peor,13.4 - 19.0 ,19.0,13.4,700 - 1200 ,700.0,1200.0,No,0.0,,171.0
,,"1.02"" (26mm)",CPU Cooler,/product/Fxzv6h/dynatron-cpu-cooler-r12,No,Dynatron,,Dynatron R12 Fanless CPU Cooler,,R12,[],,"LGA2011, LGA2011-3",0.0,dynatron-cpu-cooler-r12,0,0,0.0,0,0.0,0.0,No,0.0,,26.0
,750 - 2500 RPM,"5.98"" (152mm)",CPU Cooler,/product/HMW9TW/evga-cpu-cooler-m02000000234,No,EVGA,,EVGA M020-00-000234 84.0 CFM CPU Cooler,13.2 - 41.5 dbA,M020-00-000234,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",0.0,evga-cpu-cooler-m02000000234,13.2 - 41.5 ,41.5,13.2,750 - 2500 ,750.0,2500.0,No,0.0,,152.0
,1600 - 2000 RPM,"3.19"" (81mm)",CPU Cooler,/product/GNh9TW/corsair-cpu-cooler-cafa50,No,Corsair,A50,Corsair A50 61.0 CFM CPU Cooler,26.0 - 31.5 dbA,CAFA50,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",0.0,corsair-cpu-cooler-cafa50,26.0 - 31.5 ,31.5,26.0,1600 - 2000 ,1600.0,2000.0,No,0.0,,81.0
,2400 RPM,,CPU Cooler,/product/v4DzK8/cooler-master-cpu-cooler-rln24m24pkr1,Yes,Cooler Master,Nepton 240M,Cooler Master Nepton 240M 76.0 CFM Liquid CPU Cooler,6.5 - 27.0 dbA,RL-N24M-24PK-R1,[139.99],240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",139.99,cooler-master-cpu-cooler-rln24m24pkr1,6.5 - 27.0 ,27.0,6.5,2400 ,2400.0,2400.0,Yes,240.0,,0.0
,1200 - 2800 RPM,"1.73"" (44mm)",CPU Cooler,/product/w9bp99/xigmatek-cpu-cooler-cacd9hh3u01,No,Xigmatek,Praeton LD963,Xigmatek Praeton LD963 48.0 CFM CPU Cooler,22.0 dbA,CAC-D9HH3-U01,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",0.0,xigmatek-cpu-cooler-cacd9hh3u01,22.0 ,22.0 ,22.0,1200 - 2800 ,1200.0,2800.0,No,0.0,,44.0
