Bearing Type,Fan RPM,Height,Kind,Link,Liquid Cooled,Manufacturer,Model,Name,Noise Level,Part #,Prices,Radiator Size,Supported Sockets,avg,short_link,noise_level,max_noise,min_noise,rpm,rpm_min,rpm_max,liquid,rad_size,bearing_type,cooler_height
,1000 - 1600 RPM,"4.92"" (125mm)",CPU Cooler,/product/Y4fp99/noctua-cpu-cooler-nhu9bse2,No,Noctua,,Noctua NH-U9B SE2 37.9 CFM CPU Cooler,7.9 - 17.6 dbA,NH-U9B SE2,"[59.99, 62.85]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",61.42,noctua-cpu-cooler-nhu9bse2,7.9 - 17.6 ,17.6,7.9,1000 - 1600 ,1000.0,1600.0,No,0.0,,125.0
,600 - 2200 RPM,,CPU Cooler,/product/rwzZxr/cryorig-cpu-cooler-a40ultimate,Yes,CRYORIG,,CRYORIG A40 ULTIMATE 83.0 CFM Liquid CPU Cooler,13.0 - 37.0 dbA,A40 ULTIMATE<br/>(or) CR-A4B,"[113.98, 114.44]",240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",114.21,cryorig-cpu-cooler-a40ultimate,13.0 - 37.0 ,37.0,13.0,600 - 2200 ,600.0,2200.0,Yes,240.0,,0.0
,2500 - 2999 RPM,"1.46"" (37mm)",CPU Cooler,/product/xxphP6/noctua-cpu-cooler-nhl9i,No,Noctua,,Noctua NH-L9i 33.8 CFM CPU Cooler,14.8 - 23.6 dbA,NH-L9i,"[39.95, 46.69, 39.95, 68.99]",,"LGA1150, LGA1151, LGA1155, LGA1156",48.895,noctua-cpu-cooler-nhl9i,14.8 - 23.6 ,23.6,14.8,2500 - 2999 ,2500.0,2999.0,No,0.0,,37.0
Sleeve,600 - 3000 RPM,"2.44"" (62mm)",CPU Cooler,/product/RyPfrH/rosewill-cpu-cooler-rcxz90al,No,Rosewill,,Rosewill RCX-Z90-AL 66.0 CFM Sleeve Bearing CPU Cooler,15.0 - 30.0 dbA,RCX-Z90-AL,[9.99],,LGA775,9.99,rosewill-cpu-cooler-rcxz90al,15.0 - 30.0 ,30.0,15.0,600 - 3000 ,600.0,3000.0,No,0.0,Sleeve,62.0
,800 - 2200 RPM,"5.47"" (139mm)",CPU Cooler,/product/c3Crxr/cooler-master-cpu-cooler-rrh10322pbr1,No,Cooler Master,Hyper 103,Cooler Master Hyper 103 43.1 CFM CPU Cooler,17.0 - 30.0 dbA,RR-H103-22PB-R1,"[40.39, 47.09]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",43.74,cooler-master-cpu-cooler-rrh10322pbr1,17.0 - 30.0 ,30.0,17.0,800 - 2200 ,800.0,2200.0,No,0.0,,139.0
,500 - 1350 RPM,,CPU Cooler,/product/Dt8H99/arctic-cooling-cpu-cooler-acfre00013a,Yes,ARCTIC,Liquid Freezer 240,ARCTIC Liquid Freezer 240 74.0 CFM Liquid CPU Cooler,,ACFRE00013A,"[86.28, 89.99, 93.92, 95.91, 89.99]",240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3",91.218,arctic-cooling-cpu-cooler-acfre00013a,0,0,0.0,500 - 1350 ,500.0,1350.0,Yes,240.0,,0.0
,2500 RPM,"1.46"" (37mm)",CPU Cooler,/product/cgX2FT/silverstone-cpu-cooler-ar05,No,Silverstone,,Silverstone AR05 40.2 CFM CPU Cooler,20.0 - 28.3 dbA,AR05,"[34.99, 39.89, 39.99, 34.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156",37.465,silverstone-cpu-cooler-ar05,20.0 - 28.3 ,28.3,20.0,2500 ,2500.0,2500.0,No,0.0,,37.0
,1700 RPM,,CPU Cooler,/product/LyYXsY/corsair-cpu-cooler-h50,Yes,Corsair,,Corsair H50 57.0 CFM Liquid CPU Cooler,30.3 dbA,H50<br/>(or) CW-9060006-WW,"[59.99, 64.99]",120mm,"LGA1150, LGA1151, LGA1155, LGA1156, LGA1366",62.49,corsair-cpu-cooler-h50,30.3 ,30.3 ,30.3,1700 ,1700.0,1700.0,Yes,120.0,,0.0
,300 - 1500 RPM,"6.22"" (158mm)",CPU Cooler,/product/XXK7YJ/noctua-cpu-cooler-nhu12dxi4,No,Noctua,,Noctua NH-U12DXi4 55.0 CFM CPU Cooler,18.6 - 22.4 dbA,NH-U12DXi4,"[64.95, 64.99, 64.95, 73.99]",,"LGA1366, LGA2011, LGA2011-3, LGA2011-3 Narrow",67.22,noctua-cpu-cooler-nhu12dxi4,18.6 - 22.4 ,22.4,18.6,300 - 1500 ,300.0,1500.0,No,0.0,,158.0
,1000 - 1600 RPM,"4.92"" (125mm)",CPU Cooler,/product/gbPfrH/noctua-cpu-cooler-nhu9doa3,No,Noctua,,Noctua NH-U9DO A3 64.3 CFM CPU Cooler,7.9 - 17.6 dbA,NH-U9DO A3,"[64.99, 66.45, 85.0]",,"C32, G34",72.1466666667,noctua-cpu-cooler-nhu9doa3,7.9 - 17.6 ,17.6,7.9,1000 - 1600 ,1000.0,1600.0,No,0.0,,125.0
