Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
,80+ Silver,1,Power Supply,/product/cYNypg/be-quiet-pure-power-9-400w-80-silver-certified-atx-power-supply-bn262,be quiet!,,No,be quiet! Pure Power 9 400W 80+ Silver Certified ATX Power Supply,,2,,,BN262,[],ATX,400 Watts,0.0,be-quiet-pure-power-9-400w-80-silver-certified-atx-power-supply-bn262,400.0,3.0,0.0
92%,80+ Platinum,1,Power Supply,/product/ysYWGX/fsp-group-power-supply-pt1000fm,FSP Group,,Full,FSP Group 1000W 80+ Platinum Certified Fully-Modular ATX Power Supply,"+3.3v@25A, +5V@25A, +12V@83A, -12V@0.8A, +5VSB@3.0A",8,,,PT1000FM,"[194.99, 229.99]",ATX12V / EPS12V,1000 Watts,212.49,fsp-group-power-supply-pt1000fm,1000.0,5.0,0.21249
Up to 88%,80+ Bronze,1,Power Supply,/product/vbjWGX/antec-power-supply-ea550green,Antec,,No,Antec Green 550W 80+ Bronze Certified ATX Power Supply,"+3.3V@20A, +5V@18A, +12V1@30A, +12V2@30A, -12V@0.3A, +5VSB@2.5A",2,,,EA550 Green,"[62.99, 63.99, 62.99, 69.99]",ATX12V / EPS12V,550 Watts,64.99,antec-power-supply-ea550green,550.0,2.0,0.118163636364
&gt; 85%,80+ Bronze,1,Power Supply,/product/LRdqqs/coolmax-power-supply-zu900b,CoolMax,,Semi,CoolMax 900W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+5V@30A, +3.3A@30A, +12V1@77A, -12V@0.8A, +5VSB@3A",2,2,,ZU-900B,"[85.99, 99.99, 92.0, 107.18]",ATX12V / EPS12V,900 Watts,96.29,coolmax-power-supply-zu900b,900.0,2.0,0.106988888889
,,2,Power Supply,/product/kdLypg/logisys-power-supply-ps550ac,Logisys,,No,Logisys 550W ATX Power Supply,"+3.3V@30A,+5V@38A,+12@25A,-12V@0.8A,-5@0.5A,+5VSB@2A",,1,,PS550AC,[],ATX12V,550 Watts,0.0,logisys-power-supply-ps550ac,550.0,,0.0
&gt; 85%,80+ Bronze,1,Power Supply,/product/hgMFf7/xfx-power-supply-p1750snlb9,XFX,,No,XFX 750W 80+ Bronze Certified ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@62A, -12V@0.5A, +5VSB@3.0A",2,2,,P1-750S-NLB9,[78.99],ATX12V / EPS12V,750 Watts,78.99,xfx-power-supply-p1750snlb9,750.0,2.0,0.10532
,80+ Bronze,1,Power Supply,/product/DPR48d/be-quiet-power-supply-bn213,be quiet!,POWER ZONE 1000W CM,Full,be quiet! POWER ZONE 1000W 80+ Bronze Certified Fully-Modular ATX Power Supply,,6,,,BN213,[],ATX12V / EPS12V,1000 Watts,0.0,be-quiet-power-supply-bn213,1000.0,2.0,0.0
&lt;90%,80+ Gold,1,Power Supply,/product/X6JwrH/pc-power--cooling-power-supply-ppcmk3s850,PC Power &amp; Cooling,,Semi,PC Power & Cooling Silencer Mk III 850W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V@70A, -12V@0.5A, +5VSB@3.0A",6,,,PPCMK3S850,"[191.8, 185.73]",ATX12V,850 Watts,188.765,pc-power--cooling-power-supply-ppcmk3s850,850.0,4.0,0.222076470588
&lt; 80%,,1,Power Supply,/product/fqCwrH/cougar-power-supply-sl500,Cougar,,No,Cougar 500W ATX Power Supply,"+3.3V@22A, +5V@20A, +12V1@19A, +12V2@20A, -12V@0.5A, +5VSB@2A",1,1,,SL500,[47.99],ATX12V,500 Watts,47.99,cougar-power-supply-sl500,500.0,,0.09598
&gt;90% @ Typical Load,80+ Gold,1,Power Supply,/product/2Fs8TW/fsp-group-hydro-x-550w-80-gold-certified-atx-power-supply-hgx550,FSP Group,,No,FSP Group Hydro X 550W 80+ Gold Certified ATX Power Supply,,4,,,HGX550,[84.99],ATX,550 Watts,84.99,fsp-group-hydro-x-550w-80-gold-certified-atx-power-supply-hgx550,550.0,4.0,0.154527272727
