Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
,,1,Power Supply,/product/nKZ2FT/thermaltake-power-supply-w0328ru,Thermaltake,,No,Thermaltake 350W ATX Power Supply,,,,,W0328RU,[],ATX,350 Watts,0.0,thermaltake-power-supply-w0328ru,350.0,,0.0
,,1,Power Supply,/product/ccw323/hec-power-supply-hec200sa2fx,HEC,,No,HEC 200W Mini ITX Power Supply,"+3.3V@16.7A, +5V@13A, +12V1@9.5A, -12V@0.3A, +5VSB@2.0A",,,,HEC200SA-2FX,[],Mini ITX,200 Watts,0.0,hec-power-supply-hec200sa2fx,200.0,,0.0
89-94%,80+ Platinum,1,Power Supply,/product/FCxfrH/enermax-power-supply-epm750awt,Enermax,,Semi,Enermax 750W 80+ Platinum Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, -12V@0.5A, +5VSB@3A",4,,,EPM750AWT,"[149.99, 142.84, 163.88, 154.99]",ATX12V / EPS12V,750 Watts,152.925,enermax-power-supply-epm750awt,750.0,5.0,0.2039
,,1,Power Supply,/product/qXrG3C/athena-power-power-supply-apmfatx22,Athena Power,,No,Athena Power 220W Mini ITX Power Supply,"+3.3V@17A, +5V@13A, +12V@18A, -12V@0.3A, +5VSB@2.0A",,,,AP-MFATX22,"[44.99, 61.24]",Mini ITX,220 Watts,53.115,athena-power-power-supply-apmfatx22,220.0,,0.241431818182
,,1,Power Supply,/product/ZCXfrH/startech-power-supply-atx2pw400pro,StarTech,,No,StarTech 400W ATX Power Supply,"+3.3V@30A, +5V@28A, +12V1@14A, +12V2@15A, -12V@1A, +5VSB@2.5A",,1,,ATX2PW400PRO,"[50.99, 53.98, 55.29, 50.99, 77.92, 78.99]",ATX12V,400 Watts,61.36,startech-power-supply-atx2pw400pro,400.0,,0.1534
,80+ Bronze,1,Power Supply,/product/2YsKHx/xfx-power-supply-p1750xxxb9,XFX,,Semi,XFX 750W 80+ Bronze Certified Semi-Modular ATX Power Supply,,4,,,P1-750X-XXB9,[],ATX12V / EPS12V,750 Watts,0.0,xfx-power-supply-p1750xxxb9,750.0,2.0,0.0
&gt; 72%,,1,Power Supply,/product/ZQJwrH/kingwin-power-supply-abt650mm,Kingwin,,No,Kingwin 650W BTX Power Supply,"+3.3V@24A, +5V@30A, +12V@46A, -12V@0.5A, +5VSB@2.2A",1,1,,ABT-650MM,[49.99],ATX / BTX,650 Watts,49.99,kingwin-power-supply-abt650mm,650.0,,0.0769076923077
&gt; 93%,80+ Gold,1,Power Supply,/product/rVphP6/cougar-power-supply-cougargx1050,Cougar,,Semi,Cougar 1050W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, +12V5@25A, +12V6@25A, -12V@0.5A, +5VSB@4A",6,,,COUGAR-GX1050,[137.99],ATX12V / EPS12V,1050 Watts,137.99,cougar-power-supply-cougargx1050,1050.0,4.0,0.131419047619
,80+ Gold,1,Power Supply,/product/fj8Zxr/thermaltake-power-supply-pstpg0450dpcgusg,Thermaltake,,Full,Thermaltake 450W 80+ Gold Certified Fully-Modular ATX Power Supply,,2,,,PS-TPG-0450DPCGUS-G,"[107.99, 117.34]",ATX12V / EPS12V,450 Watts,112.665,thermaltake-power-supply-pstpg0450dpcgusg,450.0,4.0,0.250366666667
&gt; 85%,80+ Gold,1,Power Supply,/product/PtGkcf/thermaltake-power-supply-tpx1375m,Thermaltake,,Semi,Thermaltake Toughpower XT 1375W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@50A, +12V2@70A, -12V@0.8A, +5VSB@4A",6,,2,TPX-1375M,[332.58],ATX12V / EPS12V,1375 Watts,332.58,thermaltake-power-supply-tpx1375m,1375.0,4.0,0.241876363636
87-92%,80+ Gold,1,Power Supply,/product/WG8Zxr/rosewill-power-supply-capstone450,Rosewill,,No,Rosewill Capstone 450W 80+ Gold Certified ATX Power Supply,"+3.3V@20A,+5V@20A,+12V@37A,-12V@0.5A,+5VSB@3A",2,,,CAPSTONE-450,[],ATX12V / EPS12V,450 Watts,0.0,rosewill-power-supply-capstone450,450.0,4.0,0.0
&gt; 80%,80+ Bronze,1,Power Supply,/product/wbJwrH/topower-power-supply-top600wb,Topower,,No,Topower 600W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@20A, +12V2@20A, -12V@0.5A, +5VSB@2.5A",1,1,,TOP-600WB,[],ATX12V,600 Watts,0.0,topower-power-supply-top600wb,600.0,2.0,0.0
,80+,1,Power Supply,/product/d3Lypg/cougar-power-supply-rx500,Cougar,,No,Cougar 500W 80+ Certified ATX Power Supply,"+3.3V@24A, +5V@15A, +12V1@25A, +12V2@20A, -12V@0.3A, +5VSB@3A",1,1,,RX500,[],ATX12V,500 Watts,0.0,cougar-power-supply-rx500,500.0,1.0,0.0
&lt; 80%,,1,Power Supply,/product/hb7wrH/topower-power-supply-zu1050w,Topower,,No,Topower 1050W ATX Power Supply,"+3.3V@28A,+5V@28A,+12V1@20A,+12V2@20A,+12V3@20A,+12V4@20A,&lt;br/&gt;+12V5@20A,+12V6@20A,-12V@0.8A, +5VSB@6.5A",2,3,,ZU-1050W,[99.99],ATX12V / EPS12V,1050 Watts,99.99,topower-power-supply-zu1050w,1050.0,,0.0952285714286
87%~90% @ 20% ~ 100% loading,80+ Gold,1,Power Supply,/product/tYV48d/silverstone-power-supply-st60fesg,Silverstone,,No,Silverstone 600W 80+ Gold Certified ATX Power Supply,,,1,,ST60F-ESG<br/>(or) SST-ST60F-ESG,"[109.99, 109.99, 102.07]",ATX,600 Watts,107.35,silverstone-power-supply-st60fesg,600.0,4.0,0.178916666667
,,1,Power Supply,/product/PLR48d/athena-power-power-supply-aptfx30,Athena Power,,No,Athena Power 300W TFX Power Supply,"+3.3V@13A, +5V@13A, +12V1@9A, +12V2@9A, -12V@0.8A, +5VSB@2.5A",,2,,AP-TFX30,[64.99],TFX12V,300 Watts,64.99,athena-power-power-supply-aptfx30,300.0,,0.216633333333
87%~90% @ 20% ~ 100% loading,80+ Gold,1,Power Supply,/product/yNfp99/silverstone-power-supply-st70fesg,Silverstone,,No,Silverstone 700W 80+ Gold Certified ATX Power Supply,,1,,,ST70F-ESG<br/>(or) SST-ST70F-ESG,"[111.14, 111.61]",ATX,700 Watts,111.375,silverstone-power-supply-st70fesg,700.0,4.0,0.159107142857
"89% minimum, typical up to 92%",80+ Platinum,1,Power Supply,/product/VHckcf/sparkle-power-supply-rfsp40060etn,Sparkle,,No,Sparkle 400W 80+ Platinum Certified ATX Power Supply,"+3.3V@16A, +5V@16A, +12V1@18A, +12V2@18A, -12V@0.3A, +5VSB@3A",1,,,R-FSP400-60ETN,[],ATX12V / EPS12V,400 Watts,0.0,sparkle-power-supply-rfsp40060etn,400.0,5.0,0.0
86%,80+ Bronze,1,Power Supply,/product/Zpw323/kingwin-power-supply-abt1000ma1s,Kingwin,,Semi,Kingwin Mach 1 1000W 80+ Bronze Certified Semi-Modular BTX Power Supply,"+3.3V@24A, +5V@30A, +12V1@20A, +12V2@20A, +12V3@20A, +12V4@35A, +12V5@35A, +12V6@20A, -12V@0.5A, +5VSB@5.0A",2,2,,ABT-1000MA1S,[143.99],ATX / BTX,1000 Watts,143.99,kingwin-power-supply-abt1000ma1s,1000.0,2.0,0.14399
Up to 88%,80+ Bronze,1,Power Supply,/product/64Crxr/antec-power-supply-ea450green,Antec,,No,Antec EarthWatts Green 450W 80+ Bronze Certified ATX Power Supply,"+3.3V@20A, +5V@18A, +12V1@25A, +12V2@25A, -12V@0.3A, +5VSB@2.5A",2,,,EA-450 Green,[],ATX12V / EPS12V,450 Watts,0.0,antec-power-supply-ea450green,450.0,2.0,0.0
&gt; 90%,80+ Gold,1,Power Supply,/product/HtPfrH/fsp-group-power-supply-fsp30060sgv,FSP Group,,No,FSP Group 300W 80+ Gold Certified TFX Power Supply,,,,,FSP300-60SGV,[66.49],TFX12V,300 Watts,66.49,fsp-group-power-supply-fsp30060sgv,300.0,4.0,0.221633333333
87%,80+ Gold,1,Power Supply,/product/fcDwrH/coolmax-power-supply-zpg1200b,CoolMax,,Semi,CoolMax 1200W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@100A, -12V@0.8A, +5VSB@6.0A",6,,,ZPG-1200B,"[174.99, 177.0, 229.99]",ATX12V / EPS12V,1200 Watts,193.993333333,coolmax-power-supply-zpg1200b,1200.0,4.0,0.161661111111
,80+ Gold,1,Power Supply,/product/pVjG3C/evga-power-supply-120pg1500vr,EVGA,SuperNOVA NEX 1500 Classified,Full,EVGA SuperNOVA NEX1500 Classified 1500W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@20A, +12V2@20A, +12V3@20A, +12V4@20A, +12V5@20A, +12V6@20A, +12V7@20A, +12V8@20A, -12V@0.8A, +5VSB@4A",12,3,,120-PG-1500-VR,[],ATX12V / EPS12V,1500 Watts,0.0,evga-power-supply-120pg1500vr,1500.0,4.0,0.0
&gt;=82%,80+ Bronze,1,Power Supply,/product/9p98TW/seasonic-power-supply-ss500esbronze,SeaSonic,,No,SeaSonic 500W 80+ Bronze Certified ATX Power Supply,,,,,SS-500ES Bronze,"[58.99, 66.79, 74.99, 68.99]",ATX12V,500 Watts,67.44,seasonic-power-supply-ss500esbronze,500.0,2.0,0.13488
&lt; 85%,80+ Bronze,1,Power Supply,/product/PYkD4D/corsair-power-supply-tx850v2,Corsair,,No,Corsair Enthusiast 850W 80+ Bronze Certified ATX Power Supply,"+3.3V@30A, +5V@30A, +12V@70A, -12V@0.8A, +5VSB@3.0A",4,,,TX850 V2,[],ATX12V / EPS12V,850 Watts,0.0,corsair-power-supply-tx850v2,850.0,2.0,0.0
,,1,Power Supply,/product/hxJwrH/athena-power-power-supply-app4atx35,Athena Power,,No,Athena Power 350W ATX Power Supply,"+3.3V@20A, +5V@30A, +12V@15A, -5V@0.5A, -12V@1A, +5VSB@2A",,,,AP-P4ATX35,"[36.32, 39.75]",ATX,350 Watts,38.035,athena-power-power-supply-app4atx35,350.0,,0.108671428571
20% Load &gt;87% / 50%Load &gt;90% / 100%Load &gt;87%,80+ Gold,1,Power Supply,/product/v94gXL/inwin-power-supply-commanderiii700,Inwin,,Semi,Inwin Commander III 700W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, -12V@0.3A, +5VSB@3A",4,,,Commander III 700,[],ATX12V / EPS12V,700 Watts,0.0,inwin-power-supply-commanderiii700,700.0,4.0,0.0
&lt; 90%,80+ Bronze,1,Power Supply,/product/8VxfrH/enermax-power-supply-eta550awtm,Enermax,,Semi,Enermax TRIATHLOR 550W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@25A, +12V2@25A, -12V@0.5A, +5VSB@2.5A",3,,,ETA550AWT-M,[109.99],ATX12V,550 Watts,109.99,enermax-power-supply-eta550awtm,550.0,2.0,0.199981818182
&gt; 70%,,3,Power Supply,/product/dcK7YJ/apevia-power-supply-atxas520wbk,Apevia,,No,Apevia 520W ATX Power Supply,"+3.3V@30A, +5V@32A, +12V@35A, -5V@0.3A, -12V@0.8A, +5VSB@2A",,,,ATX-AS520W-BK,[39.99],ATX,520 Watts,39.99,apevia-power-supply-atxas520wbk,520.0,,0.0769038461538
&lt; 85%,80+ Bronze,1,Power Supply,/product/LXK7YJ/zalman-power-supply-zm600gt,Zalman,,Semi,Zalman 600W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@36A, +5V@30A, +12V1@18A, -12V@0.8A, +5VSB@3A",1,1,,ZM-600-GT,[],ATX12V / EPS12V,600 Watts,0.0,zalman-power-supply-zm600gt,600.0,2.0,0.0
82-88%,80+ Bronze,1,Power Supply,/product/xGQypg/thermaltake-power-supply-sp1000m,Thermaltake,,Semi,Thermaltake 1000W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+5V@30A, +3.3V@28A, +12V1@40A, +12V2@80A, -12V@0.8A, +5Vsb@3.0A",6,,,SP-1000M,"[158.36, 163.49, 169.99, 159.99]",ATX12V / EPS12V,1000 Watts,162.9575,thermaltake-power-supply-sp1000m,1000.0,2.0,0.1629575
,80+ Titanium,1,Power Supply,/product/BntWGX/silverstone-power-supply-st70fti,Silverstone,,Full,Silverstone Strider Titanium 700W 80+ Titanium Certified Fully-Modular ATX Power Supply,,4,,,ST70F-TI<br/>(or) PS-ST70F-TI<br/>(or) SST-ST70F-TI,"[154.99, 149.97, 159.99]",ATX,700 Watts,154.983333333,silverstone-power-supply-st70fti,700.0,6.0,0.221404761905
,80+ Gold,1,Power Supply,/product/ZWMFf7/super-flower-power-supply-sf1000f14mg,Super Flower,,Full,Super Flower Leadex Gold 1000W 80+ Gold Certified Fully-Modular ATX Power Supply,+3.3V@24A ; +5V@24.0A ; +12V@83.3A ; -12V@0.5A ; +5Vsb@3.0A,8,,,SF-1000F14MG,[],ATX12V / EPS12V,1000 Watts,0.0,super-flower-power-supply-sf1000f14mg,1000.0,4.0,0.0
&lt; 89%,80+ Bronze,1,Power Supply,/product/K8g323/thermaltake-power-supply-tpx875m,Thermaltake,,Full,Thermaltake Toughpower XT 875W 80+ Bronze Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@72A, -12V@0.5A, +5VSB@3.0A",2,2,,TPX-875M,[],ATX12V / EPS12V,875 Watts,0.0,thermaltake-power-supply-tpx875m,875.0,2.0,0.0
75%,,1,Power Supply,/product/ZmTmP6/sparkle-power-supply-fsp30060gnv,Sparkle,,No,Sparkle 300W SFX Power Supply,,,,,FSP300-60GNV,"[51.99, 53.79]",SFX12V,300 Watts,52.89,sparkle-power-supply-fsp30060gnv,300.0,,0.1763
83%,80+,1,Power Supply,/product/vHMFf7/inwin-power-supply-ipp300bn72,Inwin,,No,Inwin 300W 80+ Certified ATX Power Supply,,,,,IP-P300BN7-2,"[48.37, 48.61]",ATX12V,300 Watts,48.49,inwin-power-supply-ipp300bn72,300.0,1.0,0.161633333333
&lt; 90%,80+ Gold,1,Power Supply,/product/G2h9TW/fractal-design-power-supply-fdpsuts2b800w,Fractal Design,,No,Fractal Design Tesla R2 800W 80+ Gold Certified ATX Power Supply,"3.3v@20A, 5V@20A, 12V@66A, -12V@0.5A, 5VSB@2.5A",4,,,FD-PSU-TS2B-800W,[],ATX12V / EPS12V,800 Watts,0.0,fractal-design-power-supply-fdpsuts2b800w,800.0,4.0,0.0
87%,80+ Gold,1,Power Supply,/product/xdh9TW/coolmax-power-supply-zpg1000b,CoolMax,,Semi,CoolMax 1000W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@83A, -12V@0.8A, +5VSB@6.0A",6,,,ZPG-1000B,[199.99],ATX12V / EPS12V,1000 Watts,199.99,coolmax-power-supply-zpg1000b,1000.0,4.0,0.19999
&lt; 92%,80+ Gold,1,Power Supply,/product/Xw4gXL/antec-power-supply-hcp850,Antec,,Semi,Antec High Current Pro 850W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@40A, +12V2@40A, +12V3@40A, +12V4@40A, -12V@0.5A, +5VSB@3A",6,,,HCP-850,[],ATX12V / EPS12V,850 Watts,0.0,antec-power-supply-hcp850,850.0,4.0,0.0
,80+ Bronze,1,Power Supply,/product/ymyFf7/cougar-power-supply-cmx1200v3,Cougar,,Semi,Cougar 1200W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@60A, +12V2@60A, -12V@0.8A, +5VSB@4A",6,,,CMX1200V3,[],ATX,1200 Watts,0.0,cougar-power-supply-cmx1200v3,1200.0,2.0,0.0
,80+ Platinum,1,Power Supply,/product/G2qdnQ/super-flower-power-supply-sf1000f14mpwhite,Super Flower,SF-1000F14MP White,Full,Super Flower Leadex Platinum 1000W 80+ Platinum Certified Fully-Modular ATX Power Supply,+3.3V@20A ; +5V@20.0A ; +12V@83.3A ; -12V@0.5A ; +5Vsb@2.5A,4,1,,SF-1000F14MP white,[],ATX12V / EPS12V,1000 Watts,0.0,super-flower-power-supply-sf1000f14mpwhite,1000.0,5.0,0.0
89-94%,80+ Platinum,1,Power Supply,/product/hJrG3C/enermax-power-supply-epm1200ewt,Enermax,,Full,Enermax 1200W 80+ Platinum Certified Fully-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@30A, +12V2@30A, +12V3@30A, +12V4@30A, +12V5@30A, +12V6@30A, -12V@0.5A, +5VSB@3A",8,,,EPM1200EWT,[],ATX12V / EPS12V,1200 Watts,0.0,enermax-power-supply-epm1200ewt,1200.0,5.0,0.0
87-93% efficiency @ 20-100% load,80+ Gold,1,Power Supply,/product/n7fp99/enermax-power-supply-erx530awt,Enermax,,Semi,Enermax REVOLUTION X't 530W 80+ Gold Certified Semi-Modular ATX Power Supply,,2,,,ERX530AWT,[],ATX12V,530 Watts,0.0,enermax-power-supply-erx530awt,530.0,4.0,0.0
90%,80+ Gold,1,Power Supply,/product/PHg323/cooler-master-power-supply-rsa0080gad3us,Cooler Master,,Semi,Cooler Master Silent Pro Gold 1000W 80+ Gold Certified Semi-Modular ATX Power Supply,,4,4,,RSA00-80GAD3-US,[],ATX12V / EPS12V,1000 Watts,0.0,cooler-master-power-supply-rsa0080gad3us,1000.0,4.0,0.0
,,1,Power Supply,/product/rCh9TW/coolmax-power-supply-cul850b,CoolMax,,Semi,CoolMax 850W Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@30A, +12V1@16A, +12V2@16A, +12V3@16A, +12V4@18A, -12V@0.5A, +5VSB@3A",2,2,,CUL-850B,[104.99],ATX12V / EPS12V,850 Watts,104.99,coolmax-power-supply-cul850b,850.0,,0.123517647059
,,1,Power Supply,/product/gmckcf/coolmax-power-supply-ca400,CoolMax,,No,CoolMax 400W ATX Power Supply,"+3.3V@30A, +5V@28A, +12V1@14A, +12V2@15A, -12V@1A, +5VSB@2.5A",,,,CA-400,[],ATX,400 Watts,0.0,coolmax-power-supply-ca400,400.0,,0.0
,80+ Silver,1,Power Supply,/product/tdQypg/enermax-power-supply-erv1020ewt,Enermax,,Full,Enermax 1020W 80+ Silver Certified Fully-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@35A, +12V2@35A, +12V3@35A, +12V4@35A, -12V@0.5A, +5VSB@3A",6,,,ERV1020EWT,[],ATX12V / EPS12V,1020 Watts,0.0,enermax-power-supply-erv1020ewt,1020.0,3.0,0.0
87-90%,80+ Gold,1,Power Supply,/product/BhQypg/sparkle-power-supply-rspi650acag,Sparkle,,No,Sparkle 650W 80+ Gold Certified ATX Power Supply,"+3.3V@26A, +5V@26A, +12V1@18A, +12V2@18A, +12V3@18A, +12V4@18A, -12V@0.5A, +5VSB@3.5A",2,,,R-SPI650ACAG,"[95.99, 111.14]",ATX12V,650 Watts,103.565,sparkle-power-supply-rspi650acag,650.0,4.0,0.159330769231
88%,80+ Gold,1,Power Supply,/product/WLTmP6/raidmax-power-supply-rx1000ae,Raidmax,,Semi,Raidmax 1000W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@30A, +12V1@36A, +12V2@36A, +12V3@36A, +12V4@36A, -12V@0.5A, 5VSB@3.0A",6,,,RX-1000AE,[],ATX12V / EPS12V,1000 Watts,0.0,raidmax-power-supply-rx1000ae,1000.0,4.0,0.0
82-85%,80+ Bronze,1,Power Supply,/product/jktCmG/silverstone-power-supply-st65ef,Silverstone,,No,Silverstone Element 650W 80+ Bronze Certified ATX Power Supply,"+3.3V@25A, +5V@30A, +12V1@20A, +12V2@30A, -12V@0.8A, +5VSB@2.5A",,4,1,ST65EF<br/>(or) SST-ST65EF,[],ATX12V / EPS12V,650 Watts,0.0,silverstone-power-supply-st65ef,650.0,2.0,0.0
82-85%,80+ Bronze,1,Power Supply,/product/zwQypg/silverstone-power-supply-st75ef,Silverstone,,No,Silverstone Element 750W 80+ Bronze Certified ATX Power Supply,"+3.3V@25A, +5V@30A, +12V1@25A, +12V2@35A, -12V@0.8A, +5VSB@3.0A",,4,1,ST75EF,[108.0],ATX12V / EPS12V,750 Watts,108.0,silverstone-power-supply-st75ef,750.0,2.0,0.144
,,1,Power Supply,/product/r9Nypg/nox-power-supply-nxurtx850,NOX,,No,NOX URANO TX 850W ATX Power Supply,,2,2,,NXURTX850,[],ATX,850 Watts,0.0,nox-power-supply-nxurtx850,850.0,,0.0
&gt; 90%,80+ Gold,1,Power Supply,/product/kRdqqs/thortech-power-supply-ttbk20g,Thortech,,Full,Thortech Thunderbolt 1200W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@30A, +12V2@30A, +12V3@30A, +12V4@30A, -12V@0.8A, +5VSB@6.0A",8,,,TTBK20G,[246.32],ATX12V / EPS12V,1200 Watts,246.32,thortech-power-supply-ttbk20g,1200.0,4.0,0.205266666667
&gt; 85%,80+ Bronze,1,Power Supply,/product/YwxfrH/cooler-master-power-supply-rs500acaab1us,Cooler Master,,No,Cooler Master i500 500W 80+ Bronze Certified ATX Power Supply,"+3.3V@20A, +5V@A20A,+12V@38A, -12V@0.3A, +5Vsb@2.5A",2,,,RS500-ACAAB1-US,[],ATX12V,500 Watts,0.0,cooler-master-power-supply-rs500acaab1us,500.0,2.0,0.0
87-93% efficiency @ 20-100% load,80+ Gold,1,Power Supply,/product/ccW9TW/enermax-power-supply-erx630awt,Enermax,,Semi,Enermax REVOLUTION X't 630W 80+ Gold Certified Semi-Modular ATX Power Supply,,4,,,ERX630AWT,[],ATX12V,630 Watts,0.0,enermax-power-supply-erx630awt,630.0,4.0,0.0
&lt; 87%,80+,2,Power Supply,/product/2LTmP6/coolmax-power-supply-cuq1350b,CoolMax,,No,CoolMax 1350W 80+ Certified ATX Power Supply,"+3.3V@30A, +5V@30A, +12V1@20A, +12V2@20A, +12V3@25A, +12V4@25A, -12V@0.8A, +5VSB@6.0A",2,4,,CUQ-1350B,[],ATX12V / EPS12V,1350 Watts,0.0,coolmax-power-supply-cuq1350b,1350.0,1.0,0.0
85%~89%@20% to 100% loading (115Vac)&lt;br/&gt;88%~91%@20% to 100% loading (230Vac),80+ Silver,1,Power Supply,/product/vF7wrH/silverstone-power-supply-zm1350,Silverstone,,Full,Silverstone 1350W 80+ Silver Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@30A, +12V2@30A, +12V3@30A, +12V4@30A, +12V5@30A, +12V6@30A, +5VSB@4A, -12V@0.5A",8,,,ZM1350<br/>(or) SST-ZM1350,"[299.99, 299.99, 339.99]",ATX12V / EPS12V,1350 Watts,313.323333333,silverstone-power-supply-zm1350,1350.0,3.0,0.232091358025
89-94%,80+ Platinum,1,Power Supply,/product/mxw323/rosewill-power-supply-fortress450,Rosewill,,No,Rosewill Fortress 450W 80+ Platinum Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@37A, -12V@0.5A, +5VSB@2.5A",2,,,FORTRESS-450,[],ATX12V / EPS12V,450 Watts,0.0,rosewill-power-supply-fortress450,450.0,5.0,0.0
,80+ Gold,1,Power Supply,/product/8MZ2FT/be-quiet-power-supply-bn200,be quiet!,,Semi,be quiet! DARK POWER PRO 10 550W 80+ Gold Certified Semi-Modular ATX Power Supply,,4,1,,BN200,[],ATX,550 Watts,0.0,be-quiet-power-supply-bn200,550.0,4.0,0.0
72%,,1,Power Supply,/product/F9mLrH/startech-power-supply-atxpw500pro2,StarTech,,No,StarTech 500W ATX Power Supply,"+3.3V@30A, +5V@45A, +12V1@18A, +12V2@16A, -12V@1A, +5VSB@2.5A",,2,,ATXPW500PRO2,[],ATX12V / EPS12V,500 Watts,0.0,startech-power-supply-atxpw500pro2,500.0,,0.0
,,1,Power Supply,/product/WLR48d/startech-power-supply-atxpow350pro,StarTech,,No,StarTech 350W ATX Power Supply,,,,,ATXPOW350PRO,[],ATX12V,350 Watts,0.0,startech-power-supply-atxpow350pro,350.0,,0.0
,,1,Power Supply,/product/vtfp99/coolmax-power-supply-cul950b,CoolMax,,Semi,CoolMax 950W Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@30A, +12V1@16A, +12V2@16A, +12V3@16A, +12V4@16A, +12V5@12A, -12V@0.5A, +5VSB@3A",2,2,,CUL-950B,[119.99],ATX12V / EPS12V,950 Watts,119.99,coolmax-power-supply-cul950b,950.0,,0.126305263158
,80+ Gold,1,Power Supply,/product/K9g323/silverstone-power-supply-st1200ge,Silverstone,,Full,Silverstone Strider Gold Evolution 1200W 80+ Gold Certified Fully-Modular ATX Power Supply,,4,4,,ST1200-GE<br/>(or) ST1200-G Evo,[],ATX12V / EPS12V,1200 Watts,0.0,silverstone-power-supply-st1200ge,1200.0,4.0,0.0
,80+ Gold,1,Power Supply,/product/WpPfrH/topower-power-supply-top1000wg,Topower,,No,Topower 1000W 80+ Gold Certified ATX Power Supply,"+3.3V@30A, +5V@30A, +12V1@19A, +12V2@19A, +12V3@19A, +12V4@19A, -12V@1.0A, +5VSB@3.0A",6,,,TOP-1000WG,[118.99],ATX12V,1000 Watts,118.99,topower-power-supply-top1000wg,1000.0,4.0,0.11899
,80+ Bronze,1,Power Supply,/product/Rg2kcf/athena-power-power-supply-app4atx80fep8,Athena Power,,No,Athena Power 800W 80+ Bronze Certified ATX Power Supply,,2,2,,AP-P4ATX80FEP8,"[112.99, 139.99, 146.13]",ATX,800 Watts,133.036666667,athena-power-power-supply-app4atx80fep8,800.0,2.0,0.166295833333
,80+ Gold,1,Power Supply,/product/Hjdqqs/fractal-design-power-supply-fdpsuts2b500w,Fractal Design,,No,Fractal Design Tesla R2 500W 80+ Gold Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@41.5A, -12V@0.5A, +5VSB@2.5A",2,,,FD-PSU-TS2B-500W,[],ATX12V,500 Watts,0.0,fractal-design-power-supply-fdpsuts2b500w,500.0,4.0,0.0
87-92%,80+ Gold,1,Power Supply,/product/Pjzv6h/rosewill-power-supply-capstone650m,Rosewill,,Semi,Rosewill Capstone 650W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A,+5V@22A,+12V@54A,-12V@0.5A,+5VSB@3A",4,,,CAPSTONE-650-M,[],ATX12V / EPS12V,650 Watts,0.0,rosewill-power-supply-capstone650m,650.0,4.0,0.0
&gt; 90%,80+ Gold,1,Power Supply,/product/H96BD3/thortech-power-supply-ttbk00g,Thortech,,Full,Thortech Thunderbolt 1000W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@30A, +12V2@30A, +12V3@30A, +12V4@30A, -12V@0.8A, +5VSB@6.0A",8,,,TTBK00G,[174.95],ATX12V / EPS12V,1000 Watts,174.95,thortech-power-supply-ttbk00g,1000.0,4.0,0.17495
&gt; 90%,80+ Gold,1,Power Supply,/product/ttGkcf/thortech-power-supply-ttb650g,Thortech,,Full,Thortech Thunderbolt 650W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@30A, +12V2@30A, -12V@0.5A, +5VSB@4.0A",4,,,TTB650G,[119.99],ATX12V / EPS12V,650 Watts,119.99,thortech-power-supply-ttb650g,650.0,4.0,0.1846
