Cores,Data Width,Hyper-Threading,Includes CPU Cooler,Integrated Graphics,Kind,L1 Cache,L2 Cache,L3 Cache,Link,Lithography,Manufacturer,Max Turbo Frequency,Maximum Supported Memory,Model,Name,Operating Frequency,Part #,Prices,Socket,Thermal Design Power,TDP,opfreq,turbo,avg,cores,short_link
6,64-bit,Yes,Yes,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 15MB,/product/qr9KHx/intel-cpu-bx80635e51660v2,22.0,Intel,4.0GHz,,Xeon E5-1660 V2,Intel Xeon E5-1660 V2 3.7GHz 6-Core Processor,3.7GHz,BX80635E51660V2,[1129.0],LGA2011,130 Watts,130.0,3700.0,4000.0,1129.0,6,intel-cpu-bx80635e51660v2
12,64-bit,Yes,No,No,CPU,12 x 32KB Instruction<br/>12 x 32KB Data,12 x 256KB,1 x 30MB,/product/zPx9TW/intel-cpu-bx80644e52680v3,22.0,Intel,3.3GHz,,Xeon E5-2680 V3,Intel Xeon E5-2680 V3 2.5GHz 12-Core OEM/Tray Processor,2.5GHz,BX80644E52680V3,"[1679.95, 1717.62, 1864.99]",LGA2011-3,120 Watts,120.0,2500.0,3300.0,1754.18666667,12,intel-cpu-bx80644e52680v3
2,64-bit,No,Yes,No,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,1 x 2MB,None,/product/thXfrH/intel-cpu-bx80571e5300,45.0,Intel,,,Pentium E5300,Intel Pentium E5300 2.6GHz Dual-Core Processor,2.6GHz,BX80571E5300,"[51.76, 100.0]",LGA775,65 Watts,65.0,2600.0,0.0,75.88,2,intel-cpu-bx80571e5300
2,64-bit,No,Yes,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/3C7wrH/intel-cpu-bx80637g2130,22.0,Intel,,,Pentium G2130,Intel Pentium G2130 3.2GHz Dual-Core Processor,3.2GHz,BX80637G2130,[135.99],LGA1155,55 Watts,55.0,3200.0,0.0,135.99,2,intel-cpu-bx80637g2130
4,64-bit,No,Yes,Radeon HD 7560D,CPU,2 x 64KB Instruction<br/>4 x 16KB Data,2 x 2MB,None,/product/wYkD4D/amd-cpu-ad5500okhjbox,32.0,AMD,,,A8-5500,AMD A8-5500 3.2GHz Quad-Core Processor,3.2GHz,AD5500OKHJBOX,[],FM2,65 Watts,65.0,3200.0,0.0,0.0,4,amd-cpu-ad5500okhjbox
2,64-bit,No,No,No,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,1 x 1MB,None,/product/ZMH323/intel-cpu-hh80557pg0411m,65.0,Intel,,,Pentium E2180,Intel Pentium E2180 2.0GHz Dual-Core OEM/Tray Processor,2.0GHz,HH80557PG0411M,[],LGA775,65 Watts,65.0,2000.0,0.0,0.0,2,intel-cpu-hh80557pg0411m
2,64-bit,No,Yes,Radeon HD 6410D,CPU,2 x 64KB Instruction<br/>2 x 64KB Data,2 x 512KB,None,/product/vHH323/amd-cpu-ad3400ojhxbox,32.0,AMD,,,A4-3400,AMD A4-3400 2.7GHz Dual-Core Processor,2.7GHz,AD3400OJHXBOX,[93.42],FM1,65 Watts,65.0,2700.0,0.0,93.42,2,amd-cpu-ad3400ojhxbox
4,64-bit,No,Yes,No,CPU,4 x 64KB Instruction<br/>4 x 64KB Data,4 x 512KB,None,/product/WhXfrH/amd-cpu-adx640wfgmbox,45.0,AMD,,,Athlon II X4 640,AMD Athlon II X4 640 3.0GHz Quad-Core Processor,3.0GHz,ADX640WFGMBOX,[],AM3/AM2+,95 Watts,95.0,3000.0,0.0,0.0,4,amd-cpu-adx640wfgmbox
2,64-bit,Yes,Yes,Intel HD Graphics 4400,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/gjw323/intel-cpu-bx80646i34130t,22.0,Intel,,,Core i3-4130T,Intel Core i3-4130T 2.9GHz Dual-Core Processor,2.9GHz,BX80646I34130T,[],LGA1150,35 Watts,35.0,2900.0,0.0,0.0,2,intel-cpu-bx80646i34130t
4,64-bit,No,Yes,No,CPU,2 x 96KB Instruction<br/>4 x 16KB Data,2 x 2MB,None,/product/94s8TW/amd-cpu-ad880kxbjcsbx,28.0,AMD,4.2GHz,,Athlon X4 880K,AMD Athlon X4 880K 4.0GHz Quad-Core Processor,4.0GHz,AD880KXBJCSBX,"[89.99, 92.29, 92.34, 96.99, 96.99]",FM2+,95 Watts,95.0,4000.0,4200.0,93.72,4,amd-cpu-ad880kxbjcsbx
4,64-bit,No,No,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,2 x 3MB,None,/product/wLNp99/intel-cpu-at80580pj0676m,45.0,Intel,,,Core 2 Quad Q9400,Intel Core 2 Quad Q9400 2.66GHz Quad-Core OEM/Tray Processor,2.66GHz,AT80580PJ0676M,"[33.0, 94.99, 130.23]",LGA775,95 Watts,95.0,2660.0,0.0,86.0733333333,4,intel-cpu-at80580pj0676m
2,64-bit,No,Yes,No,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,1 x 1MB,None,/product/6wbp99/intel-cpu-bx80557e2160,65.0,Intel,,,Pentium E2160,Intel Pentium E2160 1.8GHz Dual-Core Processor,1.8GHz,BX80557E2160,"[79.99, 99.0]",LGA775,65 Watts,65.0,1800.0,0.0,89.495,2,intel-cpu-bx80557e2160
4,64-bit,No,Yes,Intel HD Graphics,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/mhbp99/intel-cpu-bx80623e31225,32.0,Intel,,,Xeon E3-1225,Intel Xeon E3-1225 3.1GHz Quad-Core Processor,3.1GHz,BX80623E31225,[],LGA1155,95 Watts,95.0,3100.0,0.0,0.0,4,intel-cpu-bx80623e31225
2,64-bit,No,Yes,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/3J6BD3/intel-cpu-bx80646g3430,22.0,Intel,,,Pentium G3430,Intel Pentium G3430 3.3GHz Dual-Core Processor,3.3GHz,BX80646G3430,[],LGA1150,54 Watts,54.0,3300.0,0.0,0.0,2,intel-cpu-bx80646g3430
4,64-bit,No,No,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 10MB,/product/sD4NnQ/intel-cpu-cm8062107186604,32.0,Intel,,,Xeon E5-2609,Intel Xeon E5-2609 2.4GHz Quad-Core OEM/Tray Processor,2.4GHz,CM8062107186604,"[167.35, 274.99]",LGA2011,80 Watts,80.0,2400.0,0.0,221.17,4,intel-cpu-cm8062107186604
6,64-bit,Yes,No,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 25MB,/product/FCBv6h/intel-cpu-cm8063501287403,22.0,Intel,3.8GHz,,Xeon E5-2643 V2,Intel Xeon E5-2643 V2 3.5GHz 6-Core OEM/Tray Processor,3.5GHz,CM8063501287403,[1552.0],LGA2011,130 Watts,130.0,3500.0,3800.0,1552.0,6,intel-cpu-cm8063501287403
4,64-bit,No,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,2 x 4MB,None,/product/bmzv6h/intel-cpu-bx80562q6700,65.0,Intel,,,Core 2 Quad Q6700,Intel Core 2 Quad Q6700 2.66GHz Quad-Core Processor,2.66GHz,BX80562Q6700,[265.0],LGA775,100 Watts,100.0,2660.0,0.0,265.0,4,intel-cpu-bx80562q6700
6,64-bit,Yes,No,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 12MB,/product/YgYXsY/intel-cpu-cm8063501292204,22.0,Intel,3.9GHz,,Xeon E5-1650,Intel Xeon E5-1650 V2 3.5GHz 6-Core OEM/Tray Processor,3.5GHz,CM8063501292204,[615.49],LGA2011,130 Watts,130.0,3500.0,3900.0,615.49,6,intel-cpu-cm8063501292204
2,64-bit,No,Yes,No,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,1 x 2MB,None,/product/Kpw323/intel-cpu-bx80571e6700,45.0,Intel,,,Pentium E6700,Intel Pentium E6700 3.2GHz Dual-Core Processor,3.2GHz,BX80571E6700,[145.0],LGA775,65 Watts,65.0,3200.0,0.0,145.0,2,intel-cpu-bx80571e6700
4,64-bit,Yes,No,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/468H99/intel-cpu-cm8066201921607,14.0,Intel,4.0GHz,64GB,Xeon E3-1280 V5,Intel Xeon E3-1280 V5 3.7GHz Quad-Core OEM/Tray Processor,3.7GHz,CM8066201921607,[],LGA1151,80 Watts,80.0,3700.0,4000.0,0.0,4,intel-cpu-cm8066201921607
8,64-bit,Yes,No,No,CPU,8 x 32KB Instruction<br/>8 x 32KB Data,8 x 256KB,1 x 20MB,/product/TcQypg/intel-cpu-bx80648i75960x,22.0,Intel,3.5GHz,64GB,Core i7-5960X,Intel Core i7-5960X 3.0GHz 8-Core Processor,3.0GHz,BX80648I75960X,"[965.99, 999.89, 1010.95, 1015.99, 1079.98]",LGA2011-3,140 Watts,140.0,3000.0,3500.0,1014.56,8,intel-cpu-bx80648i75960x
2,64-bit,No,Yes,No,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,1 x 1MB,None,/product/fWsKHx/intel-cpu-bx80557e2220,65.0,Intel,,,Pentium E2220,Intel Pentium E2220 2.4GHz Dual-Core Processor,2.4GHz,BX80557E2220,[135.0],LGA775,65 Watts,65.0,2400.0,0.0,135.0,2,intel-cpu-bx80557e2220
8,64-bit,No,Yes,No,CPU,8 x 16KB Instruction<br/>4 x 64KB Data,8 x 1MB,1 x 8MB,/product/X7Lypg/amd-cpu-fd8120frgubox,32.0,AMD,,,FX-8120,AMD FX-8120 3.1GHz 8-Core Processor,3.1GHz,FD8120FRGUBOX,[],AM3+,125 Watts,125.0,3100.0,0.0,0.0,8,amd-cpu-fd8120frgubox
2,64-bit,No,Yes,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/RBXfrH/intel-cpu-bx80637g2020,22.0,Intel,,,Pentium G2020,Intel Pentium G2020 2.9GHz Dual-Core Processor,2.9GHz,BX80637G2020,[79.99],LGA1155,55 Watts,55.0,2900.0,0.0,79.99,2,intel-cpu-bx80637g2020
4,64-bit,No,Yes,No,CPU,4 x 64KB Instruction<br/>4 x 64KB Data,4 x 512KB,None,/product/2yNp99/amd-cpu-adx635wfgibox,45.0,AMD,,,Athlon II X4 635,AMD Athlon II X4 635 2.9GHz Quad-Core Processor,2.9GHz,ADX635WFGIBOX,[],AM3/AM2+,95 Watts,95.0,2900.0,0.0,0.0,4,amd-cpu-adx635wfgibox
4,64-bit,Yes,No,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/pCQypg/intel-cpu-at80601000741aa,45.0,Intel,,,Core i7-920,Intel Core i7-920 2.66GHz Quad-Core OEM/Tray Processor,2.66GHz,AT80601000741AA,[],LGA1366,130 Watts,130.0,2660.0,0.0,0.0,4,intel-cpu-at80601000741aa
4,64-bit,Yes,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/qjMFf7/intel-cpu-bx80601930,45.0,Intel,,,Core i7-930,Intel Core i7-930 2.8GHz Quad-Core Processor,2.8GHz,BX80601930,[376.63],LGA1366,130 Watts,130.0,2800.0,0.0,376.63,4,intel-cpu-bx80601930
6,64-bit,No,Yes,No,CPU,6 x 64KB Instruction<br/>6 x 64KB Data,6 x 512KB,1 x 6MB,/product/VHH323/amd-cpu-hdt45twfgrbox,45.0,AMD,,,Phenom II X6 1045T,AMD Phenom II X6 1045T 2.7GHz 6-Core Processor,2.7GHz,HDT45TWFGRBOX,[],AM3,95 Watts,95.0,2700.0,0.0,0.0,6,amd-cpu-hdt45twfgrbox
4,64-bit,No,Yes,No,CPU,4 x 64KB Instruction<br/>4 x 64KB Data,4 x 512KB,1 x 6.0MB,/product/2MW9TW/amd-cpu-hdz980fbgmbox,45.0,AMD,,,Phenom II X4 980 Black,AMD Phenom II X4 980 Black 3.7GHz Quad-Core Processor,3.7GHz,HDZ980FBGMBOX,[],AM3/AM2+,125 Watts,125.0,3700.0,0.0,0.0,4,amd-cpu-hdz980fbgmbox
4,64-bit,No,No,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,2 x 3MB,None,/product/dyNp99/intel-cpu-at80580pj0736mg,45.0,Intel,,,Core 2 Quad Q9505,Intel Core 2 Quad Q9505 2.83GHz Quad-Core OEM/Tray Processor,2.83GHz,AT80580PJ0736MG,[],LGA775,95 Watts,95.0,2830.0,0.0,0.0,4,intel-cpu-at80580pj0736mg
2,64-bit,No,Yes,No,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,1 x 4MB,None,/product/BMH323/intel-cpu-bx80557x6800,65.0,Intel,,,Core 2 Extreme X6800,Intel Core 2 Extreme X6800 2.93GHz Dual-Core Processor,2.93GHz,BX80557X6800,[],LGA775,75 Watts,75.0,2930.0,0.0,0.0,2,intel-cpu-bx80557x6800
8,64-bit,No,Yes,No,CPU,4 x 64KB Instruction<br/>8 x 16KB Data,4 x 2MB,1 x 8MB,/product/qmrcCJ/amd-cpu-fd8300wmhkbox,32.0,AMD,,,FX-8300,AMD FX-8300 3.3GHz 8-Core Processor,3.3GHz,FD8300WMHKBOX,"[112.86, 114.99, 118.99, 125.56]",AM3+,95 Watts,95.0,3300.0,0.0,118.1,8,amd-cpu-fd8300wmhkbox
8,64-bit,Yes,No,No,CPU,8 x 32KB Instruction<br/>8 x 32KB Data,8 x 256KB,1 x 20MB,/product/Lv38TW/intel-cpu-bxc80671i76900k,14.0,Intel,3.7GHz,128GB,,Intel Core i7-6900K 3.2GHz 8-Core Processor,3.2GHz,BXC80671I76900K,[],LGA2011-3,140 Watts,140.0,3200.0,3700.0,0.0,8,intel-cpu-bxc80671i76900k
8,64-bit,No,No,No,CPU,4 x 64KB Instruction<br/>8 x 16KB Data,4 x 2MB,1 x 8MB,/product/Lp98TW/amd-cpu-fd8370frw8khk,32.0,AMD,4.3GHz,,FX-8370,AMD FX-8370 4.0GHz 8-Core OEM/Tray Processor,4.0GHz,FD8370FRW8KHK,[],AM3+,125 Watts,125.0,4000.0,4300.0,0.0,8,amd-cpu-fd8370frw8khk
4,64-bit,No,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/sxzv6h/intel-cpu-bx80623i52380p,32.0,Intel,,,Core i5-2380P,Intel Core i5-2380P 3.1GHz Quad-Core Processor,3.1GHz,BX80623i52380P,[],LGA1155,95 Watts,95.0,3100.0,0.0,0.0,4,intel-cpu-bx80623i52380p
4,64-bit,No,Yes,Intel HD Graphics 4000,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/h6rcCJ/intel-core-i5-4460s-29ghz-quad-core-processor-bxc80646i54460s,22.0,Intel,,,i5-4460S,Intel Core i5-4460S 2.9GHz Quad-Core Processor,2.9GHz,BXC80646I54460S,[],LGA1150,65 Watts,65.0,2900.0,0.0,0.0,4,intel-core-i5-4460s-29ghz-quad-core-processor-bxc80646i54460s
4,64-bit,No,Yes,No,CPU,4 x 64KB Instruction<br/>4 x 64KB Data,4 x 512KB,1 x 6MB,/product/JWh9TW/amd-cpu-hd96ztwfgrbox,45.0,AMD,,,Phenom II X4 960T Black,AMD Phenom II X4 960T Black 3.0GHz Quad-Core Processor,3.0GHz,HD96ZTWFGRBOX,[123.7],AM3,95 Watts,95.0,3000.0,0.0,123.7,4,amd-cpu-hd96ztwfgrbox
2,64-bit,Yes,Yes,Intel HD Graphics 2000,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/hNCwrH/intel-cpu-bx80623i32130,32.0,Intel,,,Core i3-2130,Intel Core i3-2130 3.4GHz Dual-Core Processor,3.4GHz,BX80623I32130,[],LGA1155,65 Watts,65.0,3400.0,0.0,0.0,2,intel-cpu-bx80623i32130
6,64-bit,Yes,Yes,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 12MB,/product/GTkD4D/intel-cpu-bx80613i7980,32.0,Intel,,,Core i7-980,Intel Core i7-980 3.33GHz 6-Core Processor,3.33GHz,BX80613I7980,[],LGA1366,130 Watts,130.0,3330.0,0.0,0.0,6,intel-cpu-bx80613i7980
8,64-bit,No,No,No,CPU,8 x 16KB Instruction<br/>4 x 64KB Data,8 x 1MB,1 x 8MB,/product/JdR48d/amd-cpu-fd8100wmw8kgu,32.0,AMD,,,FX-8100,AMD FX-8100 2.8GHz 8-Core OEM/Tray Processor,2.8GHz,FD8100WMW8KGU,[],AM3+,95 Watts,95.0,2800.0,0.0,0.0,8,amd-cpu-fd8100wmw8kgu
1,64-bit,Yes,Yes,Intel HD Graphics,CPU,1 x 32KB Instruction<br/>1 x 32KB Data,1 x 256KB,1 x 1.5MB,/product/yFQypg/intel-cpu-bx80623g470,32.0,Intel,,,Celeron G470,Intel Celeron G470 2.0GHz Single-Core Processor,2.0GHz,BX80623G470,[],LGA1155,35 Watts,35.0,2000.0,0.0,0.0,1,intel-cpu-bx80623g470
2,64-bit,No,Yes,Intel HD Graphics 2500,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/hb3RsY/intel-cpu-bx80623g645,32.0,Intel,,,Pentium G645,Intel Pentium G645 2.9GHz Dual-Core Processor,2.9GHz,BX80623G645,[],LGA1155,65 Watts,65.0,2900.0,0.0,0.0,2,intel-cpu-bx80623g645
4,64-bit,No,Yes,Intel HD Graphics 2000,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,2 x 256KB,1 x 6MB,/product/jxJwrH/intel-cpu-bx80623i52400,32.0,Intel,,,Core i5-2400,Intel Core i5-2400 3.1GHz Quad-Core Processor,3.1GHz,BX80623I52400,[],LGA1155,95 Watts,95.0,3100.0,0.0,0.0,4,intel-cpu-bx80623i52400
4,64-bit,No,No,No,CPU,2 x 64KB Instruction<br/>4 x 16KB Data,2 x 2MB,1 x 4MB,/product/HVsKHx/amd-cpu-fd4130frw4mgu,32.0,AMD,,,FX-4130,AMD FX-4130 3.8GHz Quad-Core OEM/Tray Processor,3.8GHz,FD4130FRW4MGU,[],AM3+,125 Watts,125.0,3800.0,0.0,0.0,4,amd-cpu-fd4130frw4mgu
8,64-bit,No,Yes,No,CPU,4 x 64KB Instruction<br/>8 x 16KB Data,4 x 2MB,1 x 8MB,/product/PWZ2FT/amd-cpu-fd8310wmhksbx,32.0,AMD,4.3GHz,,FX-8310,AMD FX-8310 3.4GHz 8-Core Processor,3.4GHz,FD8310WMHKSBX,[],AM3+,95 Watts,95.0,3400.0,4300.0,0.0,8,amd-cpu-fd8310wmhksbx
8,64-bit,No,No,No,CPU,4 x 64KB Instruction<br/>8 x 16KB Data,4 x 2MB,1 x 8MB,/product/8qjG3C/amd-cpu-fd8300wmw8khk,32.0,AMD,,,FX-8300,AMD FX-8300 3.3GHz 8-Core OEM/Tray Processor,3.3GHz,FD8300WMW8KHK,[],AM3+,95 Watts,95.0,3300.0,0.0,0.0,8,amd-cpu-fd8300wmw8khk
4,64-bit,Yes,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/q8DwrH/intel-cpu-bx80623e31230,32.0,Intel,,,Xeon E3-1230,Intel Xeon E3-1230 3.2GHz Quad-Core Processor,3.2GHz,BX80623E31230,[299.99],LGA1155,80 Watts,80.0,3200.0,0.0,299.99,4,intel-cpu-bx80623e31230
4,64-bit,No,Yes,No,CPU,2 x 64KB Instruction<br/>4 x 16KB Data,2 x 2MB,1 x 4MB,/product/6bbp99/amd-cpu-fd4130frgubox,32.0,AMD,,,FX-4130,AMD FX-4130 3.8GHz Quad-Core Processor,3.8GHz,FD4130FRGUBOX,[129.0],AM3+,125 Watts,125.0,3800.0,0.0,129.0,4,amd-cpu-fd4130frgubox
2,64-bit,Yes,No,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/kpvRsY/intel-cpu-cn80617004161ac,32.0,Intel,,,Core i3-350M,Intel Core i3-350M 2.27GHz Dual-Core OEM/Tray Processor,2.27GHz,CN80617004161AC,[],PGA988,35 Watts,35.0,2270.0,0.0,0.0,2,intel-cpu-cn80617004161ac
2,64-bit,No,No,No,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,1 x 2MB,None,/product/hQQypg/intel-cpu-eu80571pg0602m,45.0,Intel,,,Pentium E5200,Intel Pentium E5200 2.5GHz Dual-Core OEM/Tray Processor,2.5GHz,EU80571PG0602M,[],LGA775,65 Watts,65.0,2500.0,0.0,0.0,2,intel-cpu-eu80571pg0602m
4,64-bit,No,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,2 x 3MB,None,/product/Pwbp99/intel-cpu-bx80580q9505,45.0,Intel,,,Core 2 Quad Q9505,Intel Core 2 Quad Q9505 2.83GHz Quad-Core Processor,2.83GHz,BX80580Q9505,[],LGA775,95 Watts,95.0,2830.0,0.0,0.0,4,intel-cpu-bx80580q9505
4,64-bit,No,No,No,CPU,2 x 64KB Instruction<br/>4 x 16KB Data,2 x 2MB,1 x 8MB,/product/NyDwrH/amd-cpu-fd4350frw4khk,32.0,AMD,,,FX-4350,AMD FX-4350 4.2GHz Quad-Core OEM/Tray Processor,4.2GHz,FD4350FRW4KHK,[],AM3+,125 Watts,125.0,4200.0,0.0,0.0,4,amd-cpu-fd4350frw4khk
8,64-bit,No,No,No,CPU,8 x 16KB Instruction<br/>4 x 64KB Data,8 x 1MB,1 x 8MB,/product/Cr9KHx/amd-cpu-fd8120frw8kgu,32.0,AMD,,,FX-8120,AMD FX-8120 3.1GHz 8-Core OEM/Tray Processor,3.1GHz,FD8120FRW8KGU,[],AM3+,125 Watts,125.0,3100.0,0.0,0.0,8,amd-cpu-fd8120frw8kgu
4,64-bit,No,Yes,Radeon R7 (on-die),CPU,2 x 96KB Instruction<br/>4 x 16KB Data,2 x 2MB,None,/product/nqYXsY/amd-cpu-ad7600ybjabox,28.0,AMD,3.8GHz,,A8-7600,AMD A8-7600 3.1GHz Quad-Core Processor,3.1GHz,AD7600YBJABOX,"[69.69, 74.99, 78.65, 72.5, 79.99, 92.99]",FM2+,65 Watts,65.0,3100.0,3800.0,78.135,4,amd-cpu-ad7600ybjabox
4,64-bit,No,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/sWphP6/intel-cpu-bx80623i52550k,32.0,Intel,,,Core i5-2550K,Intel Core i5-2550K 3.4GHz Quad-Core Processor,3.4GHz,BX80623i52550K,[],LGA1155,95 Watts,95.0,3400.0,0.0,0.0,4,intel-cpu-bx80623i52550k
2,64-bit,No,Yes,No,CPU,2 x 64KB Instruction<br/>2 x 64KB Data,2 x 1MB,None,/product/28Np99/amd-cpu-adx270ocgmbox,45.0,AMD,,,Athlon II X2 270,AMD Athlon II X2 270 3.4GHz Dual-Core Processor,3.4GHz,ADX270OCGMBOX,[],AM3,65 Watts,65.0,3400.0,0.0,0.0,2,amd-cpu-adx270ocgmbox
2,64-bit,No,No,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 24KB Data,2 x 512KB,None,/product/9rK7YJ/intel-cpu-df8064101055400,32.0,Intel,,,Cedarview-D D2500,Intel Atom D2500 1.87GHz Dual-Core OEM/Tray Processor,1.87GHz,DF8064101055400,[],BGA559,10 Watts,10.0,1870.0,0.0,0.0,2,intel-cpu-df8064101055400
6,64-bit,Yes,No,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 15MB,/product/Cv648d/intel-cpu-bx80644e51650v3,22.0,Intel,3.8GHz,,Xeon E5-1650 V3,Intel Xeon E5-1650 V3 3.5GHz 6-Core Processor,3.5GHz,BX80644E51650V3,"[564.89, 592.81, 592.81, 597.98, 592.81, 599.99]",LGA2011-3,140 Watts,140.0,3500.0,3800.0,590.215,6,intel-cpu-bx80644e51650v3
8,64-bit,Yes,No,No,CPU,8 x 32KB Instruction<br/>8 x 32KB Data,8 x 256KB,1 x 20MB,/product/3kcMnQ/intel-cpu-cm8064401724301,22.0,Intel,3.6GHz,,Xeon E5-2667 V3,Intel Xeon E5-2667 V3 3.2GHz 8-Core OEM/Tray Processor,3.2GHz,CM8064401724301,"[1884.99, 2100.0, 2379.25]",LGA2011-3,135 Watts,135.0,3200.0,3600.0,2121.41333333,8,intel-cpu-cm8064401724301
2,64-bit,No,Yes,Radeon R5 (on die),CPU,2 x 96KB Instruction<br/>2 x 16KB Data,1 x 1MB,None,/product/mXyxFT/amd-cpu-ad747kybjcbox,28.0,AMD,4.0GHz,,A6-7470K,AMD A6-7470K 3.7GHz Dual-Core Processor,3.7GHz,AD747KYBJCBOX,"[66.97, 61.99]",FM2+,65 Watts,65.0,3700.0,4000.0,64.48,2,amd-cpu-ad747kybjcbox
2,64-bit,No,Yes,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/KNNypg/intel-cpu-bx80646g3470,22.0,Intel,,,Pentium G3470,Intel Pentium G3470 3.6GHz Dual-Core Processor,3.6GHz,BX80646G3470,[95.99],LGA1150,53 Watts,53.0,3600.0,0.0,95.99,2,intel-cpu-bx80646g3470
6,64-bit,No,No,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 15MB,/product/YdnG3C/intel-cpu-bx80644e52603v3,22.0,Intel,,,Xeon E5-2603 V3,Intel Xeon E5-2603 V3 1.6GHz 6-Core Processor,1.6GHz,BX80644E52603V3,"[208.08, 219.99]",LGA2011-3,85 Watts,85.0,1600.0,0.0,214.035,6,intel-cpu-bx80644e52603v3
14,64-bit,Yes,No,No,CPU,14 x 32KB Instruction<br/>14 x 32KB Data,14 x 256KB,1 x 35MB,/product/zqmxFT/intel-cpu-bx80660e52680v4,14.0,Intel,3.3GHz,1.5TB,Xeon E5-2680 V4,Intel Xeon E5-2680 V4 2.4GHz 14-Core Processor,2.4GHz,BX80660E52680V4,"[1687.99, 1737.9, 1737.9, 1799.99, 1811.33]",LGA2011-3,120 Watts,120.0,2400.0,3300.0,1755.022,14,intel-cpu-bx80660e52680v4
4,64-bit,Yes,No,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/KVrG3C/intel-cpu-cm8064601467202,22.0,Intel,3.7GHz,,Xeon E3-1230 V3,Intel Xeon E3-1230 V3 3.3GHz Quad-Core OEM/Tray Processor,3.3GHz,CM8064601467202,[],LGA1150,80 Watts,80.0,3300.0,3700.0,0.0,4,intel-cpu-cm8064601467202
4,64-bit,Yes,Yes,Intel HD Graphics 4600,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/yT2kcf/intel-cpu-bx80646i74770k,22.0,Intel,,,Core i7-4770K,Intel Core i7-4770K 3.5GHz Quad-Core Processor,3.5GHz,BX80646I74770K,"[348.99, 400.82]",LGA1150,84 Watts,84.0,3500.0,0.0,374.905,4,intel-cpu-bx80646i74770k
6,64-bit,No,No,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 15MB,/product/4p98TW/intel-cpu-bx80644e52609v3,22.0,Intel,,,Xeon E5-2609 V3,Intel Xeon E5-2609 V3 1.9GHz 6-Core Processor,1.9GHz,BX80644E52609V3,"[289.99, 304.99, 349.48]",LGA2011-3,85 Watts,85.0,1900.0,0.0,314.82,6,intel-cpu-bx80644e52609v3
