Cores,Data Width,Hyper-Threading,Includes CPU Cooler,Integrated Graphics,Kind,L1 Cache,L2 Cache,L3 Cache,Link,Lithography,Manufacturer,Max Turbo Frequency,Maximum Supported Memory,Model,Name,Operating Frequency,Part #,Prices,Socket,Thermal Design Power,TDP,opfreq,turbo,avg,cores,short_link
6,64-bit,Yes,No,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 15MB,/product/HFQypg/intel-cpu-bx80633i74960x,22.0,Intel,4.0GHz,,Core i7-4960X Extreme Edition,Intel Core i7-4960X Extreme Edition 3.6GHz 6-Core Processor,3.6GHz,BX80633I74960X,[2809.99],LGA2011,130 Watts,130.0,3600.0,4000.0,2809.99,6,intel-cpu-bx80633i74960x
2,64-bit,Yes,Yes,Intel HD Graphics 2000,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/2CXfrH/intel-cpu-bx80623i32120,32.0,Intel,,,Core i3-2120,Intel Core i3-2120 3.3GHz Dual-Core Processor,3.3GHz,BX80623I32120,[181.5],LGA1155,65 Watts,65.0,3300.0,0.0,181.5,2,intel-cpu-bx80623i32120
4,64-bit,Yes,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/3LNp99/intel-cpu-bx80601950,45.0,Intel,,,Core i7-950,Intel Core i7-950 3.06GHz Quad-Core Processor,3.06GHz,BX80601950,[325.0],LGA1366,130 Watts,130.0,3060.0,0.0,325.0,4,intel-cpu-bx80601950
2,64-bit,No,No,No,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,1 x 3MB,None,/product/DYZQzy/intel-cpu-at80571ph0723m,45.0,Intel,,,Core 2 Duo E7400,Intel Core 2 Duo E7400 2.8GHz Dual-Core OEM/Tray Processor,2.8GHz,AT80571PH0723M,[38.99],LGA775,65 Watts,65.0,2800.0,0.0,38.99,2,intel-cpu-at80571ph0723m
4,64-bit,Yes,No,Intel HD Graphics 530,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/9gJkcf/intel-cpu-cm8066201920103,14.0,Intel,4.0GHz,64GB,Core i7-6700,Intel Core i7-6700 3.4GHz Quad-Core OEM/Tray Processor,3.4GHz,CM8066201920103,"[289.99, 321.33, 333.0]",LGA1151,65 Watts,65.0,3400.0,4000.0,314.773333333,4,intel-cpu-cm8066201920103
4,64-bit,Yes,Yes,Iris Pro Graphics 6200,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/4hgPxr/intel-cpu-bx80658i75775c,14.0,Intel,3.7GHz,,Core i7-5775C,Intel Core i7-5775C 3.3GHz Quad-Core Processor,3.3GHz,BX80658I75775C,"[357.89, 355.75, 365.99, 391.48]",LGA1150,65 Watts,65.0,3300.0,3700.0,367.7775,4,intel-cpu-bx80658i75775c
6,64-bit,No,No,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 15MB,/product/gk98TW/intel-cpu-bx80660e52603v4,14.0,Intel,,1.5TB,Xeon E5-2603 V4,Intel Xeon E5-2603 V4 1.7GHz 6-Core Processor,1.7GHz,BX80660E52603V4,"[209.99, 225.98, 228.89]",LGA2011-3,85 Watts,85.0,1700.0,0.0,221.62,6,intel-cpu-bx80660e52603v4
12,64-bit,Yes,No,No,CPU,12 x 32KB Instruction<br/>12 x 32KB Data,12 x 256KB,1 x 30MB,/product/DGL7YJ/intel-cpu-bx80660e52650v4,14.0,Intel,2.9GHz,1.5TB,Xeon E5-2650 V4,Intel Xeon E5-2650 V4 2.2GHz 12-Core Processor,2.2GHz,BX80660E52650V4,"[1099.99, 1117.57, 1149.89, 1199.99]",LGA2011-3,105 Watts,105.0,2200.0,2900.0,1141.86,12,intel-cpu-bx80660e52650v4
4,64-bit,Yes,No,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 10MB,/product/t2h9TW/intel-cpu-bx80633i74820k,22.0,Intel,3.9GHz,,Core i7-4820K,Intel Core i7-4820K 3.7GHz Quad-Core Processor,3.7GHz,BX80633I74820K,[399.0],LGA2011,130 Watts,130.0,3700.0,3900.0,399.0,4,intel-cpu-bx80633i74820k
4,64-bit,No,Yes,Intel HD Graphics 4600,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/Tvzv6h/intel-cpu-bx80646i54690k,22.0,Intel,3.9GHz,,Core i5-4690K,Intel Core i5-4690K 3.5GHz Quad-Core Processor,3.5GHz,BX80646I54690K,"[235.98, 235.99, 235.99, 241.88, 239.99]",LGA1150,88 Watts,88.0,3500.0,3900.0,237.966,4,intel-cpu-bx80646i54690k
