Alarm,Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Battery Life,Dataline Protection,Emergency Power OFF,Form Factor,Hot Swappable,Input Voltage,Kind,Link,Load Capacity (VA),Load Capacity (W),Manufacturer,Maximum Battery Recharge Time,Name,Output Voltage,Part #,Prices,Protection Type,Rack Height,Receptacles,Serial Port,Switching Time,USB,Waveform Type,avg,short_link,load_cap_w,load_cap_va,max_batt_recharge_time,full_load,half_load
,5 Minutes,14 Minutes,Lead Acid,,,Yes,Tower/Rack Mountable,,,UPS,/product/nRGj4D/apc-ups-smx1500rmi2u,1500 VA,1200 W,APC,,APC SMX1500RMI2U UPS,230 V AC,SMX1500RMI2U,"[899.95, 1010.31]",,2U,,,,Yes,,955.13,apc-ups-smx1500rmi2u,1200.0,1500.0,0.0,5.0,14.0
,,,,,,,,,,UPS,/product/RVcMnQ/apc-ups-bx600ciin,600 VA,360 W,APC,,APC BX600CI-IN UPS,,BX600CI-IN,[],,,,,,,,0.0,apc-ups-bx600ciin,360.0,600.0,0.0,0.0,0.0
,6 Minutes,,Lead Acid,,,Yes,Tower/Rack Mountable,Yes,,UPS,/product/Lm8H99/apc-ups-smx1500rmi2unc,1500 VA,1200 W,APC,3 Hour,APC SMX1500RMI2UNC UPS,230 V AC,SMX1500RMI2UNC,"[1003.98, 1005.99, 1016.95, 1049.99]",,2U,,Yes,,Yes,,1019.2275,apc-ups-smx1500rmi2unc,1200.0,1500.0,3.0,6.0,0.0
Battery Failure,4 Minutes,12 Minutes,Sealed Lead Acid,,,Yes,Tower,Yes,,UPS,/product/s3FXsY/apc-ups-srt5kxli,5000 VA,4500 W,APC,3 Hour,APC SRT5KXLI UPS,230 V AC,SRT5KXLI,[],Surge<br/>Spike<br/>Lightning,,,,,Yes,Sine Wave,0.0,apc-ups-srt5kxli,4500.0,5000.0,3.0,4.0,12.0
,5 Minutes,,,,,,Rack-mountable,,208 V AC,UPS,/product/Hm8H99/apc-ups-srt8krmxlt,8000 VA,8000 W,APC,1.50 Hour,APC SRT8KRMXLT UPS,208 V AC,SRT8KRMXLT,"[5103.16, 5499.99, 5749.99]",,6U,1 x Hard Wire 3-wire (2PH + G)<br/>4 x NEMA L6-20R<br/>2 x NEMA L6-30R,,,,,5451.04666667,apc-ups-srt8krmxlt,8000.0,8000.0,1.5,5.0,0.0
,11 Minutes,29 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/3TH48d/apc-ups-smx2000lvnc,1920 VA,1800 W,APC,3 Hour,APC SMX2000LVNC UPS,120 V AC,SMX2000LVNC,"[899.99, 1053.0, 1317.99, 1456.99, 1379.99]",,4U,3 x NEMA 5-20R<br/>6 x NEMA L5-20R<br/>1 x NEMA 5-15R,,4 ms,Yes,,1221.592,apc-ups-smx2000lvnc,1800.0,1920.0,3.0,11.0,29.0
Low Battery<br/>On Battery<br/>Configurable Delay,6 Minutes,18 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,Yes,,UPS,/product/Vpbkcf/apc-ups-smx3000hv,3000 VA,2700 W,APC,3 Hour,APC SMX3000HV UPS,230 V AC,SMX3000HV,"[1458.1, 1480.99, 1529.98, 1625.99]",,4U,,Yes,,Yes,Sine Wave,1523.765,apc-ups-smx3000hv,2700.0,3000.0,3.0,6.0,18.0
On Battery<br/>Low Battery<br/>Overload,1 Minute,9 Minutes,Lead Acid,,RJ-45<br/>RG-6,,Mini-tower,,120 V AC,UPS,/product/DLDzK8/cyberpower-ups-brg1000avrlcd,1000 VA,600 W,CyberPower,8 Hour,CyberPower BRG1000AVRLCD UPS,120 V AC,BRG1000AVRLCD,"[144.95, 144.95, 144.95, 144.95, 144.95]",Surge<br/>Overload<br/>EMI / RFI<br/>Lightning<br/>Black Out<br/>Brownout<br/>Spike<br/>Sag,,10 x NEMA 5-15R<br/>2 x USB,Yes,,Yes,Simulated Sine Wave,144.95,cyberpower-ups-brg1000avrlcd,600.0,1000.0,8.0,1.0,9.0
,3 Minutes,10 Minutes,Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/KjcMnQ/cyberpower-ups-cp750lcd,750 VA,420 W,CyberPower,8 Hour,CyberPower CP750LCD UPS,120 V AC,CP750LCD,"[76.95, 76.95, 76.95, 76.95, 86.99, 76.95]",,,4 x NEMA 5-15R,,4 ms,Yes,,78.6233333333,cyberpower-ups-cp750lcd,420.0,750.0,8.0,3.0,10.0
,7 Minutes,21 Minutes,Sealed Lead Acid,,RJ-11<br/>RG-6,,Tower/Rack Mountable,,110 V AC,UPS,/product/fwVBD3/cyberpower-ups-or1500pfcrt2u,1500 VA,900 W,CyberPower,8 Hour,CyberPower OR1500PFCRT2U UPS,120 V AC,OR1500PFCRT2U,"[394.95, 402.98, 384.99, 446.99, 516.95]",,,8 x NEMA 5-15R,,4 ms,,Sine Wave,429.372,cyberpower-ups-or1500pfcrt2u,900.0,1500.0,8.0,7.0,21.0
Battery Mode<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Replace Battery,3 Minutes,9 Minutes,Sealed Lead Acid,,RJ-11<br/>RJ-45,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/R7hj4D/cyberpower-ups-ol3000rtxl2u,3000 VA,2700 W,CyberPower,5 Hour,CyberPower OL3000RTXL2U UPS,125 V AC<br/>110 V AC<br/>120 V AC<br/>115 V AC,OL3000RTXL2U,"[1149.95, 1149.95, 1149.95, 1149.95, 1149.95, 1149.95]",,2U,6 x NEMA 5-20R<br/>1 x NEMA L5-20R,Yes,,Yes,Sine Wave,1149.95,cyberpower-ups-ol3000rtxl2u,2700.0,3000.0,5.0,3.0,9.0
Low Battery<br/>On Battery<br/>Overload,11 Minutes,32 Minutes,Sealed Lead Acid,6 Year,Type F Connector<br/>RJ-45,Yes,Rack-mountable,,120 V AC,UPS,/product/6JVBD3/cyberpower-ups-pr1000lcdrtxl2u,1000 VA,900 W,CyberPower,8 Hour,CyberPower PR1000LCDRTXL2U UPS,120 V AC,PR1000LCDRTXL2U,"[439.98, 459.95, 459.99, 460.82, 459.95, 540.99]",Black Out<br/>AC Surge<br/>EMI / RFI<br/>Overload<br/>Sag<br/>Surge,2U,8 x NEMA 5-15R,Yes,4 ms,Yes,Sine Wave,470.28,cyberpower-ups-pr1000lcdrtxl2u,900.0,1000.0,8.0,11.0,32.0
,3 Minutes,12 Minutes,Lead Acid,,RJ-45,,Desktop,Yes,110 V AC,UPS,/product/tqkwrH/apc-ups-be650g1,650 VA,390 W,APC,24 Hour,APC BE650G1 UPS,120 V AC,BE650G1,"[68.31, 68.31, 73.99, 79.99, 68.31, 89.62, 84.99, 74.99]",,,4 x NEMA 5-15R,,,Yes,,76.06375,apc-ups-be650g1,390.0,650.0,24.0,3.0,12.0
Low Battery<br/>On Battery<br/>Overload<br/>Battery Missing<br/>Fault,1.98 Minutes,7.50 Minutes,Lead Acid,,,Yes,Tower,,120 V AC,UPS,/product/D9Wrxr/cyberpower-ups-pr3000lcdsl,3000 VA,2700 W,CyberPower,8 Hour,CyberPower PR3000LCDSL UPS,120 V AC,PR3000LCDSL,"[747.98, 819.95, 819.95]",,,6 x NEMA 5-20R<br/>1 x NEMA L5-30R,Yes,,Yes,Sine Wave,795.96,cyberpower-ups-pr3000lcdsl,2700.0,3000.0,8.0,1.98,7.5
,11 Minutes,31 Minutes,Sealed Lead Acid,,RJ-11<br/>RJ-45,Yes,Rack-mountable,Yes,220 V AC,UPS,/product/c8KhP6/cyberpower-ups-pr5000lcdrtxl5u,5000 VA,4000 W,CyberPower,8 Hour,CyberPower PR5000LCDRTXL5U UPS,208 V AC,PR5000LCDRTXL5U,"[1995.95, 1869.95, 1977.02, 3099.0]",,5U,3 x NEMA L6-30R<br/>2 x NEMA L6-20R,Yes,4 ms,Yes,,2235.48,cyberpower-ups-pr5000lcdrtxl5u,4000.0,5000.0,8.0,11.0,31.0
,10 Minutes,26 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11,Yes,Rack-mountable,Yes,220 V AC,UPS,/product/yYrcCJ/cyberpower-ups-pr6000lcdrtxl5u,6000 VA,4500 W,CyberPower,8 Hour,CyberPower PR6000LCDRTXL5U UPS,208 V AC,PR6000LCDRTXL5U,"[2189.95, 2189.95, 2189.95, 2220.17, 2349.95, 2189.95]",,5U,2 x NEMA L6-20R<br/>3 x NEMA L6-30R,Yes,4 ms,Yes,,2221.65333333,cyberpower-ups-pr6000lcdrtxl5u,4500.0,6000.0,8.0,10.0,26.0
On Battery<br/>Low Battery<br/>Overload,7.98 Minutes,24 Minutes,Lead Acid,,,Yes,Mini-tower,,110 V AC,UPS,/product/bm8H99/cyberpower-ups-pr1500lcdtaa,1500 VA,1050 W,CyberPower,8 Hour,CyberPower PR1500LCDTAA UPS,120 V AC,PR1500LCDTAA,[486.99],,,8 x NEMA 5-15R,Yes,,Yes,Sine Wave,486.99,cyberpower-ups-pr1500lcdtaa,1050.0,1500.0,8.0,7.98,24.0
,,,,,RJ-45<br/>RJ-11,,,,,UPS,/product/4HNypg/fellowes-ups-99066,500 VA,,Fellowes,,Fellowes 99066 UPS,,99066,[214.12],Brownout<br/>Surge,,4,,,Yes,,214.12,fellowes-ups-99066,0.0,500.0,0.0,0.0,0.0
Battery Backup<br/>Self-test Operation,3.50 Minutes,10 Minutes,,,RJ-11,,Tower,Yes,110 V AC,UPS,/product/bWX2FT/tripp-lite-ups-internet550u,550 VA,300 W,Tripp Lite,4 Hour,Tripp Lite INTERNET550U UPS,120 V AC,INTERNET550U,"[56.99, 57.26, 59.99, 57.26, 69.99, 84.73]",Black Out<br/>Brownout,,8 x NEMA 5-15R,,4 ms,Yes,Pulse-width Modulated Sine Wave,64.37,tripp-lite-ups-internet550u,300.0,550.0,4.0,3.5,10.0
