CAS Latency,Color,ECC,Heat Spreader,Kind,Link,Manufacturer,Model,Name,Part #,Price/GB,Prices,Registered,Size,Speed,Timing,Type,Voltage,avg,short_link,CAS,ppgb,is_ddr4,ddr3_speed,ddr4_speed,ddr_speed,dimm,size_gb,mod_count,mod_size,voltage
13,Black,No,Yes,Memory,/product/nFgPxr/kingston-memory-hx426c13sb2k28,Kingston,,Kingston Savage 8GB (2 x 4GB) DDR4-2666 Memory,HX426C13SB2K2/8,$10.11,"[80.86, 81.99, 83.99, 81.99]",No,8GB (2 x 4GB),DDR4-2666,,288-pin DIMM,1.35V,82.2075,kingston-memory-hx426c13sb2k28,13,10.11,True,,2666.0,2666,288,8.0,2.0,4.0,1.35
15,Black/Yellow,No,Yes,Memory,/product/NTCrxr/corsair-memory-cmk8gx4m2a2666c16,Corsair,,Corsair Vengeance LPX 8GB (2 x 4GB) DDR4-2666 Memory,CMK8GX4M2A2666C16,$8.75,"[69.99, 75.35]",No,8GB (2 x 4GB),DDR4-2666,15-15-15-36,288-pin DIMM,1.2V,72.67,corsair-memory-cmk8gx4m2a2666c16,15,8.75,True,,2666.0,2666,288,8.0,2.0,4.0,1.2
16,Black,No,Yes,Memory,/product/dRBrxr/crucial-memory-ble4k4g4d26afea,Crucial,,Crucial Ballistix Elite 16GB (4 x 4GB) DDR4-2666 Memory,BLE4K4G4D26AFEA,$6.87,"[109.99, 158.4]",No,16GB (4 x 4GB),DDR4-2666,,288-pin DIMM,1.2V,134.195,crucial-memory-ble4k4g4d26afea,16,6.87,True,,2666.0,2666,288,16.0,4.0,4.0,1.2
13,Black,No,Yes,Memory,/product/Mgbkcf/kingston-memory-hx426c13sb2k432,Kingston,,Kingston Savage 32GB (4 x 8GB) DDR4-2666 Memory,HX426C13SB2K4/32,$8.75,"[279.99, 279.99, 311.99]",No,32GB (4 x 8GB),DDR4-2666,,288-pin DIMM,1.35V,290.656666667,kingston-memory-hx426c13sb2k432,13,8.75,True,,2666.0,2666,288,32.0,4.0,8.0,1.35
11,Black/Blue,No,Yes,Memory,/product/sWH323/gskill-memory-f32400c11d8gab,G.Skill,,G.Skill Ares Series 8GB (2 x 4GB) DDR3-2400 Memory,F3-2400C11D-8GAB,$6.74,"[53.88, 54.99, 61.03]",No,8GB (2 x 4GB),DDR3-2400,,240-pin DIMM,1.65V,56.6333333333,gskill-memory-f32400c11d8gab,11,6.74,False,2400.0,,2400,240,8.0,2.0,4.0,1.65
14,Red/Silver,No,Yes,Memory,/product/6bKhP6/gskill-memory-f43000c14q264gtz,G.Skill,,G.Skill TridentZ Series 64GB (8 x 8GB) DDR4-3000 Memory,F4-3000C14Q2-64GTZ,$7.82,"[500.38, 544.99]",No,64GB (8 x 8GB),DDR4-3000,,288-pin DIMM,1.35V,522.685,gskill-memory-f43000c14q264gtz,14,7.82,True,,3000.0,3000,288,64.0,8.0,8.0,1.35
16,Red/Silver,No,Yes,Memory,/product/bNqbt6/gskill-memory-f43200c16q16gtzb,G.Skill,,G.Skill TridentZ Series 16GB (4 x 4GB) DDR4-3200 Memory,F4-3200C16Q-16GTZB,$8.87,"[141.99, 146.97, 154.94]",No,16GB (4 x 4GB),DDR4-3200,,288-pin DIMM,1.35V,147.966666667,gskill-memory-f43200c16q16gtzb,16,8.87,True,,3200.0,3200,288,16.0,4.0,4.0,1.35
11,Black/Blue,No,Yes,Memory,/product/kf8H99/avexir-memory-avd3u16001104g1cw,Avexir,,Avexir Core Series 4GB (1 x 4GB) DDR3-1600 Memory,AVD3U16001104G-1CW,$6.74,"[26.97, 29.99, 29.99]",No,4GB (1 x 4GB),DDR3-1600,,240-pin DIMM,1.5V,28.9833333333,avexir-memory-avd3u16001104g1cw,11,6.74,False,1600.0,,1600,240,4.0,1.0,4.0,1.5
11,Black/Yellow,No,Yes,Memory,/product/6jp323/corsair-memory-cml8gx3m2c1600c9,Corsair,,Corsair Vengeance LP 8GB (2 x 4GB) DDR3-1600 Memory,CML8GX3M2C1600C9,$7.62,"[59.99, 56.0, 65.32, 74.99]",No,8GB (2 x 4GB),DDR3-1600,11-11-11-28,240-pin DIMM,1.35V,64.075,corsair-memory-cml8gx3m2c1600c9,11,7.62,False,1600.0,,1600,240,8.0,2.0,4.0,1.35
8,Black/Blue,No,Yes,Memory,/product/WVK7YJ/gskill-memory-f312800cl8d8gbxm,G.Skill,,G.Skill Ripjaws X Series 8GB (2 x 4GB) DDR3-1600 Memory,F3-12800CL8D-8GBXM,$7.25,"[57.97, 58.99, 66.17]",No,8GB (2 x 4GB),DDR3-1600,,240-pin DIMM,1.5V,61.0433333333,gskill-memory-f312800cl8d8gbxm,8,7.25,False,1600.0,,1600,240,8.0,2.0,4.0,1.5
