Cache,Capacity,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Kind,Link,Manufacturer,Model,NAND Flash Type,Name,Part #,Power Loss Protection,Price/GB,Prices,RPM,SSD Controller,avg,short_link,storage_gb,rpm,is_ssd,ppgb,form_factor
N/A,960GB,"2.5""",2.91,,SATA 6 Gb/s,Storage,/product/9ccMnQ/ocz-internal-hard-drive-vtr18025sat3960g,OCZ,,,"OCZ Vector 180 960GB 2.5"" Solid State Drive",VTR180-25SAT3-960G,,$0.34,[329.99],,,329.99,ocz-internal-hard-drive-vtr18025sat3960g,960.0,0.0,Yes,0.34,"2.5"""
N/A,128GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/BMkD4D/samsung-internal-hard-drive-mz7pc128dam,Samsung,,MLC (toggle),"Samsung 830 Series 128GB 2.5"" Solid State Drive",MZ-7PC128D/AM,,,[],,Samsung MCX,0.0,samsung-internal-hard-drive-mz7pc128dam,128.0,0.0,Yes,0.0,"2.5"""
64MB,4TB,"3.5""",,,SATA 6 Gb/s,Storage,/product/Yp7wrH/hitachi-internal-hard-drive-0f14683,Hitachi,,,"Hitachi 4TB 3.5"" 7200RPM Internal Hard Drive",0F14683,,,[],7200,,0.0,hitachi-internal-hard-drive-0f14683,4000.0,7200.0,No,0.0,"3.5"""
8MB,1TB,"2.5""",15.90,,SATA 6 Gb/s,Storage,/product/sDLypg/hitachi-internal-hard-drive-0j22413,Hitachi,,,"Hitachi Travelstar 5K1000 1TB 2.5"" 5400RPM Internal Hard Drive",0J22413,,$0.063,"[62.88, 64.99, 64.99, 63.99, 91.98]",5400,,69.766,hitachi-internal-hard-drive-0j22413,1000.0,5400.0,No,0.063,"2.5"""
N/A,32GB,"2.5""",0.52,,SATA 6 Gb/s,Storage,/product/QrK7YJ/sandisk-internal-hard-drive-sdssdrc032gg26,Sandisk,,MLC,"Sandisk ReadyCache 32GB 2.5"" Solid State Drive",SDSSDRC-032G-G26,,$1.91,[61.24],,Varies,61.24,sandisk-internal-hard-drive-sdssdrc032gg26,32.0,0.0,Yes,1.91,"2.5"""
N/A,160GB,"2.5""",0.81,,SATA 3 Gb/s,Storage,/product/RFDwrH/intel-internal-hard-drive-ssdsa2cw160g310,Intel,,MLC,"Intel 320 Series 160GB 2.5"" Solid State Drive",SSDSA2CW160G310,,$1.23,[189.0],,Intel PC29AS21BA0,189.0,intel-internal-hard-drive-ssdsa2cw160g310,160.0,0.0,Yes,1.23,"2.5"""
512MB,512GB,M.2-2280,,,M.2 (M),Storage,/product/zZ8H99/samsung-internal-hard-drive-mzhpv512hdgl00000,Samsung,,,Samsung SM951 512GB M.2-2280 Solid State Drive,MZHPV512HDGL-00000,,,[],,,0.0,samsung-internal-hard-drive-mzhpv512hdgl00000,512.0,0.0,Yes,0.0,M.2-2280
N/A,120GB,"2.5""",2.08,,SATA 6 Gb/s,Storage,/product/yDx9TW/toshiba-internal-hard-drive-hdts712xzsta,Toshiba,,,"Toshiba Q300 120GB 2.5"" Solid State Drive",HDTS712XZSTA,,$0.48,[49.68],,,49.68,toshiba-internal-hard-drive-hdts712xzsta,120.0,0.0,Yes,0.48,"2.5"""
N/A,128GB,"2.5""",2.46,,SATA 6 Gb/s,Storage,/product/cTBrxr/transcend-internal-hard-drive-ts128gssd370s,Transcend,,,"Transcend 128GB 2.5"" Solid State Drive",TS128GSSD370S,,$0.41,"[51.98, 54.99, 54.99]",,,53.9866666667,transcend-internal-hard-drive-ts128gssd370s,128.0,0.0,Yes,0.41,"2.5"""
64MB,5TB,"3.5""",16.37,,SATA 6 Gb/s,Storage,/product/Fxh9TW/western-digital-internal-hard-drive-wd50efrx,Western Digital,,,"Western Digital Red 5TB 3.5"" 5400RPM Internal Hard Drive",WD50EFRX,,$0.061,[300.0],5400,,300.0,western-digital-internal-hard-drive-wd50efrx,5000.0,5400.0,No,0.061,"3.5"""
32MB,500GB,"3.5""",10.01,,SATA 6 Gb/s,Storage,/product/zH98TW/western-digital-internal-hard-drive-wd5000azlx,Western Digital,,,"Western Digital Blue 500GB 3.5"" 7200RPM Internal Hard Drive",WD5000AZLX,,$0.100,"[49.95, 49.99, 49.99, 51.99, 51.99, 59.88]",7200,,52.2983333333,western-digital-internal-hard-drive-wd5000azlx,500.0,7200.0,No,0.1,"3.5"""
32MB,500GB,"3.5""",9.13,,SATA 3 Gb/s,Storage,/product/NKTmP6/western-digital-internal-hard-drive-wd5000aads,Western Digital,,,"Western Digital Caviar Green 500GB 3.5"" 5400RPM Internal Hard Drive",WD5000AADS,,$0.11,[49.66],5400,,49.66,western-digital-internal-hard-drive-wd5000aads,500.0,5400.0,No,0.11,"3.5"""
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/TX8Zxr/kingston-internal-hard-drive-svp200s37a120g,Kingston,,MLC (asynchronous),"Kingston SSDNow V+200 120GB 2.5"" Solid State Drive",SVP200S37A/120G,,,[],,Sandforce SF-2281,0.0,kingston-internal-hard-drive-svp200s37a120g,120.0,0.0,Yes,0.0,"2.5"""
64MB,4TB,"3.5""",18.18,,SATA 6 Gb/s,Storage,/product/HwxfrH/western-digital-internal-hard-drive-wd4000f9yz,Western Digital,,,"Western Digital WD SE 4TB 3.5"" 7200RPM Internal Hard Drive",WD4000F9YZ,,$0.055,"[219.99, 223.51, 223.99, 224.0, 229.95]",7200,,224.288,western-digital-internal-hard-drive-wd4000f9yz,4000.0,7200.0,No,0.055,"3.5"""
N/A,1TB,"3.5""",13.51,,SATA 6 Gb/s,Storage,/product/td98TW/western-digital-internal-hard-drive-wdbsla0010hncnrsn,Western Digital,,,"Western Digital 1TB 3.5"" 7200RPM Internal Hard Drive",WDBSLA0010HNC-NRSN,,$0.074,"[74.0, 92.0]",7200,,83.0,western-digital-internal-hard-drive-wdbsla0010hncnrsn,1000.0,7200.0,No,0.074,"3.5"""
32MB,120GB,"2.5""",2.32,,SATA 6 Gb/s,Storage,/product/jMcMnQ/zotac-internal-hard-drive-ztssda4p120g,Zotac,,,"Zotac 120GB 2.5"" Solid State Drive",ZTSSD-A4P-120G,,$0.43,"[51.8, 59.89, 59.89]",,,57.1933333333,zotac-internal-hard-drive-ztssda4p120g,120.0,0.0,Yes,0.43,"2.5"""
64MB,2TB,"3.5""",26.67,,SATA 6 Gb/s,Storage,/product/NNK7YJ/western-digital-internal-hard-drive-wdbh2d0020hncnrsn,Western Digital,,,"Western Digital 2TB 3.5"" 5900RPM Internal Hard Drive",WDBH2D0020HNC-NRSN,,$0.037,"[74.99, 74.99, 135.75]",5900,,95.2433333333,western-digital-internal-hard-drive-wdbh2d0020hncnrsn,2000.0,5900.0,No,0.037,"3.5"""
64MB,3TB,"3.5""",14.49,,SATA 6 Gb/s,Storage,/product/jc8Zxr/western-digital-internal-hard-drive-wd3000fyyz,Western Digital,,,"Western Digital RE 3TB 3.5"" 7200RPM Internal Hard Drive",WD3000FYYZ,,$0.069,"[206.99, 231.59, 236.95]",7200,,225.176666667,western-digital-internal-hard-drive-wd3000fyyz,3000.0,7200.0,No,0.069,"3.5"""
64MB,500GB,"2.5""",6.06,,SATA 6 Gb/s,Storage,/product/DTkD4D/seagate-internal-hard-drive-st9500620ns,Seagate,,,"Seagate Constellation.2 500GB 2.5"" 7200RPM Internal Hard Drive",ST9500620NS,,$0.16,"[82.49, 85.0, 139.99, 143.99, 162.99, 184.99]",7200,,133.241666667,seagate-internal-hard-drive-st9500620ns,500.0,7200.0,No,0.16,"2.5"""
N/A,240GB,"2.5""",2.29,,SATA 6 Gb/s,Storage,/product/fLkwrH/corsair-internal-hard-drive-cssdn240gbxt,Corsair,,,"Corsair Neutron XT 240GB 2.5"" Solid State Drive",CSSD-N240GBXT,,$0.44,[104.99],,,104.99,corsair-internal-hard-drive-cssdn240gbxt,240.0,0.0,Yes,0.44,"2.5"""
N/A,250GB,M.2-2280,,,M.2 (B+M),Storage,/product/HP648d/crucial-internal-hard-drive-ct250mx200ssd4,Crucial,,,Crucial MX200 250GB M.2-2280 Solid State Drive,CT250MX200SSD4,,,[],,,0.0,crucial-internal-hard-drive-ct250mx200ssd4,250.0,0.0,Yes,0.0,M.2-2280
N/A,256GB,M.2-2280,,,M.2 (M),Storage,/product/XRKhP6/samsung-sm961-256gb-m2-2280-solid-state-drive-mzvpw256hegl-00000,Samsung,,,Samsung SM961 256GB M.2-2280 Solid State Drive,MZVPW256HEGL-00000,,,[],,,0.0,samsung-sm961-256gb-m2-2280-solid-state-drive-mzvpw256hegl-00000,256.0,0.0,Yes,0.0,M.2-2280
128MB,4TB,"3.5""",19.14,,SATA 6 Gb/s,Storage,/product/2CJkcf/seagate-internal-hard-drive-st4000vn0001,Seagate,,,"Seagate Enterprise NAS 4TB 3.5"" 7200RPM Internal Hard Drive",ST4000VN0001,,$0.052,"[208.99, 209.99, 209.99, 215.66, 209.95]",7200,,210.916,seagate-internal-hard-drive-st4000vn0001,4000.0,7200.0,No,0.052,"3.5"""
N/A,120GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/8HmLrH/intel-internal-hard-drive-ssdsa2cw120g3k5,Intel,,MLC,"Intel 320 Series 120GB 2.5"" Solid State Drive",SSDSA2CW120G3K5,,,[],,Intel PC29AS21BA0,0.0,intel-internal-hard-drive-ssdsa2cw120g3k5,120.0,0.0,Yes,0.0,"2.5"""
N/A,180GB,"2.5""",0.86,,SATA 6 Gb/s,Storage,/product/CqvRsY/intel-internal-hard-drive-ssdsc2cw180a310,Intel,,MLC (synchronous),"Intel 520 Series Cherryville 180GB 2.5"" Solid State Drive",SSDSC2CW180A310,,$1.16,[209.57],,Sandforce SF-2281,209.57,intel-internal-hard-drive-ssdsc2cw180a310,180.0,0.0,Yes,1.16,"2.5"""
N/A,240GB,"2.5""",2.53,,SATA 6 Gb/s,Storage,/product/QHCwrH/kingston-internal-hard-drive-sv300s3n7a240g,Kingston,,Varies,"Kingston SSDNow V300 Series 240GB 2.5"" Solid State Drive",SV300S3N7A/240G,,$0.40,"[94.99, 95.09, 101.99, 95.09, 119.99]",,Sandforce SF-2281,101.43,kingston-internal-hard-drive-sv300s3n7a240g,240.0,0.0,Yes,0.4,"2.5"""
8MB,320GB,"3.5""",15.25,,SATA 3 Gb/s,Storage,/product/f3JwrH/western-digital-internal-hard-drive-wd3200avvs,Western Digital,,,"Western Digital AV-GP 320GB 3.5"" 5400RPM Internal Hard Drive",WD3200AVVS,,$0.066,[20.99],5400,,20.99,western-digital-internal-hard-drive-wd3200avvs,320.0,5400.0,No,0.066,"3.5"""
64MB,4TB,"3.5""",31.50,,SATA 6 Gb/s,Storage,/product/cBsKHx/seagate-internal-hard-drive-st4000vx000,Seagate,,,"Seagate 4TB 3.5"" 5900RPM Internal Hard Drive",ST4000VX000,,$0.032,"[126.99, 129.99, 134.99, 129.99, 138.89, 129.99, 144.29, 159.99]",5900,,136.89,seagate-internal-hard-drive-st4000vx000,4000.0,5900.0,No,0.032,"3.5"""
N/A,480GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/mr7CmG/ocz-internal-hard-drive-vtr18025sat3480g,OCZ,,,"OCZ Vector 180 480GB 2.5"" Solid State Drive",VTR180-25SAT3-480G,,,[],,,0.0,ocz-internal-hard-drive-vtr18025sat3480g,480.0,0.0,Yes,0.0,"2.5"""
256MB,240GB,M.2-2280,2.41,,M.2 (B+M),Storage,/product/wGGj4D/patriot-internal-hard-drive-pi240gsm280ssdr,Patriot,,,Patriot Ignite M2 240GB M.2-2280 Solid State Drive,PI240GSM280SSDR,,$0.42,"[99.69, 95.76, 119.65]",,,105.033333333,patriot-internal-hard-drive-pi240gsm280ssdr,240.0,0.0,Yes,0.42,M.2-2280
128MB,8TB,"3.5""",,,SATA 6 Gb/s,Storage,/product/ywPzK8/hitachi-internal-hard-drive-huh728080ale6040f23668,Hitachi,,,"Hitachi Ultrastar He8 8TB 3.5"" 7200RPM Internal Hard Drive",HUH728080ALE604 (0F23668),,,[],7200,,0.0,hitachi-internal-hard-drive-huh728080ale6040f23668,8000.0,7200.0,No,0.0,"3.5"""
N/A,64GB,mSATA,1.49,,mSATA,Storage,/product/CpZQzy/a-data-internal-hard-drive-asp310s364gmc,ADATA,,MLC (synchronous),ADATA Premier Pro SP310 64GB mSATA Solid State Drive,ASP310S3-64GM-C,,$0.67,"[42.99, 47.97, 42.99, 84.48]",,JMicron JMF667,54.6075,a-data-internal-hard-drive-asp310s364gmc,64.0,0.0,Yes,0.67,mSATA
N/A,500GB,"2.5""",2.99,,SATA 6 Gb/s,Storage,/product/NCJkcf/crucial-internal-hard-drive-ct500bx100ssd1,Crucial,,MLC,"Crucial BX100 500GB 2.5"" Solid State Drive",CT500BX100SSD1,,$0.33,"[166.99, 214.99]",,Silicon Motion SM2246EN,190.99,crucial-internal-hard-drive-ct500bx100ssd1,500.0,0.0,Yes,0.33,"2.5"""
N/A,480GB,"2.5""",3.75,,SATA 6 Gb/s,Storage,/product/X998TW/pny-internal-hard-drive-ssd7cs1111480rb,PNY,,,"PNY CS1111 480GB 2.5"" Solid State Drive",SSD7CS1111-480-RB,,$0.27,"[119.75, 199.95]",,,159.85,pny-internal-hard-drive-ssd7cs1111480rb,480.0,0.0,Yes,0.27,"2.5"""
N/A,115GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/fmMFf7/gskill-internal-hard-drive-fm25s2115gbpe,G.Skill,,MLC (asynchronous),"G.Skill PHOENIX EVO 115GB 2.5"" Solid State Drive",FM-25S2-115GBPE,,,[],,Sandforce SF-1222,0.0,gskill-internal-hard-drive-fm25s2115gbpe,115.0,0.0,Yes,0.0,"2.5"""
N/A,240GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/nt8H99/zotac-internal-hard-drive-ztssda5p240gpe,Zotac,,,"Zotac Premium Edition 240GB 2.5"" Solid State Drive",ZTSSD-A5P-240G-PE,,,[],,,0.0,zotac-internal-hard-drive-ztssda5p240gpe,240.0,0.0,Yes,0.0,"2.5"""
64MB,2TB,"3.5""",,,SATA 6 Gb/s,Storage,/product/hWH323/western-digital-internal-hard-drive-wd2000f9yz,Western Digital,,,"Western Digital WD SE 2TB 3.5"" 7200RPM Internal Hard Drive",WD2000F9YZ,,,[],7200,,0.0,western-digital-internal-hard-drive-wd2000f9yz,2000.0,7200.0,No,0.0,"3.5"""
64MB,2TB,"3.5""",22.48,,SATA 6 Gb/s,Storage,/product/RxBv6h/western-digital-internal-hard-drive-wd20earx,Western Digital,,,"Western Digital Caviar Green 2TB 3.5"" 5400RPM Internal Hard Drive",WD20EARX,,$0.044,"[88.98, 95.0]",5400,,91.99,western-digital-internal-hard-drive-wd20earx,2000.0,5400.0,No,0.044,"3.5"""
N/A,80GB,"2.5""",1.00,,SATA 3 Gb/s,Storage,/product/7v9KHx/intel-internal-hard-drive-ssdsa2cw080g310,Intel,,MLC,"Intel 320 Series 80GB 2.5"" Solid State Drive",SSDSA2CW080G310,,$1.00,[80.0],,Intel PC29AS21BA0,80.0,intel-internal-hard-drive-ssdsa2cw080g310,80.0,0.0,Yes,1.0,"2.5"""
128MB,6TB,"3.5""",21.20,,SATA 6 Gb/s,Storage,/product/tYJkcf/seagate-internal-hard-drive-st6000vx0011,Seagate,,,"Seagate Surveillance HDD 6TB 3.5"" 5400RPM Internal Hard Drive",ST6000VX0011,,$0.047,"[279.99, 285.99, 297.36]",5400,,287.78,seagate-internal-hard-drive-st6000vx0011,6000.0,5400.0,No,0.047,"3.5"""
64MB,4TB,"3.5""",14.13,,SATA 6 Gb/s,Storage,/product/2pfp99/western-digital-internal-hard-drive-wd40ezrx,Western Digital,,,"Western Digital Green 4TB 3.5"" 5900RPM Internal Hard Drive",WD40EZRX,,$0.071,[282.99],5900,,282.99,western-digital-internal-hard-drive-wd40ezrx,4000.0,5900.0,No,0.071,"3.5"""
N/A,240GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/K3FXsY/ocz-internal-hard-drive-vtr18025sat3240g,OCZ,,,"OCZ Vector 180 240GB 2.5"" Solid State Drive",VTR180-25SAT3-240G,,,[],,,0.0,ocz-internal-hard-drive-vtr18025sat3240g,240.0,0.0,Yes,0.0,"2.5"""
N/A,240GB,"2.5""",2.14,,SATA 6 Gb/s,Storage,/product/dqK7YJ/pny-internal-hard-drive-ssd7sc240goptrb,PNY,,MLC (synchronous),"PNY Optima 240GB 2.5"" Solid State Drive",SSD7SC240GOPT-RB,,$0.47,"[104.08, 156.95]",,Varies,130.515,pny-internal-hard-drive-ssd7sc240goptrb,240.0,0.0,Yes,0.47,"2.5"""
64MB,1TB,"3.5""",12.99,,SATA 6 Gb/s,Storage,/product/G998TW/seagate-internal-hard-drive-st1000vx003,Seagate,,,"Seagate Surveillance HDD 1TB 3.5"" 5900RPM Internal Hard Drive",ST1000VX003,,$0.077,[76.99],5900,,76.99,seagate-internal-hard-drive-st1000vx003,1000.0,5900.0,No,0.077,"3.5"""
N/A,60GB,"2.5""",1.50,,SATA 6 Gb/s,Storage,/product/t6X2FT/mushkin-internal-hard-drive-mknssdec60gb,Mushkin,,,"Mushkin ECO2 60GB 2.5"" Solid State Drive",MKNSSDEC60GB,,$0.67,"[39.99, 51.11]",,,45.55,mushkin-internal-hard-drive-mknssdec60gb,60.0,0.0,Yes,0.67,"2.5"""
N/A,240GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/rwcMnQ/ocz-internal-hard-drive-trn15025sat3240g,OCZ,,,"OCZ TRION 150 240GB 2.5"" Solid State Drive",TRN150-25SAT3-240G,,,[],,,0.0,ocz-internal-hard-drive-trn15025sat3240g,240.0,0.0,Yes,0.0,"2.5"""
N/A,120GB,"2.5""",0.50,,SATA 3 Gb/s,Storage,/product/66W9TW/intel-internal-hard-drive-ssdsa2cw120g310,Intel,,MLC,"Intel 320 Series 120GB 2.5"" Solid State Drive",SSDSA2CW120G310,,$2.00,[234.01],,Intel PC29AS21BA0,234.01,intel-internal-hard-drive-ssdsa2cw120g310,120.0,0.0,Yes,2.0,"2.5"""
64MB,1TB,"3.5""",9.44,,SATA 6 Gb/s,Storage,/product/my6BD3/toshiba-internal-hard-drive-mg03aca100,Toshiba,,,"Toshiba Product Series:MG03ACA 1TB 3.5"" 7200RPM Internal Hard Drive",MG03ACA100,,$0.11,"[103.99, 129.0]",7200,,116.495,toshiba-internal-hard-drive-mg03aca100,1000.0,7200.0,No,0.11,"3.5"""
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/m2RFf7/kingston-internal-hard-drive-shss3b7a120g,Kingston,SHSS3B7A/120G Bundle,,"Kingston Savage 120GB 2.5"" Solid State Drive",SHSS3B7A/120G,,,[],,,0.0,kingston-internal-hard-drive-shss3b7a120g,120.0,0.0,Yes,0.0,"2.5"""
N/A,240GB,"2.5""",1.34,,SATA 6 Gb/s,Storage,/product/nRdqqs/kingston-internal-hard-drive-sh103s3240g,Kingston,,MLC (synchronous),"Kingston HyperX 3K 240GB 2.5"" Solid State Drive",SH103S3/240G,,$0.75,"[178.82, 489.95]",,Sandforce SF-2281,334.385,kingston-internal-hard-drive-sh103s3240g,240.0,0.0,Yes,0.75,"2.5"""
256MB,240GB,"2.5""",2.71,,SATA 6 Gb/s,Storage,/product/WFgPxr/zotac-internal-hard-drive-ztssda5p240g,Zotac,,,"Zotac T500 240GB 2.5"" Solid State Drive",ZTSSD-A5P-240G,,$0.37,"[88.62, 90.07]",,,89.345,zotac-internal-hard-drive-ztssda5p240g,240.0,0.0,Yes,0.37,"2.5"""
N/A,60GB,"2.5""",1.20,,SATA 6 Gb/s,Storage,/product/4VJwrH/corsair-internal-hard-drive-cssdf60gbls,Corsair,Force Series LS,MLC (toggle),"Corsair Force LS 60GB 2.5"" Solid State Drive",CSSD-F60GBLS,,$0.83,"[49.99, 52.54, 96.95]",,Phison PS-3108,66.4933333333,corsair-internal-hard-drive-cssdf60gbls,60.0,0.0,Yes,0.83,"2.5"""
64MB,2TB,"3.5""",20.00,,SATA 6 Gb/s,Storage,/product/ZXL7YJ/seagate-internal-hard-drive-st2000vn001,Seagate,,,"Seagate NAS HDD 2TB 3.5"" 5400RPM Internal Hard Drive",ST2000VN001,,$0.050,"[99.99, 112.04, 114.86]",5400,,108.963333333,seagate-internal-hard-drive-st2000vn001,2000.0,5400.0,No,0.05,"3.5"""
8MB,500GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/T8V48d/western-digital-internal-hard-drive-wd5000lpvt,Western Digital,,,"Western Digital Scorpio Blue 500GB 2.5"" 5400RPM Internal Hard Drive",WD5000LPVT,,,[],5400,,0.0,western-digital-internal-hard-drive-wd5000lpvt,500.0,5400.0,No,0.0,"2.5"""
8MB,500GB,"2.5""",9.58,,SATA 3 Gb/s,Storage,/product/pDYXsY/toshiba-internal-hard-drive-mq01abd050,Toshiba,,,"Toshiba 500GB 2.5"" 5400RPM Internal Hard Drive",MQ01ABD050,,$0.10,"[46.56, 159.96]",5400,,103.26,toshiba-internal-hard-drive-mq01abd050,500.0,5400.0,No,0.1,"2.5"""
N/A,128GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/8bPfrH/crucial-internal-hard-drive-ct128m4ssd2,Crucial,,MLC (synchronous),"Crucial M4 128GB 2.5"" Solid State Drive",CT128M4SSD2,,,[],,Marvell 9174,0.0,crucial-internal-hard-drive-ct128m4ssd2,128.0,0.0,Yes,0.0,"2.5"""
8MB,320GB,"2.5""",9.73,,SATA 3 Gb/s,Storage,/product/skMFf7/toshiba-internal-hard-drive-mk3276gsx,Toshiba,,,"Toshiba 320GB 2.5"" 5400RPM Internal Hard Drive",MK3276GSX,,$0.10,[32.89],5400,,32.89,toshiba-internal-hard-drive-mk3276gsx,320.0,5400.0,No,0.1,"2.5"""
N/A,128GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/jBBv6h/crucial-internal-hard-drive-ct128m4ssd2cca,Crucial,,MLC (synchronous),"Crucial M4 128GB 2.5"" Solid State Drive",CT128M4SSD2CCA,,,[],,Marvell 9174,0.0,crucial-internal-hard-drive-ct128m4ssd2cca,128.0,0.0,Yes,0.0,"2.5"""
N/A,480GB,"2.5""",2.69,,SATA 6 Gb/s,Storage,/product/Yr3RsY/kingston-internal-hard-drive-sv300s3n7a480g,Kingston,,Varies,"Kingston SSDNow V300 Series 480GB 2.5"" Solid State Drive",SV300S3N7A/480G,,$0.37,"[174.99, 170.1, 179.0, 197.9]",,Sandforce SF-2281,180.4975,kingston-internal-hard-drive-sv300s3n7a480g,480.0,0.0,Yes,0.37,"2.5"""
128MB,1TB,"2.5""",5.62,,SATA 6 Gb/s,Storage,/product/7LkwrH/seagate-internal-hard-drive-st1000nx0313,Seagate,,,"Seagate 1TB 2.5"" 7200RPM Internal Hard Drive",ST1000NX0313,,$0.18,"[170.65, 184.05, 186.48, 199.99, 199.99]",7200,,188.232,seagate-internal-hard-drive-st1000nx0313,1000.0,7200.0,No,0.18,"2.5"""
N/A,512GB,"2.5""",1.75,,SATA 6 Gb/s,Storage,/product/x6X2FT/micron-internal-hard-drive-mtfddak512mbf1a,Micron,,,"Micron M600 512GB 2.5"" Solid State Drive",MTFDDAK512MBF-1A,,$0.57,[292.99],,,292.99,micron-internal-hard-drive-mtfddak512mbf1a,512.0,0.0,Yes,0.57,"2.5"""
N/A,120GB,M.2-2280,2.67,,M.2 (B+M),Storage,/product/bjH48d/mydigitalssd-80mm-bp5e-120gb-m2-2280-solid-state-drive-mdm280-bp5e-0128g,MyDigitalSSD,,TLC (toggle),MyDigitalSSD 80mm BP5e 120GB M.2-2280 Solid State Drive,MDM280-BP5e-0128G,,$0.37,[44.99],,PHISON PS3110,44.99,mydigitalssd-80mm-bp5e-120gb-m2-2280-solid-state-drive-mdm280-bp5e-0128g,120.0,0.0,Yes,0.37,M.2-2280
N/A,256GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/7GK7YJ/toshiba-internal-hard-drive-hdts325xzsta,Toshiba,,MLC (toggle),"Toshiba Q Series Pro 256GB 2.5"" Solid State Drive",HDTS325XZSTA,,,[],,Toshiba TC358790XBG,0.0,toshiba-internal-hard-drive-hdts325xzsta,256.0,0.0,Yes,0.0,"2.5"""
64MB,3TB,"3.5""",28.57,,SATA 6 Gb/s,Storage,/product/gcfmP6/seagate-internal-hard-drive-st3000vx006,Seagate,,,"Seagate SV35 Series 3TB 3.5"" 5900RPM Internal Hard Drive",ST3000VX006,,$0.035,"[104.99, 104.99, 108.99, 110.38, 119.98, 123.59]",5900,,112.153333333,seagate-internal-hard-drive-st3000vx006,3000.0,5900.0,No,0.035,"3.5"""
N/A,480GB,"2.5""",2.46,,SATA 6 Gb/s,Storage,/product/NVnG3C/corsair-internal-hard-drive-cssdn480gbxt,Corsair,,,"Corsair Neutron XT 480GB 2.5"" Solid State Drive",CSSD-N480GBXT,,$0.41,[194.99],,,194.99,corsair-internal-hard-drive-cssdn480gbxt,480.0,0.0,Yes,0.41,"2.5"""
N/A,120GB,"2.5""",0.67,,SATA 6 Gb/s,Storage,/product/nTQypg/samsung-internal-hard-drive-mz7td120bw,Samsung,,TLC (toggle),"Samsung 840 Series 120GB 2.5"" Solid State Drive",MZ-7TD120BW,,$1.50,[179.89],,Samsung MDX,179.89,samsung-internal-hard-drive-mz7td120bw,120.0,0.0,Yes,1.5,"2.5"""
64MB,750GB,"3.5""",10.01,,SATA 6 Gb/s,Storage,/product/w7V48d/western-digital-internal-hard-drive-wd7500azex,Western Digital,,,"Western Digital Caviar Blue 750GB 3.5"" 7200RPM Internal Hard Drive",WD7500AZEX,,$0.100,[67.99],7200,,67.99,western-digital-internal-hard-drive-wd7500azex,750.0,7200.0,No,0.1,"3.5"""
64MB,250GB,"2.5""",2.08,,SATA 6 Gb/s,Storage,/product/y69KHx/western-digital-internal-hard-drive-wd2500bhtz,Western Digital,,,"Western Digital WD VelociRaptor 250GB 2.5"" 10000RPM Internal Hard Drive",WD2500BHTZ,,$0.48,[113.07],10000,,113.07,western-digital-internal-hard-drive-wd2500bhtz,250.0,10000.0,No,0.48,"2.5"""
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/4YDwrH/ocz-internal-hard-drive-vtx3mi25sat3120g,OCZ,,MLC (toggle),"OCZ Vertex 3 Series – MAX IOPS Edition 120GB 2.5"" Solid State Drive",VTX3MI-25SAT3-120G,,,[],,Sandforce SF-2281,0.0,ocz-internal-hard-drive-vtx3mi25sat3120g,120.0,0.0,Yes,0.0,"2.5"""
N/A,30GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/zLzv6h/kingston-internal-hard-drive-ss200s330g,Kingston,,N/A,"Kingston SSDNow 200 30GB 2.5"" Solid State Drive",SS200S3/30G,,,[],,Phison PS-3108,0.0,kingston-internal-hard-drive-ss200s330g,30.0,0.0,Yes,0.0,"2.5"""
64MB,1.5TB,"3.5""",,,SATA 6 Gb/s,Storage,/product/CcDwrH/western-digital-internal-hard-drive-wd15earx,Western Digital,,,"Western Digital Caviar Green 1.5TB 3.5"" 5400RPM Internal Hard Drive",WD15EARX,,,[],5400,,0.0,western-digital-internal-hard-drive-wd15earx,1500.0,5400.0,No,0.0,"3.5"""
512MB,240GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/kscMnQ/patriot-internal-hard-drive-pb240gs25ssdr,Patriot,,MLC (synchronous),"Patriot Blaze 240GB 2.5"" Solid State Drive",PB240GS25SSDR,,,[],,Phison,0.0,patriot-internal-hard-drive-pb240gs25ssdr,240.0,0.0,Yes,0.0,"2.5"""
