Cache,Capacity,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Kind,Link,Manufacturer,Model,NAND Flash Type,Name,Part #,Power Loss Protection,Price/GB,Prices,RPM,SSD Controller,avg,short_link,storage_gb,rpm,is_ssd,ppgb,form_factor
N/A,240GB,"2.5""",0.91,,SATA 6 Gb/s,Storage,/product/j4zv6h/corsair-internal-hard-drive-cssdf240gb3anb,Corsair,,MLC (asynchronous),"Corsair Force Series 3 240GB 2.5"" Solid State Drive",CSSD-F240GB3A-NB,,$1.10,[264.99],,Sandforce SF-2281,264.99,corsair-internal-hard-drive-cssdf240gb3anb,240.0,0.0,Yes,1.1,"2.5"""
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/VgR48d/seagate-internal-hard-drive-st120fp0021,Seagate,,MLC (toggle),"Seagate 600 Pro 120GB 2.5"" Solid State Drive",ST120FP0021,Yes,,[],,LAMD LM87800,0.0,seagate-internal-hard-drive-st120fp0021,120.0,0.0,Yes,0.0,"2.5"""
N/A,60GB,mSATA,,,mSATA,Storage,/product/r7V48d/mushkin-internal-hard-drive-mknssdat60gbdx,Mushkin,,MLC,Mushkin Atlas Series 60GB mSATA Solid State Drive,MKNSSDAT60GB-DX,,,[],,Sandforce SF-2281,0.0,mushkin-internal-hard-drive-mknssdat60gbdx,60.0,0.0,Yes,0.0,mSATA
N/A,120GB,mSATA,,,mSATA,Storage,/product/2Rckcf/mushkin-internal-hard-drive-mknssdat120gbdx,Mushkin,,MLC,Mushkin Atlas Series 120GB mSATA Solid State Drive,MKNSSDAT120GB-DX,,,[],,Sandforce SF-2281,0.0,mushkin-internal-hard-drive-mknssdat120gbdx,120.0,0.0,Yes,0.0,mSATA
N/A,40GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/xVK7YJ/ocz-internal-hard-drive-oczssd22vtx40g,OCZ,,MLC,"OCZ Vertex 2 40GB 2.5"" Solid State Drive",OCZSSD2-2VTX40G,,,[],,Sandforce SF-1222,0.0,ocz-internal-hard-drive-oczssd22vtx40g,40.0,0.0,Yes,0.0,"2.5"""
N/A,90GB,"2.5""",0.65,,SATA 3 Gb/s,Storage,/product/kb9KHx/ocz-internal-hard-drive-oczssd22vtxe90g,OCZ,,MLC,"OCZ Vertex 2 90GB 2.5"" Solid State Drive",OCZSSD2-2VTXE90G,,$1.54,[129.99],,Sandforce SF-1222,129.99,ocz-internal-hard-drive-oczssd22vtxe90g,90.0,0.0,Yes,1.54,"2.5"""
N/A,180GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/rw2kcf/ocz-internal-hard-drive-oczssd22vtxe180g,OCZ,,MLC,"OCZ Vertex 2 180GB 2.5"" Solid State Drive",OCZSSD2-2VTXE180G,,,[],,Sandforce SF-1222,0.0,ocz-internal-hard-drive-oczssd22vtxe180g,180.0,0.0,Yes,0.0,"2.5"""
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/PvH323/pny-internal-hard-drive-ssd9sc120gedepb,PNY,,MLC (synchronous),"PNY Prevail 120GB 2.5"" Solid State Drive",SSD9SC120GEDE-PB,,,[],,Sandforce SF-2281,0.0,pny-internal-hard-drive-ssd9sc120gedepb,120.0,0.0,Yes,0.0,"2.5"""
N/A,360GB,"3.5""",,,SATA 3 Gb/s,Storage,/product/27V48d/ocz-internal-hard-drive-oczssd32agt360g,OCZ,,MLC,"OCZ Agility 2 360GB 3.5"" Solid State Drive",OCZSSD3-2AGT360G,,,[],,Sandforce SF-1222,0.0,ocz-internal-hard-drive-oczssd32agt360g,360.0,0.0,Yes,0.0,"3.5"""
8MB,120GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/8WsKHx/samsung-internal-hard-drive-hm120gi,Samsung,,,"Samsung Spinpoint M7 120GB 2.5"" 5400RPM Internal Hard Drive",HM120GI,,,[],5400,,0.0,samsung-internal-hard-drive-hm120gi,120.0,5400.0,No,0.0,"2.5"""
