Color,Dimensions,"External 2.5"" Bays","External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays","Internal 5.25"" Slim Slot Load Bays",Kind,Link,Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Name,Part #,Prices,Type,link,dim,vol,avg,short_link
Black,"7.68"" x 16.73"" x 18.35""",,1,4,,,No,No,,5,,,Case,/product/K7xfrH/logisys-case-cs2008xbk,Logisys,,CS2008XBK (Black),"ATX, Micro ATX, Mini ITX",Logisys CS2008XBK (Black) ATX Mid Tower Case,CS2008XBK,[52.53],ATX Mid Tower,logisys-case-cs2008xbk,"[7.68, 16.73, 18.35]",2357.72544,52.53,logisys-case-cs2008xbk
Black,"13.66"" x 3.90"" x 10.39""",,,1,,,No,200 Watts,,2,,,Case,/product/fmyFf7/inwin-case-bp671fh200b,Inwin,,,Mini ITX,Inwin BP671.FH200B Mini ITX Tower Case w/200W Power Supply,BP671.FH200B,"[49.99, 68.99]",Mini ITX Tower,inwin-case-bp671fh200b,"[13.66, 3.90, 10.39]",553.51686,59.49,inwin-case-bp671fh200b
Black,"10.39"" x 3.90"" x 12.17""",,,1,,,Yes,200 Watts,,,,,Case,/product/xCH323/inwin-case-bp655300tb3l,Inwin,,,Mini ITX,Inwin BP655.300TB3L Mini ITX Tower Case w/200W Power Supply,BP655.300TB3L,[59.99],Mini ITX Tower,inwin-case-bp655300tb3l,"[10.39, 3.90, 12.17]",493.14057,59.99,inwin-case-bp655300tb3l
Black,,,,,1,,Yes,No,1,3,,,Case,/product/JcfmP6/antec-case-isk600m,Antec,"12.48""",,"Micro ATX, Mini ITX",Antec ISK 600M MicroATX Mini Tower Case,ISK 600M<br/>(or) CA-227-AN,[],MicroATX Mini Tower,antec-case-isk600m,,0.0,0.0,antec-case-isk600m
Blue/Silver,"20.24"" x 17.48"" x 7.72""",,,5,,,Yes,No,1,4,,,Case,/product/d6kD4D/apevia-case-xcruiser3al,Apevia,,,"AT, ATX, Micro ATX, Mini ITX",Apevia X-CRUISER3-AL ATX Mid Tower Case,X-CRUISER3-AL,"[80.75, 69.99]",ATX Mid Tower,apevia-case-xcruiser3al,"[20.24, 17.48, 7.72]",2731.298944,75.37,apevia-case-xcruiser3al
White,"10.87"" x 8.70"" x 6.93""",,,,1,,Yes,300 Watts,1,1,,,Case,/product/txphP6/silverstone-case-sg05wusb30,Silverstone,"10.00""",Sugo Series SG05W,"Mini DTX, Mini ITX, Thin Mini ITX",Silverstone Sugo Series SG05W Mini ITX Desktop Case w/300W Power Supply,SG05W-USB3.0<br/>(or) SST-SG05W-USB3.0,"[119.99, 135.31]",Mini ITX Desktop,silverstone-case-sg05wusb30,"[10.87, 8.70, 6.93]",655.36317,127.65,silverstone-case-sg05wusb30
Black,"8.39"" x 18.46"" x 18.78""",,,4,,,Yes,No,1,5,,,Case,/product/NtvRsY/zalman-case-z12plus,Zalman,"11.42""",,"ATX, Micro ATX, Mini ITX",Zalman Z12 Plus ATX Mid Tower Case,Z12 Plus,[],ATX Mid Tower,zalman-case-z12plus,"[8.39, 18.46, 18.78]",2908.635132,0.0,zalman-case-z12plus
Black,"16.97"" x 7.48"" x 19.49""",,,3,,,Yes,No,,6,,,Case,/product/pHH323/inwin-case-mana136black,Inwin,"11.42""",MANA136 (Black),"ATX, Micro ATX, Mini ITX",Inwin MANA136 (Black) ATX Mid Tower Case,MANA136 BLACK,[44.99],ATX Mid Tower,inwin-case-mana136black,"[16.97, 7.48, 19.49]",2473.974844,44.99,inwin-case-mana136black
Black,"17.24"" x 16.77"" x 6.06""",,2,3,,,No,No,,2,,,Case,/product/hCXfrH/compucase-case-7106bb,HEC,,,"ATX, Micro ATX, Mini ITX",HEC 7106BB ATX Desktop Case,7106BB,[57.99],ATX Desktop,compucase-case-7106bb,"[17.24, 16.77, 6.06]",1752.035688,57.99,compucase-case-7106bb
Black,"8.35"" x 19.57"" x 24.21""",,,5,,,Yes,No,1,5,,,Case,/product/tvrG3C/silverstone-case-sstft02bwusb30,Silverstone,"11.97"" (304mm) With Drive Cages<br/>12.17"" (309mm) Without Drive Cages",FT02B-W-USB3.0 (Black),"ATX, Micro ATX, Mini ITX, SSI CEB",Silverstone FT02B-W-USB3.0 (Black) ATX Mid Tower Case,SST-FT02B-W-USB3.0<br/>(or) FT02B-W-USB3.0,"[245.99, 249.99, 259.99, 249.99]",ATX Mid Tower,silverstone-case-sstft02bwusb30,"[8.35, 19.57, 24.21]",3956.143995,251.49,silverstone-case-sstft02bwusb30
Black,"19.17"" x 8.58"" x 19.49""",,,5,,,No,No,,5,,,Case,/product/hZyFf7/cooler-master-case-sgc2000kkn1gp,Cooler Master,"10.63""",Storm Scout,"ATX, Micro ATX, Mini ITX",Cooler Master Storm Scout ATX Mid Tower Case,SGC-2000-KKN1-GP,[],ATX Mid Tower,cooler-master-case-sgc2000kkn1gp,"[19.17, 8.58, 19.49]",3205.687914,0.0,cooler-master-case-sgc2000kkn1gp
Blue,"18.90"" x 8.07"" x 18.50""",,,,,,Yes,No,4,4,,,Case,/product/FtJkcf/bitfenix-case-bfcaeg300bkwn1rp,BitFenix,"14.96""",Aegis Core (Blue),"Micro ATX, Mini ITX",BitFenix Aegis Core (Blue) MicroATX Mid Tower Case,BFC-AEG-300-BKWN1-RP,[],MicroATX Mid Tower,bitfenix-case-bfcaeg300bkwn1rp,"[18.90, 8.07, 18.50]",2821.6755,0.0,bitfenix-case-bfcaeg300bkwn1rp
Black,"12.87"" x 10.39"" x 13.86""",,1,1,,,Yes,No,2,2,,,Case,/product/LyDwrH/aerocool-case-dscubeblack,Aerocool,"12.60""",,"Micro ATX, Mini ITX",Aerocool DS-Cube Black MicroATX Mini Tower Case,DS-Cube Black,"[118.85, 118.92]",MicroATX Mini Tower,aerocool-case-dscubeblack,"[12.87, 10.39, 13.86]",1853.349498,118.885,aerocool-case-dscubeblack
Black/Silver,"19.02"" x 8.66"" x 16.77""",,,,,1,Yes,No,2,2,,,Case,/product/2hPzK8/silverstone-case-ft05b,Silverstone,"12.28""",,"ATX, Micro ATX, SSI CEB",Silverstone FT05B ATX Mid Tower Case,FT05B<br/>(or) SST-FT05B,"[159.99, 178.99, 159.99]",ATX Mid Tower,silverstone-case-ft05b,"[19.02, 8.66, 16.77]",2762.240364,166.323333333,silverstone-case-ft05b
Black/Green,,,,3,,,Yes,No,,3,,,Case,/product/kvKhP6/antec-case-gx900b,Antec,"12.20""",,"ATX, Micro ATX, Mini ITX",Antec GX900B ATX Mid Tower Case,GX900B,[],ATX Mid Tower,antec-case-gx900b,,0.0,0.0,antec-case-gx900b
Gray/Black,"7.56"" x 17.32"" x 19.06""",,1,3,,,Yes,No,1,5,,,Case,/product/YYsKHx/silverstone-case-sstrl01bwusb30,Silverstone,"10.98""",RL01B-W-USB 3.0 (Black),"ATX, Micro ATX, Mini ITX",Silverstone RL01B-W-USB 3.0 (Black) ATX Mid Tower Case,SST-RL01B-W-USB 3.0<br/>(or) RL01B-W-USB 3.0,"[52.99, 64.09]",ATX Mid Tower,silverstone-case-sstrl01bwusb30,"[7.56, 17.32, 19.06]",2495.701152,58.54,silverstone-case-sstrl01bwusb30
