Color,Dimensions,"External 2.5"" Bays","External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays","Internal 5.25"" Slim Slot Load Bays",Kind,Link,Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Name,Part #,Prices,Type,link,dim,vol,avg,short_link
Black,,,,,,,Yes,No,4,1,,,Case,/product/xf8H99/azza-case-csaz105,Azza,"11.50""",Stealth,Mini ITX,Azza Stealth Mini ITX Desktop Case,CSAZ-105,[],Mini ITX Desktop,azza-case-csaz105,,0.0,0.0,azza-case-csaz105
Black/Gray,"24.69"" x 10.43"" x 23.50""",,,4,,,No,No,,4,,,Case,/product/J9zv6h/cooler-master-case-rc1100kkn1gp,Cooler Master,"13.86""",Cosmos S,"ATX, EATX, Micro ATX, Mini ITX",Cooler Master Cosmos S ATX Full Tower Case,RC-1100-KKN1-GP,[],ATX Full Tower,cooler-master-case-rc1100kkn1gp,"[24.69, 10.43, 23.50]",6051.64245,0.0,cooler-master-case-rc1100kkn1gp
Black,"19.61"" x 8.43"" x 19.53""",,,5,,,No,No,,4,,,Case,/product/gWR48d/lian-li-case-pck58w,Lian-Li,"17.32""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-K58W ATX Mid Tower Case,PC-K58W,[],ATX Mid Tower,lian-li-case-pck58w,"[19.61, 8.43, 19.53]",3228.549219,0.0,lian-li-case-pck58w
Black,"16.85"" x 7.68"" x 18.90""",,1,3,,,Yes,No,1,5,,,Case,/product/HKfp99/thermaltake-case-vo600a1w3n,Thermaltake,"12.60""",,"ATX, Micro ATX, Mini ITX",Thermaltake VO600A1W3N ATX Mid Tower Case,VO600A1W3N,[],ATX Mid Tower,thermaltake-case-vo600a1w3n,"[16.85, 7.68, 18.90]",2445.8112,0.0,thermaltake-case-vo600a1w3n
Black,"14.57"" x 7.09"" x 14.29""",,2,2,,,No,350 Watts,,1,,,Case,/product/mTh9TW/inwin-case-iwz589tcq350tbl,Inwin,,,"Micro ATX, Mini ITX",Inwin IW-Z589T.CQ350TBL MicroATX Mini Tower Case w/350W Power Supply,IW-Z589T.CQ350TBL,[],MicroATX Mini Tower,inwin-case-iwz589tcq350tbl,"[14.57, 7.09, 14.29]",1476.175577,0.0,inwin-case-iwz589tcq350tbl
Green,,,,1,,,Yes,No,3,8,,,Case,/product/zV7CmG/phanteks-case-phes515ptg,Phanteks,"11.81"" (300mm) With Drive Cages<br/>16.54"" (420mm) Without Drive Cages",Enthoo Pro M,"ATX, EATX, Micro ATX, Mini ITX",Phanteks Enthoo Pro M ATX Mid Tower Case,PH-ES515P_TG,"[79.99, 96.61, 78.34]",ATX Mid Tower,phanteks-case-phes515ptg,,0.0,84.98,phanteks-case-phes515ptg
Black,"18.98"" x 7.99"" x 21.22""",,2,4,,,No,500 Watts,,7,,,Case,/product/6tTmP6/apevia-case-mxpleasurenwbk,Apevia,,,"ATX, Micro ATX, Mini ITX",Apevia MX-PLEASURE-NW-BK ATX Full Tower Case w/500W Power Supply,MX-PLEASURE-NW-BK,[],ATX Full Tower,apevia-case-mxpleasurenwbk,"[18.98, 7.99, 21.22]",3218.017244,0.0,apevia-case-mxpleasurenwbk
Black,"16.97"" x 7.09"" x 14.76""",,1,2,,,No,485 Watts,,2,,,Case,/product/zTh9TW/hec-case-6k28bboh48d,HEC,,,"Micro ATX, Mini ITX",HEC 6K28BBOH48D MicroATX Mini Tower Case w/485W Power Supply,6K28BBOH48D,[],MicroATX Mini Tower,hec-case-6k28bboh48d,"[16.97, 7.09, 14.76]",1775.883348,0.0,hec-case-6k28bboh48d
Black,"21.06"" x 8.66"" x 20.87""",,,5,,,No,No,,6,,,Case,/product/zsNp99/thermaltake-case-vl200l1w2z,Thermaltake,,,"ATX, EATX, Micro ATX, Mini ITX",Thermaltake VL200L1W2Z ATX Full Tower Case,VL200L1W2Z,[],ATX Full Tower,thermaltake-case-vl200l1w2z,"[21.06, 8.66, 20.87]",3806.262252,0.0,thermaltake-case-vl200l1w2z
Black/Red,"9.13"" x 22.83"" x 21.89""",,1,2,,,Yes,No,,10,,,Case,/product/y6TmP6/rosewill-case-thronewindowa,Rosewill,,,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",Rosewill THRONE-Window-A ATX Full Tower Case,THRONE-Window-A,[],ATX Full Tower,rosewill-case-thronewindowa,"[9.13, 22.83, 21.89]",4562.705631,0.0,rosewill-case-thronewindowa
Black,"23.62"" x 8.86"" x 21.61""",,,5,,,No,No,,6,,,Case,/product/HMNp99/inwin-case-maelstrom,Inwin,,,"ATX, Micro ATX, Mini ITX",Inwin Maelstrom ATX Full Tower Case,Maelstrom,[],ATX Full Tower,inwin-case-maelstrom,"[23.62, 8.86, 21.61]",4522.393852,0.0,inwin-case-maelstrom
Black,"19.25"" x 8.27"" x 19.49""",,,9,,,No,No,,3,,,Case,/product/tfBv6h/lian-li-case-pcp50,Lian-Li,"10.83""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-P50 ATX Mid Tower Case,PC-P50,[],ATX Mid Tower,lian-li-case-pcp50,"[19.25, 8.27, 19.49]",3102.759275,0.0,lian-li-case-pcp50
Black/White,"18.23"" x 7.99"" x 16.97""",,2,4,,,No,430 Watts,,5,,,Case,/product/QWR48d/dynapower-case-prestige,Dynapower,,,"ATX, Micro ATX, Mini ITX",Dynapower Prestige ATX Mid Tower Case w/430W Power Supply,Prestige,[],ATX Mid Tower,dynapower-case-prestige,"[18.23, 7.99, 16.97]",2471.811169,0.0,dynapower-case-prestige
Black/Pink,"10.08"" x 5.20"" x 10.87""",,,1,,,No,160 Watts,,,,,Case,/product/3YGkcf/inwin-case-diva,Inwin,,,"Mini ITX, Thin Mini ITX",Inwin Diva Mini ITX Tower Case w/160W Power Supply,Diva,[],Mini ITX Tower,inwin-case-diva,"[10.08, 5.20, 10.87]",569.76192,0.0,inwin-case-diva
Black,"7.60"" x 2.99"" x 8.90""",,,,1,,No,80 Watts,1,,,,Case,/product/Rmckcf/inwin-case-iwbq656,Inwin,,,"Mini ITX, Thin Mini ITX",Inwin IW-BQ656 Mini ITX Tower Case w/80W Power Supply,IW-BQ656,[],Mini ITX Tower,inwin-case-iwbq656,"[7.60, 2.99, 8.90]",202.2436,0.0,inwin-case-iwbq656
Black/Silver,"14.57"" x 6.97"" x 13.78""",,2,2,,,No,350 Watts,,1,,,Case,/product/9DH323/inwin-case-v564t2cq350tbl,Inwin,,,"Micro ATX, Mini ITX",Inwin V564T2.CQ350TBL MicroATX Mini Tower Case w/350W Power Supply,V564T2.CQ350TBL,[],MicroATX Mini Tower,inwin-case-v564t2cq350tbl,"[14.57, 6.97, 13.78]",1399.398962,0.0,inwin-case-v564t2cq350tbl
Black,"15.39"" x 7.09"" x 18.39""",,1,2,,,Yes,No,1,5,,,Case,/product/6TXfrH/thermaltake-case-ca1a800m1nn00,Thermaltake,"10.24""",Urban S1,"Micro ATX, Mini ITX",Thermaltake Urban S1 MicroATX Mini Tower Case,CA-1A8-00M1NN-00,"[39.99, 43.98, 43.99, 49.98, 49.99, 49.99, 49.99]",MicroATX Mini Tower,thermaltake-case-ca1a800m1nn00,"[15.39, 7.09, 18.39]",2006.626689,46.8442857143,thermaltake-case-ca1a800m1nn00
Black,"9.09"" x 4.37"" x 10.39""",,,,,,No,160 Watts,,,,,Case,/product/mMNp99/inwin-case-bm650ad160tbl,Inwin,,,"Mini ITX, Thin Mini ITX",Inwin BM650.AD160TBL Mini ITX Tower Case w/160W Power Supply,BM650.AD160TBL,[],Mini ITX Tower,inwin-case-bm650ad160tbl,"[9.09, 4.37, 10.39]",412.725087,0.0,inwin-case-bm650ad160tbl
White,,,2,4,,,No,430 Watts,,4,,,Case,/product/8tTmP6/dynapower-case-csnh3ac760,Dynapower,,,"ATX, Micro ATX, Mini ITX",Dynapower CS-NH3A-C760 ATX Mid Tower Case w/430W Power Supply,CS-NH3A-C760,[],ATX Mid Tower,dynapower-case-csnh3ac760,,0.0,0.0,dynapower-case-csnh3ac760
Black,"14.57"" x 6.97"" x 13.78""",,2,2,,,No,350 Watts,,1,,,Case,/product/kQbp99/inwin-case-v627t2cq350tbl,Inwin,,,"Micro ATX, Mini ITX",Inwin V627T2.CQ350TBL MicroATX Mini Tower Case w/350W Power Supply,V627T2.CQ350TBL,[],MicroATX Mini Tower,inwin-case-v627t2cq350tbl,"[14.57, 6.97, 13.78]",1399.398962,0.0,inwin-case-v627t2cq350tbl
Black,"16.77"" x 7.68"" x 16.89""",,1,3,,,Yes,No,1,,,,Case,/product/WQbp99/inwin-case-dragonslayer,Inwin,"12.60""",,"Micro ATX, Mini ITX",Inwin Dragon Slayer MicroATX Mini Tower Case,Dragon Slayer,[],MicroATX Mini Tower,inwin-case-dragonslayer,"[16.77, 7.68, 16.89]",2175.323904,0.0,inwin-case-dragonslayer
Black,"19.29"" x 8.23"" x 19.49""",,,5,,,No,No,,4,,,Case,/product/6WR48d/lian-li-case-pck62r1,Lian-Li,"17.32""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-K62R1 ATX Mid Tower Case,PC-K62R1,[],ATX Mid Tower,lian-li-case-pck62r1,"[19.29, 8.23, 19.49]",3094.168083,0.0,lian-li-case-pck62r1
Black,"25.24"" x 8.62"" x 24.88""",,,6,,,No,No,,6,,,Case,/product/BB3RsY/lian-li-case-pcp80,Lian-Li,"15.35""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-P80 ATX Full Tower Case,PC-P80,[],ATX Full Tower,lian-li-case-pcp80,"[25.24, 8.62, 24.88]",5413.111744,0.0,lian-li-case-pcp80
Red,"9.80"" x 8.03"" x 8.27""",,,1,,,No,No,,1,,,Case,/product/Nbg323/lian-li-case-pcq06r,Lian-Li,,,"Mini ITX, Thin Mini ITX",Lian-Li PC-Q06R Mini ITX Test Bench Case,PC-Q06R,[],Mini ITX Test Bench,lian-li-case-pcq06r,"[9.80, 8.03, 8.27]",650.79938,0.0,lian-li-case-pcq06r
Black,"9.80"" x 8.03"" x 8.27""",,,1,,,No,No,,1,,,Case,/product/GZyFf7/lian-li-case-pcq06b,Lian-Li,,,"Mini ITX, Thin Mini ITX",Lian-Li PC-Q06B Mini ITX Test Bench Case,PC-Q06B,[],Mini ITX Test Bench,lian-li-case-pcq06b,"[9.80, 8.03, 8.27]",650.79938,0.0,lian-li-case-pcq06b
Black,"15.47"" x 8.98"" x 8.19""",,,1,,,No,No,,1,,,Case,/product/w4W9TW/lian-li-case-pct7b,Lian-Li,,,"Mini ITX, Thin Mini ITX",Lian-Li PC-T7B Mini ITX Test Bench Case,PC-T7B,[],Mini ITX Test Bench,lian-li-case-pct7b,"[15.47, 8.98, 8.19]",1137.759714,0.0,lian-li-case-pct7b
Black,"9.06"" x 4.41"" x 10.35""",,,1,,,No,120 Watts,,,,,Case,/product/DR3RsY/inwin-case-wavy,Inwin,,Wavy,"Mini ITX, Thin Mini ITX",Inwin Wavy Mini ITX Tower Case w/120W Power Supply,wavy,[],Mini ITX Tower,inwin-case-wavy,"[9.06, 4.41, 10.35]",413.53011,0.0,inwin-case-wavy
Black,,,,1,,,Yes,No,2,3,,,Case,/product/YHV48d/zalman-case-m1,Zalman,"13.78""",,Mini ITX,Zalman M1 Mini ITX Tower Case,M1,"[78.99, 78.99]",Mini ITX Tower,zalman-case-m1,,0.0,78.99,zalman-case-m1
Black,"7.48"" x 16.69"" x 19.29""",,1,3,,,No,400 Watts,,5,,,Case,/product/q7xfrH/cooler-master-case-rc370kkr400,Cooler Master,"12.40""",Elite 370 (Black),"ATX, Micro ATX, Mini ITX",Cooler Master Elite 370 (Black) ATX Mid Tower Case w/400W Power Supply,RC-370-KKR400,[],ATX Mid Tower,cooler-master-case-rc370kkr400,"[7.48, 16.69, 19.29]",2408.186748,0.0,cooler-master-case-rc370kkr400
Silver,"15.47"" x 8.98"" x 8.19""",,,1,,,No,No,,1,,,Case,/product/s3DwrH/lian-li-case-pct7a,Lian-Li,,,"Mini ITX, Thin Mini ITX",Lian-Li PC-T7A Mini ITX Test Bench Case,PC-T7A,[],Mini ITX Test Bench,lian-li-case-pct7a,"[15.47, 8.98, 8.19]",1137.759714,0.0,lian-li-case-pct7a
Silver,"7.83"" x 10.39"" x 4.09""",,,,1,,Yes,80 Watts,1,,,,Case,/product/ynvRsY/lian-li-case-pcq09a,Lian-Li,,,"Mini ITX, Thin Mini ITX",Lian-Li PC-Q09A Mini ITX Desktop Case w/80W Power Supply,PC-Q09A,[],Mini ITX Desktop,lian-li-case-pcq09a,"[7.83, 10.39, 4.09]",332.736633,0.0,lian-li-case-pcq09a
Red,"7.83"" x 10.39"" x 4.09""",,,,1,,Yes,80 Watts,1,,,,Case,/product/dhphP6/lian-li-case-pcq09r,Lian-Li,,,"Mini ITX, Thin Mini ITX",Lian-Li PC-Q09R Mini ITX Desktop Case w/80W Power Supply,PC-Q09R,[],Mini ITX Desktop,lian-li-case-pcq09r,"[7.83, 10.39, 4.09]",332.736633,0.0,lian-li-case-pcq09r
Silver,"7.83"" x 10.39"" x 4.69""",,,,1,,Yes,150 Watts,1,,,,Case,/product/J3DwrH/lian-li-case-pcq09fa,Lian-Li,,,"Mini ITX, Thin Mini ITX",Lian-Li PC-Q09FA Mini ITX Desktop Case w/150W Power Supply,PC-Q09FA,[],Mini ITX Desktop,lian-li-case-pcq09fa,"[7.83, 10.39, 4.69]",381.548853,0.0,lian-li-case-pcq09fa
Black,"7.09"" x 16.93"" x 17.28""",,,4,,,Yes,No,,4,,,Case,/product/3pCwrH/gigabyte-case-luxox10,Gigabyte,,,"ATX, Micro ATX, Mini ITX",Gigabyte Luxo X10 ATX Mid Tower Case,Luxo X10,[],ATX Mid Tower,gigabyte-case-luxox10,"[7.09, 16.93, 17.28]",2074.182336,0.0,gigabyte-case-luxox10
Black,"16.97"" x 7.09"" x 14.76""",,1,2,,,No,585 Watts,,2,,,Case,/product/7LTmP6/hec-case-6k28bbx585,HEC,,,"Micro ATX, Mini ITX",HEC 6K28BBX585 MicroATX Mini Tower Case w/585W Power Supply,6K28BBX585,[],MicroATX Mini Tower,hec-case-6k28bbx585,"[16.97, 7.09, 14.76]",1775.883348,0.0,hec-case-6k28bbx585
Black/Silver,"19.49"" x 7.48"" x 16.06""",,1,4,,,No,No,,4,,,Case,/product/VpsKHx/hec-case-6c60bs,HEC,,,"ATX, Micro ATX, Mini ITX",HEC 6C60BS ATX Mid Tower Case,6C60BS,[],ATX Mid Tower,hec-case-6c60bs,"[19.49, 7.48, 16.06]",2341.310312,0.0,hec-case-6c60bs
Black,"15.24"" x 6.89"" x 13.98""",,2,2,,,No,No,,1,,,Case,/product/msNp99/hec-case-6t10bb,HEC,,,"Micro ATX, Mini ITX",HEC 6T10BB MicroATX Mini Tower Case,6T10BB,[],MicroATX Mini Tower,hec-case-6t10bb,"[15.24, 6.89, 13.98]",1467.950328,0.0,hec-case-6t10bb
Black,"19.49"" x 7.48"" x 16.06""",,1,4,,,No,No,,3,,,Case,/product/kMNp99/compucase-case-66rcbb,HEC,"10.51""",Blitz Black,"ATX, Micro ATX, Mini ITX",HEC Blitz Black ATX Mid Tower Case,66RCBB,[],ATX Mid Tower,compucase-case-66rcbb,"[19.49, 7.48, 16.06]",2341.310312,0.0,compucase-case-66rcbb
Black,,,,2,,,Yes,No,,4,,,Case,/product/JwVBD3/corsair-case-cc9011075ww,Corsair,"10.83"" (275mm) With Drive Cages<br/>16.30"" (414mm) Without Drive Cages",100R,"ATX, Micro ATX, Mini ITX",Corsair 100R ATX Mid Tower Case,CC-9011075-WW,"[49.99, 49.99, 50.98, 54.99, 59.99, 54.99]",ATX Mid Tower,corsair-case-cc9011075ww,,0.0,53.4883333333,corsair-case-cc9011075ww
Black/Green,,,,1,,,Yes,No,2,3,,,Case,/product/YjX2FT/diypc-case-cuboidg,DIYPC,"13.39""",,"Micro ATX, Mini ITX",DIYPC Cuboid-G MicroATX Mini Tower Case,Cuboid-G,"[55.99, 67.98]",MicroATX Mini Tower,diypc-case-cuboidg,,0.0,61.985,diypc-case-cuboidg
White,"17.24"" x 16.77"" x 6.06""",,2,3,,,No,No,,2,,,Case,/product/BVzv6h/hec-case-7106ww,HEC,,,"ATX, Micro ATX, Mini ITX",HEC 7106WW ATX Desktop Case,7106WW,[],ATX Desktop,hec-case-7106ww,"[17.24, 16.77, 6.06]",1752.035688,0.0,hec-case-7106ww
Black,"19.21"" x 7.72"" x 16.97""",,2,4,,,No,No,,4,,,Case,/product/YjxfrH/apevia-case-xdiscoverybk,Apevia,,X-Discovery Black,"ATX, Micro ATX, Mini ITX",Apevia X-Discovery Black ATX Mid Tower Case,X-DISCOVERY-BK,[],ATX Mid Tower,apevia-case-xdiscoverybk,"[19.21, 7.72, 16.97]",2516.671364,0.0,apevia-case-xdiscoverybk
Black/White,"7.28"" x 8.66"" x 2.80""",,,1,,,No,60 Watts,,,,,Case,/product/4bg323/apex-case-mw100,Apex,,,"Mini ITX, Thin Mini ITX",Apex MW-100 Mini ITX Tower Case w/60W Power Supply,MW-100,[],Mini ITX Tower,apex-case-mw100,"[7.28, 8.66, 2.80]",176.52544,0.0,apex-case-mw100
Black/Silver,"16.97"" x 7.09"" x 14.76""",,1,2,,,No,No,,2,,,Case,/product/GCh9TW/hec-case-6k28bs,HEC,,,"Micro ATX, Mini ITX",HEC 6K28BS MicroATX Mini Tower Case,6K28BS,[],MicroATX Mini Tower,hec-case-6k28bs,"[16.97, 7.09, 14.76]",1775.883348,0.0,hec-case-6k28bs
Red,"19.29"" x 8.62"" x 20.35""",,,3,,,Yes,No,3,7,,,Case,/product/cpsKHx/lian-li-case-pcv1020r,Lian-Li,"12.01""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-V1020R ATX Mid Tower Case,PC-V1020R,[],ATX Mid Tower,lian-li-case-pcv1020r,"[19.29, 8.62, 20.35]",3383.79393,0.0,lian-li-case-pcv1020r
Black,"23.23"" x 8.62"" x 23.43""",,1,5,,,No,No,,10,,,Case,/product/yCh9TW/lian-li-case-pcb70,Lian-Li,,,"ATX, EATX, Micro ATX, Mini ITX",Lian-Li PC-B70 ATX Full Tower Case,PC-B70,[],ATX Full Tower,lian-li-case-pcb70,"[23.23, 8.62, 23.43]",4691.684118,0.0,lian-li-case-pcb70
Black/Silver,"15.98"" x 7.24"" x 17.48""",,2,4,,,No,No,,4,,,Case,/product/dR3RsY/apex-case-pc302c,Apex,,,"ATX, Micro ATX, Mini ITX",Apex PC-302-C ATX Mid Tower Case,PC-302-C,[],ATX Mid Tower,apex-case-pc302c,"[15.98, 7.24, 17.48]",2022.352096,0.0,apex-case-pc302c
Black,"16.93"" x 9.06"" x 26.73""",,,3,,,No,No,,6,,,Case,/product/Jrg323/lian-li-case-pcx1000,Lian-Li,"12.99""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-X1000 ATX Mid Tower Case,PC-X1000<br/>(or) PCX1000,[],ATX Mid Tower,lian-li-case-pcx1000,"[16.93, 9.06, 26.73]",4100.002434,0.0,lian-li-case-pcx1000
Black,"18.98"" x 7.72"" x 16.81""",,2,4,,,No,No,,5,,,Case,/product/Hyzv6h/apevia-case-atxb8klwbk,Apevia,,X-Plorer Black,"ATX, Micro ATX, Mini ITX",Apevia X-Plorer Black ATX Mid Tower Case,ATXB8KLW-BK,[],ATX Mid Tower,apevia-case-atxb8klwbk,"[18.98, 7.72, 16.81]",2463.095336,0.0,apevia-case-atxb8klwbk
Black,"16.97"" x 7.09"" x 14.76""",,2,2,,,No,485 Watts,,1,,,Case,/product/pcK7YJ/hec-case-6k11bboh48d,HEC,,,"Micro ATX, Mini ITX",HEC 6K11BBOH48D MicroATX Mini Tower Case w/485W Power Supply,6K11BBOH48D,[],MicroATX Mini Tower,hec-case-6k11bboh48d,"[16.97, 7.09, 14.76]",1775.883348,0.0,hec-case-6k11bboh48d
Silver,"7.83"" x 10.83"" x 9.53""",,,,,,Yes,No,2,2,,,Case,/product/qH98TW/lian-li-case-pcq01a,Lian-Li,"8.27""",,"Mini DTX, Mini ITX",Lian-Li PC-Q01A Mini ITX Tower Case,PC-Q01A,[54.99],Mini ITX Tower,lian-li-case-pcq01a,"[7.83, 10.83, 9.53]",808.133517,54.99,lian-li-case-pcq01a
Black,"14.69"" x 11.18"" x 8.98""",,1,2,,,No,500 Watts,,2,,,Case,/product/qFkD4D/apevia-case-xqpack2nwbk500,Apevia,,X-QPack2 Black,"Micro ATX, Mini ITX",Apevia X-QPack2 Black MicroATX Desktop Case w/500W Power Supply,X-QPACK2-NW-BK/500,[],MicroATX Desktop,apevia-case-xqpack2nwbk500,"[14.69, 11.18, 8.98]",1474.823116,0.0,apevia-case-xqpack2nwbk500
Black,"15.98"" x 7.17"" x 15.98""",,1,2,,,No,300 Watts,,4,,,Case,/product/QJ9KHx/apex-case-tx518,Apex,,TX-518,"Flex ATX, Micro ATX, Mini ITX",Apex TX-518 MicroATX Mid Tower Case w/300W Power Supply,TX- 518,[],MicroATX Mid Tower,apex-case-tx518,"[15.98, 7.17, 15.98]",1830.934068,0.0,apex-case-tx518
Black/Silver,"19.06"" x 9.41"" x 16.34""",,2,2,,,No,350 Watts,,2,,,Case,/product/3xMFf7/inwin-case-em006t350sl,Inwin,,,"Micro ATX, Mini ITX",Inwin EM006.T350SL+ MicroATX Mini Tower Case w/350W Power Supply,EM006.T350SL+,[],MicroATX Mini Tower,inwin-case-em006t350sl,"[19.06, 9.41, 16.34]",2930.654164,0.0,inwin-case-em006t350sl
Black/Blue,"14.69"" x 11.18"" x 8.98""",,1,2,,,No,500 Watts,,2,,,Case,/product/VNmLrH/apevia-case-xqpack2bl500,Apevia,,X-QPack2 Black/Blue,"Micro ATX, Mini ITX",Apevia X-QPack2 Black/Blue MicroATX Desktop Case w/500W Power Supply,X-QPACK2-BL/500,[],MicroATX Desktop,apevia-case-xqpack2bl500,"[14.69, 11.18, 8.98]",1474.823116,0.0,apevia-case-xqpack2bl500
Black/Silver,"7.80"" x 14.49"" x 15.00""",,2,2,,,No,400 Watts,,1,,,Case,/product/8Vzv6h/athenatech-case-a301bs400,Athenatech,,,"Flex ATX, Micro ATX, Mini ITX",Athenatech A301BS.400 MicroATX Mini Tower Case w/400W Power Supply,A301BS.400,[],MicroATX Mini Tower,athenatech-case-a301bs400,"[7.80, 14.49, 15.00]",1695.33,0.0,athenatech-case-a301bs400
Black,"16.61"" x 7.13"" x 13.86""",,2,3,,,No,400 Watts,,4,,,Case,/product/xzckcf/athenatech-case-a3603bb400,Athenatech,,,"Flex ATX, Micro ATX, Mini ITX",Athenatech A3603BB.400 MicroATX Mini Tower Case w/400W Power Supply,A3603BB.400,[],MicroATX Mini Tower,athenatech-case-a3603bb400,"[16.61, 7.13, 13.86]",1641.430098,0.0,athenatech-case-a3603bb400
Black,"18.90"" x 8.66"" x 17.68""",,1,4,,,No,No,,4,,,Case,/product/kNmLrH/zalman-case-lq1000,Zalman,,,"ATX, Micro ATX, Mini ITX",Zalman LQ1000 ATX Mid Tower Case,LQ1000,[],ATX Mid Tower,zalman-case-lq1000,"[18.90, 8.66, 17.68]",2893.75632,0.0,zalman-case-lq1000
Black/Red,"11.89"" x 7.83"" x 6.50""",,,1,,,No,150 Watts,,1,,,Case,/product/2dQypg/athenatech-case-a1089br150,Athenatech,,,"Mini ITX, Thin Mini ITX",Athenatech A1089BR.150 Mini ITX Tower Case w/150W Power Supply,A1089BR.150,[],Mini ITX Tower,athenatech-case-a1089br150,"[11.89, 7.83, 6.50]",605.14155,0.0,athenatech-case-a1089br150
Black,"7.83"" x 17.52"" x 18.46""",,1,3,,,Yes,No,1,7,,,Case,/product/GwBv6h/xigmatek-case-cccae37bsu02,Xigmatek,,Asgard Pro (Black),"ATX, Micro ATX, Mini ITX, Thin Mini ITX",Xigmatek Asgard Pro (Black) ATX Mid Tower Case,CCC-AE37BS-U02,[],ATX Mid Tower,xigmatek-case-cccae37bsu02,"[7.83, 17.52, 18.46]",2532.372336,0.0,xigmatek-case-cccae37bsu02
Black/Red,"20.47"" x 7.99"" x 17.80""",,2,4,,,No,No,,4,,,Case,/product/YxMFf7/raidmax-case-atx617wr,Raidmax,,Enzo ATX-617WR,"ATX, Micro ATX, Mini ITX",Raidmax Enzo ATX-617WR ATX Mid Tower Case,ATX-617WR,[],ATX Mid Tower,raidmax-case-atx617wr,"[20.47, 7.99, 17.80]",2911.28434,0.0,raidmax-case-atx617wr
Black/Blue,,,1,2,,,Yes,No,2,2,,,Case,/product/LvTmP6/sharkoon-case-mam1000,SHARKOON,"13.39""",,"Micro ATX, Mini ITX",SHARKOON MA-M1000 MicroATX Mid Tower Case,MA-M1000,[],MicroATX Mid Tower,sharkoon-case-mam1000,,0.0,0.0,sharkoon-case-mam1000
Black/Silver,"16.10"" x 7.24"" x 17.48""",,1,4,,,No,450 Watts,,6,,,Case,/product/W7V48d/topower-case-tp6208bb450,Topower,,TP-6208BB-450 (Black/White),"ATX, Micro ATX, Mini ITX",Topower TP-6208BB-450 (Black/White) ATX Mid Tower Case w/450W Power Supply,TP-6208BB-450,[],ATX Mid Tower,topower-case-tp6208bb450,"[16.10, 7.24, 17.48]",2037.53872,0.0,topower-case-tp6208bb450
Black,"19.49"" x 7.99"" x 18.46""",,1,5,,,No,No,,4,,,Case,/product/DLTmP6/raidmax-case-atx948wb,Raidmax,,Skyline ATX-948WB,"ATX, Micro ATX, Mini ITX",Raidmax Skyline ATX-948WB ATX Mid Tower Case,ATX-948WB,[],ATX Mid Tower,raidmax-case-atx948wb,"[19.49, 7.99, 18.46]",2874.685346,0.0,raidmax-case-atx948wb
Black,"20.00"" x 7.72"" x 16.73""",,2,5,,,No,No,,3,,,Case,/product/cXQypg/apevia-case-xjpjgtbk,Apevia,,X-Jupiter-Jr G-Type Black,"ATX, Micro ATX, Mini ITX",Apevia X-Jupiter-Jr G-Type Black ATX Mid Tower Case,X-JPJGT-BK,[],ATX Mid Tower,apevia-case-xjpjgtbk,"[20.00, 7.72, 16.73]",2583.112,0.0,apevia-case-xjpjgtbk
Black/Silver,"17.28"" x 7.09"" x 16.54""",,2,3,,,No,350 Watts,,4,,,Case,/product/JLTmP6/foxconn-case-tla566haiso4504ss,Foxconn,,,"ATX, Micro ATX, Mini ITX",Foxconn TLA+566(H+A)+ISO-450-4SS ATX Mid Tower Case w/350W Power Supply,TLA+566(H+A)+ISO-450-4SS,[],ATX Mid Tower,foxconn-case-tla566haiso4504ss,"[17.28, 7.09, 16.54]",2026.401408,0.0,foxconn-case-tla566haiso4504ss
Black/Silver,"15.94"" x 7.09"" x 13.86""",,2,2,,,No,300 Watts,,4,,,Case,/product/hQbp99/foxconn-case-tlm776haiso4004ss,Foxconn,,,"Micro ATX, Mini ITX",Foxconn TLM-776(H+A)-ISO-400-4SS MicroATX Mini Tower Case w/300W Power Supply,TLM-776(H+A)-ISO-400-4SS,[],MicroATX Mini Tower,foxconn-case-tlm776haiso4004ss,"[15.94, 7.09, 13.86]",1566.382356,0.0,foxconn-case-tlm776haiso4004ss
Black/Silver,"15.31"" x 7.24"" x 16.34""",,2,3,,,No,350 Watts,,4,,,Case,/product/HHg323/foxconn-case-tsaa725iso450,Foxconn,,,"ATX, Micro ATX, Mini ITX",Foxconn TSAA725-ISO450 ATX Mid Tower Case w/350W Power Supply,TSAA725-ISO450,[],ATX Mid Tower,foxconn-case-tsaa725iso450,"[15.31, 7.24, 16.34]",1811.197496,0.0,foxconn-case-tsaa725iso450
